Name,ToolIconFileName,ToolIconExportName,TID,ProcessingBuilding,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,UnlockLevel,DescriptionTID,Difficulty,PendingRelease,OrderValueV2
String,String,String,String,String,int,String,int,int,int,int,int,int,int,int,int,string,int,Boolean,int
Pancakes,sc/icons.sc,recipe_pancakes,TID_PANCAKE,Barbecue_Grill,3,Egg,30,500,500,100,3,1,20,23,9,TID_BARBECUE_PRODUCT_DESCRIPTION,23,,20
,,,,,1,Brown_Sugar,,,,,,,,,,,,,
Bacon and Eggs,sc/icons.sc,recipe_bacon_and_eggs,TID_BACON_AND_EGGS,Barbecue_Grill,4,Egg,60,520,500,120,4,1,40,40,11,TID_BARBECUE_PRODUCT_DESCRIPTION,44,,40
,,,,,2,Bacon,,,,,,,,,,,,,
Hamburger,sc/icons.sc,recipe_hamburger,TID_HAMBURGER,Barbecue_Grill,2,Bread,120,500,500,110,5,1,33,33,18,TID_BARBECUE_PRODUCT_DESCRIPTION,38,,33
,,,,,2,Bacon,,,,,,,,,,,,,
Roasted Tomatoes,sc/icons.sc,recipe_roasted_tomatoes,TID_ROASTED_TOMATOES,Barbecue_Grill,2,Tomato,90,500,500,100,5,1,21,21,30,TID_BARBECUE_PRODUCT_DESCRIPTION,26,,21
Baked Potato,sc/icons.sc,recipe_baked_potato,TID_BAKED_POTATO,Barbecue_Grill,2,Potato,35,775,745,180,3,1,54,54,35,TID_BARBECUE_PRODUCT_DESCRIPTION,57,,54
,,,,,1,Cream,,,,,,,,,,,,,
,,,,,1,Chili,,,,,,,,,,,,,
,,,,,1,Cheese,,,,,,,,,,,,,
Fishburger,sc/icons.sc,recipe_fishburger,TID_FISHBURGER,Barbecue_Grill,2,Fish Meat,120,580,560,135,5,1,42,42,27,TID_BARBECUE_PRODUCT_DESCRIPTION,47,,42
,,,,,2,Bread,,,,,,,,,,,,,
,,,,,1,Chili,,,,,,,,,,,,,
Fish and Chips,sc/icons.sc,recipe_fishandchips,TID_PRODUCT_FISH_AND_CHIPS,Barbecue_Grill,2,Fish Meat,90,630,605,145,5,1,48,48,41,TID_BARBECUE_PRODUCT_DESCRIPTION,53,,48
,,,,,3,Potato,,,,,,,,,,,,,
