Name,MovementType,Speed,MinIdleTimeMS,MaxIdleTimeMS,MinMoveTimeMS,MaxMoveTimeMS,Targets,TargetsStopDistance
String,String,int,int,int,int,int,String,int
ErraticGround,Ground,40,2000,3000,2000,3200,,
ErraticGhostFollowsGhosts,Ghost,10,2000,3000,2000,3200,GhostPhotographer,1
ChillGhost,Ghost,10,1000,5000,5000,10000,,
PhotographerFollower,Ghost,20,1000,2000,2000,3500,Photographer,1
ChillGhostChained,Ghost,15,1000,2000,2000,3500,GhostDracula,1
ChillGhostMayor,Ghost,20,1000,2000,2000,3500,Truck,1
Flying,Flying,20,1000,10000,1000,10000,,
Stationary,Ground,0,10000,10000,10000,10000,,
ChillGround,Ground,10,1000,5000,5000,10000,,
SlowGround,Ground,7,1000,5000,5000,10000,,
FastGround,Ground,20,1000,5000,5000,10000,,
HuskySantaGroundFollower,Ground,20,1000,5000,5000,10000,HuskySanta,1
TruckGroundFollower,Ground,40,1000,5000,5000,10000,Truck,1
TomGroundFollower,Ground,40,1000,5000,5000,10000,Boy,3
RoseGroundFollower,Ground,20,1000,5000,5000,10000,CaretakerCharacter,2
EarnestGroundFollower,Ground,20,1000,5000,5000,10000,MillerCharacter,2
BaptisteGroundFollower,Ground,20,1000,5000,5000,10000,Photographer,1
TruckFloatingFollower,Ghost,10,1000,5000,5000,10000,Truck,1
SuperSlowGround,Ground,1,1000,5000,5000,10000,,
Chickzilla,Ground,10,3000,9000,5000,10000,,
ChickTilly,Ground,8,7000,7000,5000,10000,,
ChickMysteryBox,Ground,9,10000,10000,10000,10000,,
ChickTom,Ground,10,20000,20000,5000,10000,,
ChickBaptiste,Ground,9,10000,10000,5000,10000,,
ChickCapybara,Ground,12,4000,4000,5000,10000,,
ChickBubble,Flying,13,4000,8000,5000,10000,,
ChickSign,Ground,14,4500,4500,5000,10000,,
LambSnowy,Ground,14,4500,4500,5000,10000,,
LambFluff,Ground,14,4500,4500,5000,10000,,
Note01,Ground,14,4500,4500,5000,10000,,
Note02,Ground,14,4500,4500,5000,10000,,
Note03,Ground,14,4500,4500,10000,25000,,
Note04,Ground,14,4500,4500,5000,10000,,
Note05,Ground,14,4500,4500,10000,25000,,
Note06,Ground,14,4500,4500,5000,10000,,
Note07,Ground,14,4500,4500,5000,10000,,
Note08,Ground,14,4500,4500,15000,50000,,
CreatureMovementPlaceholder11,Ground,14,4500,4500,5000,10000,,
CreatureMovementPlaceholder12,Ground,14,4500,4500,5000,10000,,
CreatureMovementPlaceholder13,Ground,14,4500,4500,5000,10000,,
CreatureMovementPlaceholder14,Ground,14,4500,4500,5000,10000,,
CreatureMovementPlaceholder15,Ground,14,4500,4500,5000,10000,,
CreatureMovementPlaceholder16,Ground,14,4500,4500,5000,10000,,
CreatureMovementPlaceholder17,Ground,14,4500,4500,5000,10000,,
CreatureMovementPlaceholder18,Ground,14,4500,4500,5000,10000,,
CreatureMovementPlaceholder19,Ground,14,4500,4500,5000,10000,,
CreatureMovementPlaceholder20,Ground,14,4500,4500,5000,10000,,
