Name,TID,MinLevel,FrontIconFileName,FrontIconExportName,TargetIconFileName,TargetIconExportName,BaseColor,RibbonColor,StarLevel,BoxType,Rewards,RewardAmount,RewardPercentFromMax,MinAmount,MaxAmount,Target,FallbackBox,SpinWheelWeight,Notes,DescriptionTID,DiamondToCashRate,Deprecated
String,String,int,String,String,String,String,String,String,int,String,String,int,int,int,int,String,String,int,String,String,String,Boolean
Box_Barn_1Star,TID_BOX_BARN_1STAR,,sc/hud_decision_box.sc,dbox_icon_barn,sc/icons.sc,popup_warehouse_normal,Dbox_Red,Dbox_Grey,1,Upgrade,Bolt,,10,3,8,Barn,,,,TID_BOX_GENERIC_DESCRIPTION,,
,,,,,,,,,,,Plank,,10,3,8,Barn,,,,,,
,,,,,,,,,,,Duct Tape,,10,3,8,Barn,,,,,,
Box_Barn_2Star,TID_BOX_BARN_2STAR,,sc/hud_decision_box.sc,dbox_icon_barn,sc/icons.sc,popup_warehouse_normal,Dbox_Red,Dbox_Grey,2,Upgrade,Bolt,,20,6,16,Barn,,,,TID_BOX_GENERIC_DESCRIPTION,,
,,,,,,,,,,,Plank,,20,6,16,Barn,,,,,,
,,,,,,,,,,,Duct Tape,,20,6,16,Barn,,,,,,
Box_Barn_3Star,TID_BOX_BARN_3STAR,,sc/hud_decision_box.sc,dbox_icon_barn,sc/icons.sc,popup_warehouse_normal,Dbox_Red,Dbox_Grey,3,Upgrade,Bolt,,40,10,25,Barn,,,,TID_BOX_GENERIC_DESCRIPTION,,
,,,,,,,,,,,Plank,,40,10,25,Barn,,,,,,
,,,,,,,,,,,Duct Tape,,40,10,25,Barn,,,,,,
Box_Silo_1Star,TID_BOX_SILO_1STAR,,sc/hud_decision_box.sc,dbox_icon_silo,sc/icons.sc,popup_silo_normal,Dbox_Red,Dbox_White,1,Upgrade,Nail,,10,3,8,Silo,,,,TID_BOX_GENERIC_DESCRIPTION,,
,,,,,,,,,,,Screw,,10,3,8,Silo,,,,,,
,,,,,,,,,,,Wood Panel,,10,3,8,Silo,,,,,,
Box_Silo_2Star,TID_BOX_SILO_2STAR,,sc/hud_decision_box.sc,dbox_icon_silo,sc/icons.sc,popup_silo_normal,Dbox_Red,Dbox_White,2,Upgrade,Nail,,20,6,16,Silo,,,,TID_BOX_GENERIC_DESCRIPTION,,
,,,,,,,,,,,Screw,,20,6,16,Silo,,,,,,
,,,,,,,,,,,Wood Panel,,20,6,16,Silo,,,,,,
Box_Silo_3Star,TID_BOX_SILO_3STAR,,sc/hud_decision_box.sc,dbox_icon_silo,sc/icons.sc,popup_silo_normal,Dbox_Red,Dbox_White,3,Upgrade,Nail,,40,10,25,Silo,,,,TID_BOX_GENERIC_DESCRIPTION,,
,,,,,,,,,,,Screw,,40,10,25,Silo,,,,,,
,,,,,,,,,,,Wood Panel,,40,10,25,Silo,,,,,,
Box_Expansion_1Star,TID_BOX_EXPANSION_1STAR,22,sc/hud_decision_box.sc,dbox_icon_expansion,sc/icons.sc,icon_expansion,Dbox_Wood1,Dbox_Red,1,Upgrade,Land Deed,3,,,,FarmLowestExpansion,,,,TID_BOX_GENERIC_DESCRIPTION,,
,,,,,,,,,,,Mallet,3,,,,FarmLowestExpansion,,,,,,
,,,,,,,,,,,Marker Stake,3,,,,FarmLowestExpansion,,,,,,
