Level,ExpToNextLevel,GoodReward1,GoodAmount1,GoodReward2,GoodAmount2,GoodReward3,GoodAmount3,PaidGoodReward1,PaidGoodAmount1,PaidGoodReward2,PaidGoodAmount2,PaidGoodReward3,PaidGoodAmount3,ThresholdRewardSet1,ThresholdRewardSet2,ThresholdRewardSet3,ThresholdRewardSet4,ThresholdRewardSet5,MaxFields,MaxEvents,CaretakerStorageCapacity,MillerStorageCapacity,MaxCatAmount,MaxCatHouseAmount,MaxDogAmount,MaxDogHouseAmount,MaxHorseAmount,MaxPonyAmount,MaxHorseHouseAmount,MaxDonkeyAmount,MaxDonkeyHouseAmount,MaxBunnyAmount,MaxBunnyHouseAmount,MaxKittenAmount,MaxKittenHouseAmount,MaxPuppyAmount,MaxPuppyHouseAmount,MaxGuineaPigAmount,MaxGuineaPigHouseAmount,MaxBirdAmount,MaxBirdHouseAmount,MaxAlpacaAmount,MaxAlpacaHouseAmount,MaxHedgehog1Amount,MaxHedgehog2Amount,MaxHoglet1Amount,MaxHoglet2Amount,MaxHedgehogHouseAmount,MaxChickenHabitats,MaxCowHabitats,MaxSheepHabitats,MaxLambHabitats,MaxPigHabitats,MaxGoatHabitats,MaxHammermills,MaxSugarMills,MaxSmelters,MaxBeeHabitats,MaxSquirrelHabitats,MinGoodsInOrderDelivery,MaxGoodsInOrderDelivery,OrderCancelTimeMin,OrderSpeedUpPrice,BoatOrderSpeedUpPrice,MaxOrderCount,CashExpMultiplier,EventCounterClicks,OrderMinValue,OrderMaxValue,DiamondsToCoinsRate,DiamondsToCoinsRateV2,DiamondsToCoinsRateV3,GuestOrderValue,MinCrateAmountInBoatOrder,MaxCrateAmountInBoatOrder,MinBoatOrderValue,MaxBoatOrderValue,MinGoodTypesInBoatOrder,MaxGoodTypesInBoatOrder,MinBoatStayTimeMinutes,MaxBoatStayTimeMinutes,BoatETAMinutes,BoatRewardMultiplier,SpecialOrderProbablity,SpecialOrderMaxCount,TruckCoinMultiplier,TruckEXPMultiplier,BoatCrateCoinMultiplier,BoatCrateEXPMultiplier,EXPEventCurrencyMultiplier,GoodReward4,GoodAmount4,GoodReward5,GoodAmount5,GoodReward6,GoodAmount6,MinTruckOrderValueOfDay,MaxTruckOrderValueOfDay,TargetTruckOrdersPerDay,MaxLockedOrderProducts,MaxTruckOrderMultiplier,MinPeopleQuestEffort,MaxPeopleQuestEffort,PeopleQuestDealersChoiceExpReward,PeopleQuestDealersChoiceCoinReward
String,int,String,int,String,int,String,int,String,int,String,int,String,int,String,String,String,String,String,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,String,int,String,int,String,int,int,int,int,int,int,int,int,int,int
1,27,,,,,,,,,,,,,,,,,,6,24,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,2,2,3,5,,,100,,,600,600,600,5,1,1,,,1,1,,,,,,,100,100,100,100,100,,,,,,,10,100,8,1,200,10,20,10,10
2,7,FreeCash,85,Corn,4,Nail,1,,,,,,,,,,,,6,24,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,2,2,3,5,,,100,,,604,604,604,5,1,1,,,1,1,,,,,,,100,100,100,100,100,,,,,,,10,100,8,1,200,11,21,11,11
3,14,FreeDiamonds,1,Screw,1,Wood Panel,1,,,,,,,,,,,,9,36,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,2,2,3,5,,,100,,,611,611,611,5,1,1,,,1,1,,,,,,,100,100,100,100,100,,,,,,,10,100,8,1,200,12,22,12,12
4,30,FreeDiamonds,1,FreeCash,100,Bolt,1,,,,,,,,,,,,9,36,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,2,2,3,5,1,0,100,10,15,622,626,626,10,4,7,100,150,3,3,1080,1080,240,1000,,,100,100,100,100,100,,,,,,,10,100,8,1,200,13,23,13,13
5,50,Soybean,10,FreeDiamonds,1,Plank,1,,,,,,,,,,,,15,48,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,2,2,3,5,7,0,13,10,15,637,641,641,12,4,7,100,150,3,3,1080,1080,240,1000,,,100,100,100,100,100,,,,,,,10,100,8,1,200,14,24,14,14
6,220,Cow Food,5,Milk,10,Duct Tape,1,,,,,,,,,,,,15,48,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,1,3,3,3,5,7,0,17,10,15,656,656,656,13,4,7,100,150,3,3,1080,1080,240,1000,,,100,100,100,100,100,,,,,,,10,100,8,1,200,15,25,15,15
7,370,Sugarcane,10,FreeDiamonds,1,,,,,,,,,,,,,,21,60,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,1,3,4,3,5,7,0,21,10,15,680,680,680,14,4,7,100,150,3,3,1080,1080,240,1000,,,100,100,100,100,100,,,,,,,10,100,8,1,200,16,26,16,16
8,490,Saw,1,FreeDiamonds,1,,,,,,,,,,,,,,21,60,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,1,3,5,3,5,7,0,23,10,15,709,709,709,15,4,7,100,150,3,3,1080,1080,240,6000,,,250,400,150,300,100,,,,,,,10,100,8,1,200,17,27,17,17
9,790,Carrot,10,,,,,,,,,,,,,,,,24,72,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,1,3,6,3,5,7,0,26,10,15,742,742,742,17,4,7,100,150,3,3,1080,1080,240,6000,,,250,400,150,300,100,,,,,,,10,100,8,1,200,18,28,18,18
10,960,Pig Food,5,FreeDiamonds,1,Bacon,10,,,,,,,,,,,,24,72,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,1,1,,,,1,3,7,3,5,7,0,29,10,15,781,921,921,18,4,7,100,150,3,3,1080,1080,240,6000,5,3,250,400,150,300,100,,,,,,,10,100,8,1,200,19,29,19,19
11,1180,Demolition Charge,1,Dynamite,1,,,,,,,,,,,,,,24,84,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,1,1,,,,1,4,8,3,5,7,0,39,10,15,825,1100,46000,19,4,7,100,155,3,3,1080,1080,240,6000,5,3,250,400,150,300,100,,,,,,,10,100,8,1,200,20,30,20,20
12,1550,Axe,1,FreeDiamonds,1,,,,,,,,,,,,,,24,84,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,1,,2,1,,,,1,4,9,3,5,7,0,43,10,16,874,1279,64000,21,4,7,105,155,3,3,1080,1080,240,6000,5,3,250,400,150,300,100,,,,,,,10,100,8,1,200,21,31,21,21
13,1790,Indigo,10,,,,,,,,,,,,,,,,24,96,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,1,,2,1,,,,1,4,10,3,5,7,0,45,10,16,928,1279,64000,22,4,7,105,155,3,3,1080,1080,240,6000,5,3,250,400,150,300,100,,,,,,,10,100,8,1,200,22,32,22,22
14,2270,Saw,2,FreeDiamonds,1,,,,,,,,,,,,,,24,96,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,1,,2,1,,,,1,4,11,3,5,7,0,49,10,16,988,1279,64000,23,4,7,105,155,3,3,1080,1080,240,6000,5,3,250,400,150,300,100,,,,,,,10,100,8,1,200,23,33,23,23
15,2880,Pumpkin,10,,,,,,,,,,,RS1,,,,,27,108,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,1,,2,1,,,,1,4,12,3,5,7,0,53,10,16,1054,1375,64000,25,4,7,105,155,3,3,1080,1080,240,6000,5,3,250,400,150,300,100,,,,,,,10,100,8,1,200,24,34,24,24
16,3270,Sheep Food,5,,,,,,,,,,,RS1,,,,,27,108,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,1,,2,1,,,,1,5,13,3,5,7,0,55,10,16,1125,1471,64000,26,4,7,105,160,3,3,1080,1080,240,6000,5,3,250,400,150,300,100,,,,,,,10,100,8,1,200,25,35,25,25
17,4120,Saw,1,,,,,,,,,,,RS2,,,,,30,120,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,1,,2,1,,,,1,5,14,3,5,7,0,59,11,16,1203,1567,64000,27,4,7,110,160,3,3,1080,1080,240,6000,5,3,250,400,150,300,100,,,,,,,10,100,8,1,200,26,36,26,26
18,4740,Saw,1,Cotton,3,,,,,,,,,RS1,,,,,30,120,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,2,,2,1,,,,1,5,15,3,5,7,0,61,11,16,1286,1869,78000,28,4,7,110,160,3,3,1080,1080,240,6000,5,3,250,400,150,300,100,,,,,,,10,100,8,1,200,27,37,27,27
19,5610,,,,,,,,,,,,,RS2,,,,,33,132,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,2,,2,1,,,,1,5,15,3,5,7,0,65,11,16,1375,2171,90000,30,4,7,110,160,3,3,1080,1080,240,6000,5,3,250,400,150,300,100,,,,,,,10,100,8,1,200,28,38,28,28
20,6320,,,,,,,,,,,,,RS3,,,,,33,132,30,30,,,1,1,,,,,,,,,,,,,,1,1,,,,,,,,2,2,1,,2,,2,1,,,,1,5,20,3,5,7,0,69,11,17,1471,4048,100000,31,6,8,115,165,3,3,1080,1080,240,6000,5,3,250,400,150,300,100,,,,,,,10,100,8,1,200,29,39,29,29
21,7750,,,,,,,,,,,,,RS4,,,,,36,144,30,30,1,1,1,1,,,,,,,,,,,,,,1,1,,,,,,,,2,2,1,,2,,2,1,,,,1,5,20,3,5,7,0,70,11,17,1572,5924,100000,32,6,8,115,165,3,3,1080,1080,240,6000,5,3,250,400,150,300,100,,,,,,,10,100,8,1,200,30,40,30,30
22,9140,,,,,,,,,,,,,RS1,,,,,36,144,30,30,1,1,1,1,,,,,,,,,,,,,,1,1,,,,,,,,2,2,1,,2,,2,1,,,,1,5,20,3,5,8,0,60,11,17,1680,5941,100000,34,6,8,115,170,3,3,1080,1080,240,6000,5,3,250,400,150,300,100,,,,,,,10,100,8,1,200,31,41,31,31
23,10830,Bolt,2,Duct Tape,2,Plank,2,,,,,,,RS3,RSNail_2,RSScrew_2,RSWoodPanel_2,,39,156,30,30,1,1,1,1,,,,,,,,,,,,,,1,1,,,,,,,,3,2,1,,2,,2,1,,,,1,5,20,3,5,8,0,63,11,17,1794,5958,100000,35,6,8,120,170,3,3,1080,1080,240,6000,5,3,250,400,150,300,100,,,,,,,10,100,8,1,200,32,42,32,32
