Name,FileName,ExportName,ToolIconFileName,ToolIconExportName,Value,UnlockLevel,Harvest,TimeMin,TimeSec,OrderPrice,OrderExp,ExpCollect,InstantFertilize,Price,OrderValue,BoatOrderValue,InstantComplete,DumbValue,TID,DiamondPrice,TileWidth,TileHeight,BuySound,TapSound,Difficulty,PendingRelease,OrderValueV2,PlantCashPrice,IconFileName,IconExportName,PlantCashAmounts,PlantCashMinLevels
String,String,String,String,String,int,int,int,int,int,int,int,int,int,int,int,int,int,int,String,int,int,int,String,String,int,Boolean,int,int,String,String,String,String
EmptyField,sc/nature_new.sc,field_empty,sc/icons.sc,tool_harvest,,,,,,,,,,1,,,,,TID_EMPTY_FIELD,,1,1,Buy,CropSeed,,,,1,,,1,0
Wheat,sc/nature_new.sc,crop_wheat,sc/icons.sc,tool_plant_all,50,1,2,2,,500,500,100,2,,1,1,1,1,TID_WHEAT,1,1,1,CropSeed,CropSeed,2,,1,6,sc/icons.sc,icon_wheat,5;10,0;15
Corn,sc/nature_new.sc,crop_corn,sc/icons.sc,tool_plant_all,95,2,2,5,,500,500,100,4,,1,1,1,1,TID_CORN,1,1,1,CropSeed,CropSeed,2,,1,11,sc/icons.sc,icon_corn,5;10,0;15
Soybean,sc/nature_new.sc,crop_soybeans,sc/icons.sc,tool_plant_all,251,5,2,20,,500,500,100,9,,2,2,2,1,TID_SOY_BEAN,2,1,1,CropSeed,CropSeed,4,,2,17,sc/icons.sc,icon_soybeans,5;10,0;15
Sugarcane,sc/nature_new.sc,crop_sugarcane,sc/icons.sc,tool_plant_all,166,7,2,30,,500,500,100,11,,3,3,3,1,TID_SUGAR_CANE,3,1,1,CropSeed,CropSeed,6,,3,21,sc/icons.sc,icon_sugarcane,5;10,0;15
Carrot,sc/nature_new.sc,crop_carrots,sc/icons.sc,tool_plant_all,132,9,2,10,,500,500,100,6,,2,2,2,1,TID_CARROT,2,1,1,CropSeed,CropSeed,4,,2,11,sc/icons.sc,icon_carrots,5;10,0;15
Indigo,sc/nature_new.sc,crop_indigo,sc/icons.sc,tool_plant_all,896,13,2,120,,500,500,100,25,,5,5,5,1,TID_INDIGO,5,1,1,CropSeed,CropSeed,10,,5,38,sc/icons.sc,icon_indigo,5;10,0;15
Pumpkin,sc/nature_new.sc,crop_pumpkins,sc/icons.sc,tool_plant_all,514,15,2,180,,500,500,100,32,,6,6,6,1,TID_PUMPKIN,6,1,1,CropSeed,CropSeed,12,,6,48,sc/icons.sc,icon_pumpkin,5;10,0;15
Chili,sc/nature_new.sc,crop_chili,sc/icons.sc,tool_plant_all,679,25,2,240,,500,500,100,38,,7,7,7,1,TID_CHILI,7,1,1,CropSeed,CropSeed,14,,7,54,sc/icons.sc,icon_chili,5;10,0;15
Tomato,sc/nature_new.sc,crop_tomatoes,sc/icons.sc,tool_plant_all,679,30,2,360,,500,500,100,49,,8,8,8,1,TID_TOMATO,8,1,1,CropSeed,CropSeed,16,,8,65,sc/icons.sc,icon_tomato,5;10,0;15
Strawberry,sc/nature_new.sc,crop_strawberries,sc/icons.sc,tool_plant_all,679,34,2,480,,500,500,100,50,,10,10,10,1,TID_STRAWBERRY,10,1,1,CropSeed,CropSeed,20,,10,75,sc/icons.sc,icon_strawberry,5;10,0;15
Potato,sc/nature_new.sc,crop_potatoes,sc/icons.sc,tool_plant_all,679,35,2,220,,500,500,100,32,,7,7,7,1,TID_POTATO,7,1,1,CropSeed,CropSeed,14,,7,54,sc/icons.sc,icon_potatoes,5;10,0;15
Rice,sc/nature_new.sc,crop_rice,sc/icons.sc,tool_plant_all,679,56,2,45,,500,500,100,13,,3,3,3,1,TID_CROP_RICE,3,1,1,CropSeed,CropSeed,6,,3,27,sc/icons.sc,icon_rice,5;10,0;15
Lettuce,sc/nature_new.sc,crop_lettuce,sc/icons.sc,tool_plant_all,679,58,2,210,,500,500,100,30,,7,7,7,1,TID_CROP_LETTUCE,7,1,1,CropSeed,CropSeed,14,,7,48,sc/icons.sc,icon_lettuce,5;10,0;15
Cotton,sc/nature_new.sc,crop_cotton,sc/icons.sc,tool_plant_all,679,18,2,150,,500,500,100,30,,6,6,6,1,TID_CROP_COTTON,7,1,1,CropSeed,CropSeed,12,,6,44,sc/icons.sc,icon_cotton,5;10,0;15
Onion,sc/nature_new.sc,crop_onion,sc/icons.sc,tool_plant_all,679,68,2,300,,500,500,100,45,,8,8,8,1,TID_CROP_ONION,8,1,1,CropSeed,CropSeed,16,,8,60,sc/icons.sc,icon_onion,5;10,0;15
TeaLeaves,sc/nature_new.sc,crop_tea,sc/icons.sc,tool_plant_all,679,80,2,390,,500,500,100,49,,9,9,9,1,TID_CROP_TEALEAVES,9,1,1,CropSeed,CropSeed,18,,9,65,sc/icons.sc,icon_tea,5;10,0;15
Grapes,sc/nature_new.sc,crop_grape,sc/icons.sc,tool_plant_all,679,84,2,180,,500,500,100,32,,6,6,6,1,TID_CROP_GRAPES,6,1,1,CropSeed,CropSeed,12,,6,48,sc/icons.sc,icon_grape,5;10,0;15
Sunflower,sc/nature_new.sc,crop_sunflower,sc/icons.sc,tool_plant_all,679,63,2,90,,500,500,100,32,,5,5,5,1,TID_CROP_SUNFLOWER,5,1,1,CropSeed,CropSeed,10,,5,33,sc/icons.sc,icon_sunflower,5;10,0;15
Peony,sc/nature_new.sc,crop_peony,sc/icons.sc,tool_plant_all,679,82,2,240,,500,500,100,32,,7,7,7,1,TID_CROP_PEONY,7,1,1,CropSeed,CropSeed,14,,7,54,sc/icons.sc,icon_peony,5;10,0;15
Bellpepper,sc/nature_new.sc,crop_bellpepper,sc/icons.sc,tool_plant_all,679,74,2,270,,500,500,100,32,,7,7,7,1,TID_BELLPEPPER,7,1,1,CropSeed,CropSeed,14,,7,54,sc/icons.sc,icon_bellpepper,5;10,0;15
Mint,sc/nature_new.sc,crop_mint,sc/icons.sc,tool_plant_all,679,85,2,180,,500,500,100,32,,6,6,6,1,TID_MINT,6,1,1,CropSeed,CropSeed,12,,6,48,sc/icons.sc,icon_mint,5;10,0;15
Watermelon,sc/nature_new.sc,crop_watermelon,sc/icons.sc,tool_plant_all,679,92,2,300,,500,500,100,32,,8,8,8,1,TID_WATERMELON,8,1,1,CropSeed,CropSeed,16,,8,60,sc/icons.sc,icon_watermelon,5;10,0;15
Cucumber,sc/nature_new.sc,crop_cucumber,sc/icons.sc,tool_plant_all,679,70,2,35,,500,500,100,32,,3,3,3,1,TID_CUCUMBER,3,1,1,CropSeed,CropSeed,6,,3,21,sc/icons.sc,icon_cucumber,5;10,0;15
