Name,ToLevel,Bucket
String,int,String
CropGroup1,31,CropGroup1_Bucket1
,71,CropGroup1_Bucket2
,9999,CropGroup1_Bucket3
CropGroup2,31,CropGroup2_Bucket1
,71,CropGroup2_Bucket2
,9999,CropGroup2_Bucket3
CropGroup3,31,CropGroup3_Bucket1
,71,CropGroup3_Bucket2
,9999,CropGroup3_Bucket3
AnimalGroup1,15,AnimalGroup1_Bucket1
,27,AnimalGroup1_Bucket2
,9999,AnimalGroup1_Bucket3
AnimalGroup2,15,AnimalGroup2_Bucket1
,27,AnimalGroup2_Bucket2
,9999,AnimalGroup2_Bucket3
AnimalGroup3,15,AnimalGroup3_Bucket1
,27,AnimalGroup3_Bucket2
,9999,AnimalGroup3_Bucket3
ProductionGroup1,42,ProductionGroup1_Bucket1
,76,ProductionGroup1_Bucket2
,9999,ProductionGroup1_Bucket3
ProductionGroup2,42,ProductionGroup2_Bucket1
,76,ProductionGroup2_Bucket2
,9999,ProductionGroup2_Bucket3
ProductionGroup3,42,ProductionGroup3_Bucket1
,76,ProductionGroup3_Bucket2
,9999,ProductionGroup3_Bucket3
