Name,ToolIconFileName,ToolIconExportName,TID,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,ProcessingBuilding,UnlockLevel,DescriptionTID,Difficulty,PendingRelease,OrderValueV2
String,String,String,String,int,String,int,int,int,int,int,int,int,int,String,int,string,int,Boolean,int
Apple Jam,sc/icons.sc,recipe_apple_jam,TID_APPLE_JAM,3,Apple,360,565,545,130,8,1,29,29,Jam_Maker,35,TID_JAM_MAKER_PRODUCT_DESCRIPTION,37,,29
Raspberry Jam,sc/icons.sc,recipe_raspberry_jam,TID_RASPBERRY_JAM,3,Raspberry,420,645,620,150,9,1,36,36,Jam_Maker,36,TID_JAM_MAKER_PRODUCT_DESCRIPTION,45,,36
Blackberry Jam,sc/icons.sc,recipe_blackberry_jam,TID_BLUEBERRY_JAM,3,Blackberry,480,1005,970,230,10,1,58,58,Jam_Maker,37,TID_JAM_MAKER_PRODUCT_DESCRIPTION,68,,58
Cherry Jam,sc/icons.sc,recipe_cherry_jam,TID_CHERRY_JAM,3,Cherry,420,865,835,200,9,1,48,48,Jam_Maker,38,TID_JAM_MAKER_PRODUCT_DESCRIPTION,57,,48
Strawberry Jam,sc/icons.sc,recipe_strawberry_jam,TID_STRAWBERRY_JAM,3,Strawberry,450,700,670,160,9,1,39,39,Jam_Maker,50,TID_JAM_MAKER_PRODUCT_DESCRIPTION,48,,39
Marmelade,sc/icons.sc,recipe_marmelade,TID_PRODUCT_MARMELADE,3,Orange,510,1180,1135,270,10,1,64,64,Jam_Maker,74,TID_JAM_MAKER_PRODUCT_DESCRIPTION,74,,64
Peach Jam,sc/icons.sc,recipe_peach_jam,TID_PRODUCT_PEACHJAM,3,Peach,480,1195,1150,275,10,1,61,61,Jam_Maker,79,TID_JAM_MAKER_PRODUCT_DESCRIPTION,71,,61
Grape Jam,sc/icons.sc,recipe_grape_jam,TID_GRAPE_JAM,3,Grapes,390,500,500,100,9,1,27,27,Jam_Maker,85,TID_JAM_MAKER_PRODUCT_DESCRIPTION,36,,27
PlumJam,sc/icons.sc,recipe_plum_jam,TID_PRODUCT_PLUMJAM,3,Plum,300,995,955,230,8,1,56,56,Jam_Maker,94,TID_JAM_MAKER_PRODUCT_DESCRIPTION,64,,56
Passion Fruit Jam,sc/icons.sc,recipe_passionfruit_jam,TID_PRODUCT_PASSION_FRUIT_JAM,3,PassionFruit,320,500,500,100,8,1,20,20,Jam_Maker,96,TID_JAM_MAKER_PRODUCT_DESCRIPTION,28,,20
Blueberry Chutney,sc/icons.sc,recipe_blueberry_chutney,TID_PRODUCT_BLUEBERRY_CHUTNEY,3,Blueberry,240,1500,1440,345,7,1,86,89,Jam_Maker,70,TID_JAM_MAKER_PRODUCT_DESCRIPTION,93,,86
,,,,1,Onion,,,,,,,,,,,,,,
,,,,1,Lemon,,,,,,,,,,,,,,
,,,,1,Brown_Sugar,,,,,,,,,,,,,,
