Layer,Prop,Chance,SpawnX,SpawnY,SpawnRangeX,SpawnRangeY,Scale,Category
String,String,int,int,int,int,int,int,String
Front,PropCow,1,0,110,5,5,100,
,PropChicken,1,0,110,5,5,100,
,PropSheep,1,0,110,5,5,100,
,PropPig,1,0,110,5,5,100,
,PropGoat,1,0,110,5,5,100,
,PropGrass,1,0,110,5,15,100,
,PropTree,5,0,130,5,5,100,Truck
,PropCrate,5,0,110,5,5,100,Boat
,None,10,0,0,5,5,100,
Middle,PropCow,1,0,40,10,5,100,
,PropChicken,1,0,40,10,5,100,
,PropSheep,1,0,40,10,5,100,
,PropPig,1,0,40,10,5,100,
,PropGoat,1,0,40,10,5,100,Truck;Boat
,PropGrass,5,0,30,5,5,100,
,PropFence,5,0,20,5,5,100,
,None,10,0,0,0,0,100,
Back,PropCow,1,0,-110,5,5,100,
,PropChicken,1,0,-110,5,5,100,
,PropSheep,1,0,-110,5,5,100,
,PropPig,1,0,-110,5,5,100,
,PropSilo,1,0,-180,5,5,100,Truck
,PropBarn,1,0,-180,5,5,100,Truck
,PropDice,1,0,-100,5,5,100,Truck;Boat
,PropGoat,1,0,-110,5,5,100,Truck;Boat
,PropFence,5,0,-90,5,5,100,Truck;Boat
,PropRock,3,0,-110,5,5,100,Boat
,PropCrate,3,0,-110,5,5,100,Boat
,PropPalmTree,3,0,-140,5,5,96,Boat
,PropRock,3,0,-120,5,5,75,Boat
,PropCrate,3,0,-120,5,5,75,Boat
,PropPalmTree,3,0,-150,5,5,75,Boat
,None,5,0,0,0,0,100,
