Name,ToolIconFileName,ToolIconExportName,TID,ProcessingBuilding,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,UnlockLevel,DescriptionTID,Difficulty,PendingRelease,OrderValueV2
String,String,String,String,String,int,String,int,int,int,int,int,int,int,int,int,string,int,Boolean,int
Gnocchi,sc/icons.sc,recipe_gnocchi,TID_PRODUCT_GNOCCHI,Pasta_Kitchen,4,Potato,80,1225,1180,285,4,1,88,88,72,TID_PASTA_KITCHEN_PRODUCT_DESCRIPTION,92,,88
,,,,,2,Wheat,,,,,,,,,,,,,
,,,,,3,Tomato,,,,,,,,,,,,,
,,,,,2,Butter,,,,,,,,,,,,,
Lasagna,sc/icons.sc,recipe_lasagne,TID_PRODUCT_LASAGNA,Pasta_Kitchen,3,Raw Pasta,100,1375,1325,315,5,1,97,100,74,TID_PASTA_KITCHEN_PRODUCT_DESCRIPTION,102,,97
,,,,,1,Cheese,,,,,,,,,,,,,
,,,,,1,Tomato Sauce,,,,,,,,,,,,,
,,,,,1,Carrot,,,,,,,,,,,,,
Lobster Pasta,sc/icons.sc,recipe_lobsterpasta,TID_PRODUCT_LOBSTERPASTA,Pasta_Kitchen,3,Raw Pasta,120,1645,1580,380,5,1,98,106,79,TID_PASTA_KITCHEN_PRODUCT_DESCRIPTION,103,,98
,,,,,1,Lobster Meat,,,,,,,,,,,,,
,,,,,4,Tomato,,,,,,,,,,,,,
,,,,,2,Cream,,,,,,,,,,,,,
Pasta Carbonara,sc/icons.sc,recipe_carbonara,TID_PRODUCT_PASTACARBONARA,Pasta_Kitchen,3,Raw Pasta,150,1060,1020,245,6,1,76,76,83,TID_PASTA_KITCHEN_PRODUCT_DESCRIPTION,82,,76
,,,,,1,Egg,,,,,,,,,,,,,
,,,,,2,Bacon,,,,,,,,,,,,,
,,,,,1,Cheese,,,,,,,,,,,,,
Spicy spaghetti,sc/icons.sc,recipe_spicy_pasta,TID_PRODUCT_SPICYSPAGHETTI,Pasta_Kitchen,3,Raw Pasta,90,1485,1430,345,5,1,108,111,87,TID_PASTA_KITCHEN_PRODUCT_DESCRIPTION,113,,108
,,,,,1,Tomato Sauce,,,,,,,,,,,,,
,,,,,3,Chili,,,,,,,,,,,,,
,,,,,2,Onion,,,,,,,,,,,,,
Broccoli Mac,sc/icons.sc,recipe_broccoli_mac,TID_PRODUCT_BROCCOLIMAC,Pasta_Kitchen,3,Broccoli,60,890,855,205,4,1,62,62,83,TID_PASTA_KITCHEN_PRODUCT_DESCRIPTION,66,,62
,,,,,3,Raw Pasta,,,,,,,,,,,,,
,,,,,1,Cheese,,,,,,,,,,,,,
MushroomPasta,sc/icons.sc,recipe_mushroom_pasta,TID_MUSHROOM_PASTA,Pasta_Kitchen,3,Raw Pasta,75,720,695,165,4,1,51,51,101,TID_PASTA_KITCHEN_PRODUCT_DESCRIPTION,55,,51
,,,,,5,Mushroom,,,,,,,,,,,,,
,,,,,1,Goat Milk,,,,,,,,,,,,,
