Name,ToolIconFileName,ToolIconExportName,TID,ProcessingBuilding,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,UnlockLevel,DescriptionTID,Difficulty,PendingRelease,OrderValueV2
String,String,String,String,String,int,String,int,int,int,int,int,int,int,int,int,string,int,Boolean,int
Carrot Pie,sc/icons.sc,recipe_carrot_pie,TID_CARROT_PIE,Pie_Oven,3,Carrot,60,500,500,100,4,1,16,16,14,TID_PIE_OVEN_PRODUCT_DESCRIPTION,20,,16
,,,,,2,Wheat,,,,,,,,,,,,,
,,,,,1,Egg,,,,,,,,,,,,,
Bacon Pie,sc/icons.sc,recipe_bacon_pie,TID_BACON_PIE,Pie_Oven,3,Bacon,180,570,550,130,6,1,42,42,18,TID_PIE_OVEN_PRODUCT_DESCRIPTION,48,,42
,,,,,2,Wheat,,,,,,,,,,,,,
,,,,,1,Egg,,,,,,,,,,,,,
Pumpkin Pie,sc/icons.sc,recipe_pumpkin_pie,TID_PUMPKIN_PIE,Pie_Oven,3,Pumpkin,120,500,500,100,5,1,29,29,15,TID_PIE_OVEN_PRODUCT_DESCRIPTION,34,,29
,,,,,2,Wheat,,,,,,,,,,,,,
,,,,,1,Egg,,,,,,,,,,,,,
Apple Pie,sc/icons.sc,recipe_apple_pie,TID_APPLE_PIE,Pie_Oven,3,Apple,150,700,675,160,6,1,50,60,28,TID_PIE_OVEN_PRODUCT_DESCRIPTION,56,,50
,,,,,2,Wheat,,,,,,,,,,,,,
,,,,,1,Egg,,,,,,,,,,,,,
,,,,,1,Syrup,,,,,,,,,,,,,
Feta Pie,sc/icons.sc,recipe_feta_pie,TID_FETA_PIE,Pie_Oven,1,Goat Cheese,90,570,550,130,5,1,42,42,34,TID_PIE_OVEN_PRODUCT_DESCRIPTION,47,,42
,,,,,2,Wheat,,,,,,,,,,,,,
,,,,,1,Egg,,,,,,,,,,,,,
Casserole,sc/icons.sc,recipe_casserole,TID_CASSEROLE,Pie_Oven,2,Potato,120,945,910,220,5,1,69,69,36,TID_PIE_OVEN_PRODUCT_DESCRIPTION,74,,69
,,,,,1,Cheese,,,,,,,,,,,,,
,,,,,2,Bacon,,,,,,,,,,,,,
,,,,,2,Egg,,,,,,,,,,,,,
Shepherds Pie,sc/icons.sc,recipe_shepherds_pie,TID_SHEPHERDS_PIE,Pie_Oven,2,Potato,100,730,700,170,5,1,55,55,39,TID_PIE_OVEN_PRODUCT_DESCRIPTION,60,,55
,,,,,2,Carrot,,,,,,,,,,,,,
,,,,,2,Bacon,,,,,,,,,,,,,
,,,,,2,Pumpkin,,,,,,,,,,,,,
Fish Pie,sc/icons.sc,recipe_fishpie,TID_FISHPIE,Pie_Oven,3,Fish Meat,120,585,565,135,5,1,44,44,28,TID_PIE_OVEN_PRODUCT_DESCRIPTION,48,,44
,,,,,2,Wheat,,,,,,,,,,,,,
,,,,,1,Egg,,,,,,,,,,,,,
Lemon Pie,sc/icons.sc,recipe_lemon_pie,TID_PRODUCT_LEMON_PIE,Pie_Oven,1,Lemon Curd,135,1145,1105,265,5,1,82,87,67,TID_PIE_OVEN_PRODUCT_DESCRIPTION,87,,82
,,,,,2,Wheat,,,,,,,,,,,,,
,,,,,1,Egg,,,,,,,,,,,,,
Peach Tart,sc/icons.sc,recipe_peach_tart,TID_PRODUCT_PEACHTART,Pie_Oven,3,Peach,150,1125,1080,260,6,1,75,75,76,TID_PIE_OVEN_PRODUCT_DESCRIPTION,81,,75
,,,,,2,Wheat,,,,,,,,,,,,,
,,,,,1,Cream,,,,,,,,,,,,,
,,,,,2,Egg,,,,,,,,,,,,,
Eggplant Parmesan,sc/icons.sc,recipe_eggplant_parmesana,TID_PRODUCT_EGGPLANT_PARMESAN,Pie_Oven,4,Eggplant,45,1140,1100,265,3,1,79,82,99,TID_PIE_OVEN_PRODUCT_DESCRIPTION,82,,79
,,,,,1,Tomato Sauce,,,,,,,,,,,,,
,,,,,1,Cheese,,,,,,,,,,,,,
Chocolate Pie,sc/icons.sc,recipe_chocolate_pie,TID_PRODUCT_CHOCOLATEPIE,Pie_Oven,3,Wheat,75,1520,1460,350,4,1,49,49,65,TID_PIE_OVEN_PRODUCT_DESCRIPTION,53,,49
,,,,,1,Egg,,,,,,,,,,,,,
,,,,,2,Cacao,,,,,,,,,,,,,
,,,,,1,PeanutBag,,,,,,,,,,,,,
Mushroom Pot Pie,sc/icons.sc,recipe_cabbageandmushroom_pie,TID_PRODUCT_CABBAGEPIE,Pie_Oven,3,Wheat,60,500,500,100,4,1,30,30,97,TID_PIE_OVEN_PRODUCT_DESCRIPTION,34,,30
,,,,,2,Egg,,,,,,,,,,,,,
,,,,,3,Mushroom,,,,,,,,,,,,,
,,,,,3,Cabbage,,,,,,,,,,,,,
Passion Fruit Pie,sc/icons.sc,recipe_passionfruit_pie,TID_PRODUCT_PASSION_FRUIT_PIE,Pie_Oven,3,PassionFruit,50,500,500,100,3,1,21,21,92,TID_PIE_OVEN_PRODUCT_DESCRIPTION,24,,21
,,,,,2,Wheat,,,,,,,,,,,,,
,,,,,1,Egg,,,,,,,,,,,,,
Asparagus Quiche,sc/icons.sc,recipe_asparagus_quiche,TID_PRODUCT_ASPARAGUS_QUICHE,Pie_Oven,2,Asparagus,120,780,750,180,5,1,55,55,49,TID_PIE_OVEN_PRODUCT_DESCRIPTION,60,,55
,,,,,2,Egg,,,,,,,,,,,,,
,,,,,1,Cheese,,,,,,,,,,,,,
,,,,,4,Wheat,,,,,,,,,,,,,
