Name,ToolIconFileName,ToolIconExportName,TID,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,ProcessingBuilding,UnlockLevel,DescriptionTID,Difficulty,PendingRelease,Deprecated,DiamondPrice,OrderValue2
String,String,String,String,int,String,int,int,int,int,int,int,int,int,String,int,string,int,Boolean,Boolean,int,int
Gift_Box1,sc/icons.sc,gift_package01,TID_GIFT_BOX1,1,Corn Bread,10,500,500,285,10,1,55,100,Gift_Wrapping_Station_2024,17,TID_GIFT_BOX_DESCRIPTION,65,,,,55
,,,,3,Apple,,,,,,,,,,,,,,,,
,,,,1,Wool,,,,,,,,,,,,,,,,
Gift_Box2,sc/icons.sc,gift_package02,TID_GIFT_BOX2,1,Bacon and Eggs,10,500,500,420,10,1,85,100,Gift_Wrapping_Station_2024,17,TID_GIFT_BOX_DESCRIPTION,95,,,,85
,,,,5,Indigo,,,,,,,,,,,,,,,,
,,,,5,Carrot,,,,,,,,,,,,,,,,
Gift_Box3,sc/icons.sc,gift_package03,TID_GIFT_BOX3,1,Fish Pie,10,500,500,490,10,1,94,100,Gift_Wrapping_Station_2024,30,TID_GIFT_BOX_DESCRIPTION,104,,,,94
,,,,5,Tomato,,,,,,,,,,,,,,,,
,,,,5,Corn,,,,,,,,,,,,,,,,
Gift_Box4,sc/icons.sc,gift_package04,TID_GIFT_BOX4,1,Cherry Popsicle,10,665,500,665,10,1,128,100,Gift_Wrapping_Station_2024,35,TID_GIFT_BOX_DESCRIPTION,138,,,,128
,,,,5,Strawberry,,,,,,,,,,,,,,,,
,,,,1,Goat Milk,,,,,,,,,,,,,,,,
Easter_egg1,sc/icons.sc,egg_package01,TID_EASTER_EGG1,1,Brown_Sugar,30,500,500,100,3,1,,34,Easter_Egg_Maker,17,TID_EASTER_EGG_DESCRIPTION,34,,,,
,,,,2,Egg,,,,,,,,,,,,,,,,
,,,,3,Indigo,,,,,,,,,,,,,,,,
