Name,ToolIconFileName,ToolIconExportName,TID,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,ProcessingBuilding,UnlockLevel,DescriptionTID,Difficulty,PendingRelease,OrderValueV2
String,String,String,String,int,String,int,int,int,int,int,int,int,int,String,int,string,int,Boolean,int
Green Tea,sc/icons.sc,recipe_green_tea,TID_PRODUCT_GREENTEA,5,TeaLeaves,30,625,600,145,3,1,48,48,Tea_Stand,80,TID_TEA_STAND_PRODUCT_DESCRIPTION,51,,48
Milk Tea,sc/icons.sc,recipe_milk_tea,TID_PRODUCT_MILKTEA,3,TeaLeaves,45,500,500,115,3,1,36,36,Tea_Stand,81,TID_TEA_STAND_PRODUCT_DESCRIPTION,39,,36
,,,,1,Milk,,,,,,,,,,,,,,
Honey Tea,sc/icons.sc,recipe_honey_tea,TID_PRODUCT_HONEYTEA,3,TeaLeaves,40,810,775,185,3,1,38,38,Tea_Stand,83,TID_TEA_STAND_PRODUCT_DESCRIPTION,41,,38
,,,,1,Honey,,,,,,,,,,,,,,
Lemon Tea,sc/icons.sc,recipe_lemon_tea,TID_PRODUCT_LEMONTEA,3,TeaLeaves,20,625,600,145,2,1,47,47,Tea_Stand,86,TID_TEA_STAND_PRODUCT_DESCRIPTION,49,,47
,,,,1,Lemon,,,,,,,,,,,,,,
Orange Tea,sc/icons.sc,recipe_earlgrey_tea,TID_PRODUCT_ORANGETEA,3,TeaLeaves,40,655,630,150,3,1,48,48,Tea_Stand,89,TID_TEA_STAND_PRODUCT_DESCRIPTION,51,,48
,,,,1,Orange,,,,,,,,,,,,,,
Ice Tea,sc/icons.sc,recipe_iced_tea,TID_PRODUCT_ICEDTEA,3,TeaLeaves,30,655,630,150,3,1,47,47,Tea_Stand,92,TID_TEA_STAND_PRODUCT_DESCRIPTION,50,,47
,,,,1,Peach,,,,,,,,,,,,,,
MintTea,sc/icons.sc,recipe_mint_tea,TID_PRODUCT_MINTTEA,3,TeaLeaves,35,665,640,155,3,1,50,50,Tea_Stand,97,TID_TEA_STAND_PRODUCT_DESCRIPTION,53,,50
,,,,2,Mint,,,,,,,,,,,,,,
,,,,1,Watermelon,,,,,,,,,,,,,,
GingerTea,sc/icons.sc,recipe_ginger_apple_tea,TID_APPLE_GINGER_TEA,1,Ginger,30,500,500,100,3,1,32,32,Tea_Stand,88,TID_TEA_STAND_PRODUCT_DESCRIPTION,35,,32
,,,,2,Apple,,,,,,,,,,,,,,
,,,,1,TeaLeaves,,,,,,,,,,,,,,
Pomegranate Tea,sc/icons.sc,recipe_pomegranate_tea,TID_PRODUCT_POMEGRANATETEA,4,TeaLeaves,35,805,775,185,3,1,56,56,Tea_Stand,107,TID_TEA_STAND_PRODUCT_DESCRIPTION,59,,56
,,,,1,Pomegranate,,,,,,,,,,,,,,
Chamomile Tea,sc/icons.sc,recipe_chamomile_tea,TID_PRODUCT_CHAMOMILE_TEA,5,Chamomile,20,500,500,100,2,1,15,15,Tea_Stand,100,TID_TEA_STAND_PRODUCT_DESCRIPTION,17,,15
,,,,1,Honeycomb,,,,,,,,,,,,,,
