Name,CollectionTool,CollectionToolAmount,TapSound,LimitedCollectionTool,LimitedCollectionToolAmount,IsBeach,Disabled,Locked
String,String,int,String,String,int,boolean,boolean,boolean
1,Map Piece,4,MenuBleep,,,,,
,Land Deed,4,,,,,,
,Mallet,4,,,,,,
2,Map Piece,5,MenuBleep,,,,,
,Land Deed,5,,,,,,
,Marker Stake,5,,,,,,
3,Map Piece,2,MenuBleep,,,TRUE,,
,Mallet,4,,,,,,
,Marker Stake,4,,,,,,
4,Map Piece,2,MenuBleep,Expansion Key,1,TRUE,,
,Land Deed,10,,,,,,
,Mallet,10,,,,,,
5,Map Piece,4,MenuBleep,,,,,
,Land Deed,4,,,,,,
,Marker Stake,4,,,,,,
6,Map Piece,2,MenuBleep,,,TRUE,,
,Land Deed,9,,,,,,
,Marker Stake,9,,,,,,
7,Map Piece,14,MenuBleep,,,,,
,Land Deed,14,,,,,,
,Mallet,14,,,,,,
8,Map Piece,3,MenuBleep,,,TRUE,,
,Land Deed,12,,,,,,
,Marker Stake,12,,,,,,
9,Map Piece,8,MenuBleep,,,,,
,Mallet,8,,,,,,
,Marker Stake,8,,,,,,
10,Map Piece,7,MenuBleep,,,,,
,Land Deed,7,,,,,,
,Mallet,7,,,,,,
11,Map Piece,15,MenuBleep,,,,,
,Land Deed,15,,,,,,
,Marker Stake,15,,,,,,
12,Map Piece,4,MenuBleep,,,TRUE,,
,Mallet,15,,,,,,
,Marker Stake,15,,,,,,
13,Map Piece,4,MenuBleep,Expansion Key,2,TRUE,,
,Land Deed,17,,,,,,
,Mallet,17,,,,,,
14,Map Piece,16,MenuBleep,,,,,
,Land Deed,16,,,,,,
,Marker Stake,16,,,,,,
15,Map Piece,11,MenuBleep,,,,,
,Mallet,11,,,,,,
,Marker Stake,11,,,,,,
16,Map Piece,15,MenuBleep,,,,,
,Land Deed,15,,,,,,
,Mallet,15,,,,,,
17,Map Piece,17,MenuBleep,,,,,
,Land Deed,17,,,,,,
,Marker Stake,17,,,,,,
18,Map Piece,7,MenuBleep,,,,,
,Mallet,7,,,,,,
,Marker Stake,7,,,,,,
19,Map Piece,5,MenuBleep,,,TRUE,,
,Mallet,22,,,,,,
,Marker Stake,22,,,,,,
20,Map Piece,6,MenuBleep,,,TRUE,,
,Land Deed,25,,,,,,
,Mallet,25,,,,,,
21,Map Piece,7,MenuBleep,Expansion Key,4,TRUE,,
,Land Deed,30,,,,,,
,Marker Stake,30,,,,,,
22,Map Piece,9,MenuBleep,,,TRUE,,
,Land Deed,35,,,,,,
,Mallet,35,,,,,,
23,Map Piece,11,MenuBleep,,,TRUE,,
,Mallet,45,,,,,,
,Marker Stake,45,,,,,,
24,Map Piece,13,MenuBleep,Expansion Key,6,TRUE,,
,Land Deed,54,,,,,,
,Marker Stake,54,,,,,,
25,Map Piece,15,MenuBleep,,,TRUE,,
,Mallet,65,,,,,,
,Marker Stake,65,,,,,,
26,Map Piece,20,MenuBleep,,,TRUE,,
,Land Deed,75,,,,,,
,Marker Stake,75,,,,,,
27,Map Piece,20,MenuBleep,Expansion Key,11,TRUE,,
,Land Deed,90,,,,,,
,Mallet,90,,,,,,
28,Map Piece,25,MenuBleep,,,TRUE,,
,Land Deed,110,,,,,,
,Marker Stake,110,,,,,,
29,Map Piece,30,MenuBleep,Expansion Key,15,TRUE,,
,Mallet,135,,,,,,
,Marker Stake,135,,,,,,
30,Map Piece,40,MenuBleep,Expansion Key,15,TRUE,,
,Land Deed,135,,,,,,
,Mallet,135,,,,,,
31,Map Piece,45,MenuBleep,Expansion Key,15,TRUE,,
,Mallet,135,,,,,,
,Marker Stake,135,,,,,,
32,Map Piece,55,MenuBleep,Expansion Key,15,TRUE,,
,Land Deed,135,,,,,,
,Marker Stake,135,,,,,,
33,Map Piece,65,MenuBleep,Expansion Key,15,TRUE,,
,Land Deed,135,,,,,,
,Mallet,135,,,,,,
