Name,BuildingEnabled,Level,LevelWorkbenchRequired,LevelUpCash,ProductsRequired,LevelUpTimeMin,LevelUpInstantComplete,PerkLevel,PerkType,PerkEnabled,PerkIntParam1,PerkIntParam2,PerkBoolParam1,PerkStringParam1,PerkCash,PerkDiamonds,Part1,Part2,Part3,Part4,Part5,PerkTimeMin,PerkInstantInstallPrice
String,Boolean,int,int,int,int,int,int,int,String,Boolean,int,int,Boolean,String,int,int,int,int,int,int,int,int,int
Bakery,TRUE,1,1,,,,,1,Truck_Coins,TRUE,20,,,,400,,5,0,0,0,0,1,1
,,2,1,0,25,0,0,1,Speed,TRUE,-5,,,,1600,,0,0,5,0,0,1,1
,,3,1,0,200,0,0,1,Queue,TRUE,25,25,,,100,,0,0,5,0,0,0,2
,,4,1,0,200,0,0,2,Boat_Coins,TRUE,20,,,,2000,,10,0,0,0,0,60,2
,,5,1,0,200,0,0,2,Boat_XP,TRUE,20,,,,2800,,0,10,0,0,0,60,2
,,,,,,,,3,Truck_XP,TRUE,20,,,,1800,,0,20,0,0,0,240,3
,,,,,,,,3,Speed,TRUE,-10,,,,10000,,0,0,10,0,0,240,3
,,,,,,,,3,Queue,TRUE,25,50,,,10000,,0,0,10,0,0,60,2
,,,,,,,,4,Truck_Coins,TRUE,40,,,,11000,,40,0,0,0,0,480,4
,,,,,,,,4,Truck_XP,TRUE,40,,,,11000,,0,40,0,0,0,480,4
,,,,,,,,4,Speed,TRUE,-15,,,,33000,,0,0,20,0,0,480,4
,,,,,,,,5,Boat_Coins,TRUE,40,,,,20000,,80,0,0,0,0,720,5
,,,,,,,,5,Boat_XP,TRUE,40,,,,20000,,0,70,0,0,0,720,5
,,,,,,,,5,Queue,TRUE,25,65,,,59000,,0,0,40,0,0,720,5
Hammermill,TRUE,1,1,,,,,1,Speed,TRUE,-5,,,,1000,,0,0,5,0,0,1,1
,,2,1,0,25,0,0,1,Queue,TRUE,25,25,,,1500,,0,0,5,0,0,240,3
,,3,1,0,200,0,0,2,Speed,TRUE,-10,,,,2900,,0,0,15,0,0,60,2
,,,,,,,,2,Queue,TRUE,25,50,,,2900,,0,0,15,0,0,240,3
,,,,,,,,3,Speed,TRUE,-15,,,,11000,,0,0,25,0,0,240,3
,,,,,,,,3,Queue,TRUE,25,65,,,11000,,0,0,25,0,0,240,3
Popcorn_Pot,TRUE,1,1,,,,,1,Truck_Coins,TRUE,20,,,,80,,15,0,0,0,0,1,1
,,2,1,0,25,0,0,1,Speed,TRUE,-5,,,,300,,0,0,5,0,0,1,1
,,3,1,0,110,0,0,2,Boat_Coins,TRUE,20,,,,2900,,25,0,0,0,0,60,2
,,4,1,0,200,0,0,2,Boat_XP,TRUE,20,,,,2900,,0,20,0,0,0,60,2
,,,,,,,,3,Truck_XP,TRUE,20,,,,4500,,0,40,0,0,0,240,3
,,,,,,,,3,Speed,TRUE,-10,,,,8000,,0,0,20,0,0,240,3
,,,,,,,,3,Queue,TRUE,25,25,,,10000,,0,0,20,0,0,240,3
,,,,,,,,4,Truck_XP,TRUE,40,,,,6200,,0,80,0,0,0,480,4
,,,,,,,,4,Truck_Coins,TRUE,40,,,,6200,,100,0,0,0,0,480,4
,,,,,,,,4,Speed,TRUE,-15,,,,19000,,0,0,40,0,0,480,4
Dairy,TRUE,1,1,,,,,1,Truck_Coins,TRUE,20,,,,600,,5,0,0,0,0,1,1
,,2,1,0,25,0,0,1,Speed,TRUE,-5,,,,2400,,0,0,5,0,0,1,1
,,3,1,0,170,0,0,2,Boat_Coins,TRUE,20,,,,1000,,10,0,0,0,0,60,2
,,4,1,0,200,0,0,2,Boat_XP,TRUE,20,,,,1000,,0,10,0,0,0,60,2
,,5,1,0,200,0,0,2,Queue,TRUE,25,25,,,2900,,0,0,5,0,0,60,2
,,,,,,,,3,Truck_XP,TRUE,20,,,,10000,,0,20,0,0,0,240,3
,,,,,,,,3,Speed,TRUE,-10,,,,42000,,0,0,10,0,0,240,3
,,,,,,,,4,Truck_Coins,TRUE,40,,,,13000,,40,0,0,0,0,480,4
,,,,,,,,4,Truck_XP,TRUE,40,,,,13000,,0,40,0,0,0,480,4
,,,,,,,,4,Speed,TRUE,-15,,,,39000,,0,0,25,0,0,480,4
,,,,,,,,5,Boat_Coins,TRUE,40,,,,35000,,80,0,0,0,0,720,5
,,,,,,,,5,Boat_XP,TRUE,40,,,,35000,,0,70,0,0,0,720,5
,,,,,,,,5,Queue,TRUE,25,50,,,105000,,0,0,45,0,0,720,5
Sugar_Mill,TRUE,1,1,,,,,1,Truck_Coins,TRUE,20,,,,200,,5,0,0,0,0,1,1
,,2,1,0,25,0,0,1,Speed,TRUE,-5,,,,800,,0,0,5,0,0,1,1
,,3,1,0,170,0,0,2,Boat_Coins,TRUE,20,,,,1000,,10,0,0,0,0,60,2
,,4,1,0,200,0,0,2,Boat_XP,TRUE,20,,,,1000,,0,10,0,0,0,60,2
,,5,1,0,200,0,0,2,Queue,TRUE,25,25,,,2900,,0,0,5,0,0,60,2
,,,,,,,,3,Truck_XP,TRUE,20,,,,6700,,0,20,0,0,0,240,3
,,,,,,,,3,Speed,TRUE,-10,,,,27000,,0,0,10,0,0,240,3
,,,,,,,,4,Truck_Coins,TRUE,40,,,,15000,,40,0,0,0,0,480,4
,,,,,,,,4,Truck_XP,TRUE,40,,,,15000,,0,40,0,0,0,480,4
,,,,,,,,4,Speed,TRUE,-15,,,,44000,,0,0,25,0,0,480,4
,,,,,,,,5,Boat_Coins,TRUE,40,,,,29000,,80,0,0,0,0,720,5
,,,,,,,,5,Boat_XP,TRUE,40,,,,29000,,0,70,0,0,0,720,5
,,,,,,,,5,Queue,TRUE,25,50,,,86000,,0,0,45,0,0,720,5
Pie_Oven,TRUE,1,1,,,,,1,Truck_Coins,TRUE,20,,,,400,,15,0,0,0,0,1,1
,,2,1,0,25,0,0,1,Speed,TRUE,-5,,,,1600,,0,0,10,0,0,1,1
,,3,1,0,70,0,0,2,Boat_Coins,TRUE,20,,,,6100,,25,0,0,0,0,60,2
,,4,1,0,150,0,0,2,Boat_XP,TRUE,20,,,,6100,,0,20,0,0,0,60,2
,,,,,,,,3,Truck_XP,TRUE,20,,,,3000,,0,40,0,0,0,240,3
,,,,,,,,3,Speed,TRUE,-10,,,,12000,,0,0,30,0,0,240,3
,,,,,,,,4,Truck_XP,TRUE,40,,,,5800,,0,80,0,0,0,480,4
,,,,,,,,4,Truck_Coins,TRUE,40,,,,5800,,100,0,0,0,0,480,4
,,,,,,,,4,Speed,TRUE,-15,,,,17000,,0,0,55,0,0,480,4
Loom,TRUE,1,1,,,,,1,Truck_Coins,TRUE,20,,,,600,,15,0,0,0,0,1,1
,,2,1,0,25,0,0,1,Speed,TRUE,-5,,,,2600,,0,0,5,0,0,1,1
,,3,1,0,110,0,0,2,Boat_Coins,TRUE,20,,,,6200,,25,0,0,0,0,60,2
,,4,1,0,200,0,0,2,Boat_XP,TRUE,20,,,,6200,,0,20,0,0,0,60,2
,,,,,,,,3,Truck_XP,TRUE,20,,,,3400,,0,40,0,0,0,240,3
,,,,,,,,3,Speed,TRUE,-10,,,,6000,,0,0,20,0,0,240,3
,,,,,,,,3,Queue,TRUE,25,25,,,8000,,0,0,20,0,0,240,3
,,,,,,,,4,Truck_XP,TRUE,40,,,,13000,,0,80,0,0,0,480,4
,,,,,,,,4,Truck_Coins,TRUE,40,,,,13000,,100,0,0,0,0,480,4
,,,,,,,,4,Speed,TRUE,-15,,,,38000,,0,0,40,0,0,480,4
Cake_Oven,TRUE,1,1,,,,,1,Truck_Coins,TRUE,20,,,,2200,,15,0,0,0,0,1,1
,,2,1,0,25,0,0,1,Speed,TRUE,-5,,,,8700,,0,0,10,0,0,1,1
,,3,1,0,200,0,0,2,Boat_Coins,TRUE,20,,,,11000,,25,0,0,0,0,60,2
,,4,1,0,200,0,0,2,Boat_XP,TRUE,20,,,,11000,,0,20,0,0,0,60,2
,,,,,,,,3,Truck_XP,TRUE,20,,,,7800,,0,40,0,0,0,240,3
,,,,,,,,3,Speed,TRUE,-10,,,,31000,,0,0,30,0,0,240,3
,,,,,,,,4,Truck_XP,TRUE,40,,,,8300,,0,80,0,0,0,480,4
,,,,,,,,4,Truck_Coins,TRUE,40,,,,8300,,100,0,0,0,0,480,4
,,,,,,,,4,Speed,TRUE,-15,,,,25000,,0,0,55,0,0,480,4
Barbecue_Grill,TRUE,1,1,,,,,1,Truck_Coins,TRUE,20,,,,400,,15,0,0,0,0,1,1
,,2,1,0,25,0,0,1,Speed,TRUE,-5,,,,1600,,0,0,10,0,0,1,1
,,3,1,0,200,0,0,2,Boat_Coins,TRUE,20,,,,4200,,25,0,0,0,0,60,2
,,4,1,0,200,0,0,2,Boat_XP,TRUE,20,,,,4200,,0,20,0,0,0,60,2
,,,,,,,,3,Truck_XP,TRUE,20,,,,7100,,0,40,0,0,0,240,3
,,,,,,,,3,Speed,TRUE,-10,,,,28000,,0,0,30,0,0,240,3
,,,,,,,,4,Truck_XP,TRUE,40,,,,3800,,0,80,0,0,0,480,4
,,,,,,,,4,Truck_Coins,TRUE,40,,,,3800,,100,0,0,0,0,480,4
,,,,,,,,4,Speed,TRUE,-15,,,,11000,,0,0,55,0,0,480,4
Juice_Press,TRUE,1,1,,,,,1,Truck_Coins,TRUE,20,,,,3100,,15,0,0,0,0,1,1
,,2,1,0,25,0,0,1,Speed,TRUE,-5,,,,12000,,0,0,5,0,0,1,1
,,3,1,0,110,0,0,2,Boat_Coins,TRUE,20,,,,16000,,25,0,0,0,0,60,2
,,4,1,0,200,0,0,2,Boat_XP,TRUE,20,,,,16000,,0,20,0,0,0,60,2
,,,,,,,,3,Truck_XP,TRUE,20,,,,12000,,0,40,0,0,0,240,3
,,,,,,,,3,Speed,TRUE,-10,,,,23000,,0,0,20,0,0,240,3
,,,,,,,,3,Queue,TRUE,25,25,,,25000,,0,0,20,0,0,240,3
,,,,,,,,4,Truck_XP,TRUE,40,,,,17000,,0,80,0,0,0,480,4
,,,,,,,,4,Truck_Coins,TRUE,40,,,,17000,,100,0,0,0,0,480,4
,,,,,,,,4,Speed,TRUE,-15,,,,51000,,0,0,40,0,0,480,4
Jam_Maker,TRUE,1,1,,,,,1,Truck_Coins,TRUE,20,,,,3000,,15,0,0,0,0,1,1
,,2,1,0,10,0,0,1,Speed,TRUE,-5,,,,12000,,0,0,5,0,0,1,1
,,3,1,0,10,0,0,2,Boat_Coins,TRUE,20,,,,29000,,25,0,0,0,0,60,2
,,4,1,0,30,0,0,2,Boat_XP,TRUE,20,,,,29000,,0,20,0,0,0,60,2
,,,,,,,,3,Truck_XP,TRUE,20,,,,16000,,0,40,0,0,0,240,3
,,,,,,,,3,Speed,TRUE,-10,,,,31000,,0,0,20,0,0,240,3
,,,,,,,,3,Queue,TRUE,25,25,,,33000,,0,0,20,0,0,240,3
,,,,,,,,4,Truck_XP,TRUE,40,,,,20000,,0,80,0,0,0,480,4
,,,,,,,,4,Truck_Coins,TRUE,40,,,,20000,,100,0,0,0,0,480,4
,,,,,,,,4,Speed,TRUE,-15,,,,59000,,0,0,40,0,0,480,4
Smelter,TRUE,1,1,,,,,1,Truck_Coins,TRUE,20,,,,2500,,30,0,0,0,0,1,1
,,2,1,0,10,0,0,1,Speed,TRUE,-5,,,,10000,,0,0,10,0,0,1,1
,,3,1,0,10,0,0,2,Truck_XP,TRUE,20,,,,19000,,0,50,0,0,0,240,3
,,,,,,,,2,Speed,TRUE,-10,,,,19000,,0,0,20,0,0,240,3
,,,,,,,,3,Truck_XP,TRUE,40,,,,6800,,0,90,0,0,0,480,4
,,,,,,,,3,Truck_Coins,TRUE,40,,,,6800,,110,0,0,0,0,480,4
,,,,,,,,3,Speed,TRUE,-15,,,,20150,,0,0,40,0,0,480,4
Ice_Cream_Maker,TRUE,1,1,,,,,1,Truck_Coins,TRUE,20,,,,1900,,15,0,0,0,0,1,1
,,2,1,0,25,0,0,1,Speed,TRUE,-5,,,,7600,,0,0,10,0,0,1,1
,,3,1,0,200,0,0,2,Boat_Coins,TRUE,20,,,,18000,,25,0,0,0,0,60,2
,,4,1,0,200,0,0,2,Boat_XP,TRUE,20,,,,18000,,0,20,0,0,0,60,2
,,,,,,,,3,Truck_XP,TRUE,20,,,,6000,,0,40,0,0,0,240,3
,,,,,,,,3,Speed,TRUE,-10,,,,24000,,0,0,30,0,0,240,3
,,,,,,,,4,Truck_XP,TRUE,40,,,,16000,,0,80,0,0,0,480,4
,,,,,,,,4,Truck_Coins,TRUE,40,,,,16000,,100,0,0,0,0,480,4
,,,,,,,,4,Speed,TRUE,-15,,,,48000,,0,0,55,0,0,480,4
Jeweler,TRUE,1,1,,,,,1,Truck_Coins,TRUE,20,,,,3400,,15,0,0,0,0,1,1
,,2,1,0,20,0,0,1,Speed,TRUE,-5,,,,14000,,0,0,10,0,0,1,1
,,3,1,0,60,0,0,2,Boat_Coins,TRUE,20,,,,31000,,25,0,0,0,0,60,2
,,4,1,0,110,0,0,2,Boat_XP,TRUE,20,,,,31000,,0,20,0,0,0,60,2
,,,,,,,,3,Truck_XP,TRUE,20,,,,16000,,0,40,0,0,0,240,3
,,,,,,,,3,Speed,TRUE,-10,,,,63000,,0,0,30,0,0,240,3
,,,,,,,,4,Truck_XP,TRUE,40,,,,33000,,0,80,0,0,0,480,4
,,,,,,,,4,Truck_Coins,TRUE,40,,,,33000,,100,0,0,0,0,480,4
,,,,,,,,4,Speed,TRUE,-15,,,,100000,,0,0,55,0,0,480,4
Cafe_Kiosk,TRUE,1,1,,,,,1,Truck_Coins,TRUE,20,,,,3800,,15,0,0,0,0,1,1
,,2,1,0,25,0,0,1,Speed,TRUE,-5,,,,15000,,0,0,5,0,0,1,1
,,3,1,0,200,0,0,2,Boat_Coins,TRUE,20,,,,33000,,25,0,0,0,0,60,2
,,4,1,0,200,0,0,2,Boat_XP,TRUE,20,,,,33000,,0,20,0,0,0,60,2
,,,,,,,,3,Truck_XP,TRUE,20,,,,17000,,0,40,0,0,0,240,3
,,,,,,,,3,Speed,TRUE,-10,,,,33000,,0,0,20,0,0,240,3
,,,,,,,,3,Queue,TRUE,25,25,,,35000,,0,0,20,0,0,240,3
,,,,,,,,4,Truck_XP,TRUE,40,,,,24000,,0,80,0,0,0,480,4
,,,,,,,,4,Truck_Coins,TRUE,40,,,,24000,,100,0,0,0,0,480,4
,,,,,,,,4,Speed,TRUE,-15,,,,71000,,0,0,40,0,0,480,4
Candy_Machine,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Soup_Kitchen,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Sauce_Mixer,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Sushi_Bar,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Salad_Bar,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Sandwich_Bar,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Smoothie_Mixer,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Sewing_Machine,TRUE,1,1,,,,,1,Truck_Coins,TRUE,20,,,,900,,15,0,0,0,0,1,1
,,2,1,0,25,0,0,1,Speed,TRUE,-5,,,,3600,,0,0,10,0,0,1,1
,,3,1,0,70,0,0,2,Boat_Coins,TRUE,20,,,,4800,,25,0,0,0,0,60,2
,,4,1,0,150,0,0,2,Boat_XP,TRUE,20,,,,4800,,0,20,0,0,0,60,2
,,,,,,,,3,Truck_XP,TRUE,20,,,,7000,,0,40,0,0,0,240,3
