Name,ToolIconFileName,ToolIconExportName,TID,ProcessingBuilding,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,UnlockLevel,DescriptionTID,Difficulty,PendingRelease,OrderValueV2
String,String,String,String,String,int,String,int,int,int,int,int,int,int,int,int,String,int,Boolean,int
Plain donut,sc/icons.sc,recipe_plain_donut,TID_PLAIN_DONUT,Donut_Maker,3,Wheat,15,500,500,100,2,1,24,29,76,TID_DONUT_MAKER_PRODUCT_DESCRIPTION,26,,24
,,,,,1,White Sugar,,,,,,,,,,,,,
,,,,,1,Milk,,,,,,,,,,,,,
,,,,,1,Egg,,,,,,,,,,,,,
Cream donut,sc/icons.sc,recipe_cream_donut,TID_CREAM_DONUT,Donut_Maker,1,Plain donut,25,595,570,135,3,1,40,48,86,TID_DONUT_MAKER_PRODUCT_DESCRIPTION,43,,40
,,,,,1,Cream,,,,,,,,,,,,,
,,,,,1,Brown_Sugar,,,,,,,,,,,,,
Bacon donut,sc/icons.sc,recipe_bacon_donut,TID_BACON_DONUT,Donut_Maker,1,Plain donut,30,1000,965,230,3,1,74,89,88,TID_DONUT_MAKER_PRODUCT_DESCRIPTION,77,,74
,,,,,1,Syrup,,,,,,,,,,,,,
,,,,,3,Bacon,,,,,,,,,,,,,
Filled donut,sc/icons.sc,recipe_filled_donut,TID_FILLED_DONUT,Donut_Maker,1,Plain donut,35,1040,1000,240,3,1,63,68,93,TID_DONUT_MAKER_PRODUCT_DESCRIPTION,66,,63
,,,,,1,Raspberry Jam,,,,,,,,,,,,,
Crunchy donut,sc/icons.sc,recipe_crunchy_donut,TID_CRUNCHY_DONUT,Donut_Maker,1,Plain donut,30,1530,1475,355,3,1,49,54,82,TID_DONUT_MAKER_PRODUCT_DESCRIPTION,52,,49
,,,,,1,Cacao,,,,,,,,,,,,,
,,,,,1,PeanutBag,,,,,,,,,,,,,
Sprinkles donut,sc/icons.sc,recipe_sprinkles_donut,TID_SPRINKLES_DONUT,Donut_Maker,1,Plain donut,20,805,775,185,2,1,58,63,79,TID_DONUT_MAKER_PRODUCT_DESCRIPTION,60,,58
,,,,,2,Cacao,,,,,,,,,,,,,
