Name,ToolIconFileName,ToolIconExportName,TID,ProcessingBuilding,OrderPrice,OrderExp,ExpCollect,DumbValue,OrderValue,BoatOrderValue,UnlockLevel,DescriptionTID,Difficulty,PendingRelease,OrderValueV2
String,String,String,String,String,int,int,int,int,int,int,int,String,int,Boolean,int
Apple,sc/icons.sc,icon_apple,TID_APPLE,AppleTree,500,500,100,1,7,7,15,TID_APPLE_DESCRIPTION,11,,7
Cherry,sc/icons.sc,icon_cherries,TID_CHERRY,CherryTree,500,500,100,1,13,13,22,TID_CHERRY_DESCRIPTION,19,,13
Raspberry,sc/icons.sc,icon_raspberry,TID_RASPBERRY,RaspberryBush,500,500,100,1,9,9,19,TID_RASPBERRY_DESCRIPTION,14,,9
Blackberry,sc/icons.sc,icon_blackberry,TID_BLACKBERRY,BlackberryBush,500,500,100,1,16,16,26,TID_BLACKBERRY_DESCRIPTION,22,,16
Cacao,sc/icons.sc,icon_cacao,TID_CACAO,CacaoTree,500,500,100,1,16,16,36,TID_CACAO_DESCRIPTION,22,,16
Coffee,sc/icons.sc,icon_coffee,TID_COFFEE,CoffeeBush,500,500,100,1,12,12,42,TID_COFFEE_DESCRIPTION,17,,12
Olive,sc/icons.sc,icon_olive,TID_PRODUCT_OLIVE,OliveTree,500,500,100,1,17,17,57,TID_PRODUCT_OLIVE_DESCRIPTION,33,,17
Lemon,sc/icons.sc,icon_lemon,TID_PRODUCT_LEMON,LemonTree,500,500,100,1,18,18,66,TID_PRODUCT_LEMON_DESCRIPTION,35,,18
Orange,sc/icons.sc,icon_orange,TID_PRODUCT_ORANGE,OrangeTree,500,500,100,1,18,18,71,TID_PRODUCT_ORANGE_DESCRIPTION,36,,18
Peach,sc/icons.sc,icon_peach,TID_PRODUCT_PEACH,PeachTree,500,500,100,1,17,17,76,TID_PRODUCT_PEACH_DESCRIPTION,34,,17
Banana,sc/icons.sc,icon_banana,TID_PRODUCT_BANANA,BananaTree,500,500,100,1,17,17,88,TID_PRODUCT_BANANA_DESCRIPTION,34,,17
Plum,sc/icons.sc,icon_plum,TID_PLUM,PlumTree,500,500,100,1,16,16,94,TID_PRODUCT_PLUM_DESCRIPTION,32,,16
Mango,sc/icons.sc,icon_mango,TID_MANGO,MangoTree,500,500,100,1,18,18,97,TID_PRODUCT_MANGO_DESCRIPTION,36,,18
Coconut,sc/icons.sc,icon_coconut,TID_COCONUT,CoconutTree,500,500,105,1,19,19,101,TID_PRODUCT_COCONUT_DESCRIPTION,38,,19
Guava,sc/icons.sc,icon_guava,TID_GUAVA,GuavaTree,500,500,110,1,19,19,104,TID_PRODUCT_GUAVA_DESCRIPTION,38,,19
Pomegranate,sc/icons.sc,icon_pomegranate,TID_POMEGRANATE,PomegranateTree,500,500,110,1,17,17,107,TID_PRODUCT_POMEGRANATE_DESCRIPTION,34,,17
Blueberry,sc/icons.sc,icon_blueberry,TID_BLUEBERRY,BlueberryBush,500,500,100,1,16,16,30,TID_BLUEBERRY_DESCRIPTION,35,,16
