Name,FileName,ExportName,ShopIconFileName,ShopIconExportName,Feed,FeedAmount,PetCapacity,BowlCount,BowlCapacity,Price,CollectIconExportName,TID,MaxHabitatsColumnName,BuySound,RandomSounds,TapSound,WhistleSound,ShopDescriptionTID,TileWidth,TileHeight,FeedOnRightSide,FeedTileOffset,PendingRelease
String,String,String,String,String,string,int,int,int,int,int,String,String,String,String,String,String,String,String,int,int,Boolean,int,boolean
CatHouse,sc/buildings_new.sc,cat_house_01,sc/icons.sc,shop_icon_cathouse01,Wheat,1,3,3,1,500,tool_collect_eggs,TID_CAT_HOUSE,MaxCatHouseAmount,Buy,,MenuBleep,PetWhistle,TID_CAT_HOUSE_SHOP_DESCRIPTION,2,2,,0,
,,,,,Wheat,1,,,,,,,,,,,,,,,,,
DogHouse,sc/buildings_new.sc,dog_house_01,sc/icons.sc,shop_icon_doghouse01,Wheat,1,3,3,1,1000,tool_collect_eggs,TID_DOG_HOUSE,MaxDogHouseAmount,Buy,,MenuBleep,PetWhistle,TID_DOG_HOUSE_SHOP_DESCRIPTION,2,2,,0,
,,,,,Lamb Meat,1,,,,,,,,,,,,,,,,,
HorseHouse,sc/buildings_new.sc,horse_stable_01,sc/icons.sc,shop_icon_horsestable01,Wheat,1,3,3,1,10000,tool_collect_eggs,TID_HORSE_HOUSE,MaxHorseHouseAmount,Buy,,MenuBleep,PetWhistle,TID_HORSE_HOUSE_SHOP_DESCRIPTION,2,3,TRUE,1,
DonkeyHouse,sc/buildings_new.sc,donkey_barn,sc/icons.sc,shop_icon_donkey_barn,Wheat,1,3,3,1,25000,tool_collect_eggs,TID_DONKEY_HOUSE,MaxDonkeyHouseAmount,Buy,,MenuBleep,PetWhistle,TID_DONKEY_HOUSE_SHOP_DESCRIPTION,2,3,,,
BunnyHouse,sc/buildings_new.sc,bunny_house_01,sc/icons.sc,shop_icon_bunnyhouse,Wheat,1,3,3,1,20000,tool_collect_eggs,TID_BUNNY_HOUSE,MaxBunnyHouseAmount,Buy,,MenuBleep,PetWhistle,TID_BUNNY_HOUSE_DESCRIPTION,2,2,,0,
KittenHouse,sc/buildings_new.sc,kitten_house_01,sc/icons.sc,shop_icon_kittenhouse01,Wheat,1,3,3,1,35000,tool_collect_eggs,TID_KITTEN_HOUSE,MaxKittenHouseAmount,Buy,,MenuBleep,PetWhistle,TID_KITTEN_HOUSE_DESCRIPTION,2,2,,0,
,,,,,Wheat,1,,,,,,,,,,,,,,,,,
PuppyHouse,sc/buildings_new.sc,puppy_house_01,sc/icons.sc,shop_icon_puppyhouse01,Wheat,1,3,3,1,23000,tool_collect_eggs,TID_PUPPY_HOUSE,MaxPuppyHouseAmount,Buy,,MenuBleep,PetWhistle,TID_PUPPY_HOUSE_DESCRIPTION,2,2,,0,
,,,,,Lamb Meat,1,,,,,,,,,,,,,,,,,
GuineaPigHouse,sc/buildings_new.sc,guinea_pig_house_01,sc/icons.sc,shop_icon_guinea_pig_house01,Wheat,1,3,3,1,25000,tool_collect_eggs,TID_GUINEA_PIG_HOUSE,MaxGuineaPigHouseAmount,Buy,,MenuBleep,PetWhistle,TID_GUINEA_PIG_HOUSE_DESCRIPTION,2,2,,0,
BirdHouse,sc/buildings_new.sc,bird_house_01,sc/icons.sc,shop_icon_birdhouse01,Wheat,1,3,1,30,10000,tool_collect_eggs,TID_BIRD_HOUSE,MaxBirdHouseAmount,Buy,,MenuBleep,PetWhistle,TID_BIRD_HOUSE_DESCRIPTION,2,2,,0,FALSE
,,,,,Carrot,2,,,,,,,,,,,,,,,,,
,,,,,Blueberry,2,,,,,,,,,,,,,,,,,
,,,,,Strawberry,2,,,,,,,,,,,,,,,,,
,,,,,Sesame,2,,,,,,,,,,,,,,,,,
,,,,,Rice,2,,,,,,,,,,,,,,,,,
,,,,,Cabbage,2,,,,,,,,,,,,,,,,,
,,,,,Sunflower,2,,,,,,,,,,,,,,,,,
,,,,,Bellpepper,2,,,,,,,,,,,,,,,,,
,,,,,Broccoli,2,,,,,,,,,,,,,,,,,
,,,,,Watermelon,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
AlpacaHouse,sc/buildings_new.sc,alpaca_house_01,sc/icons.sc,shop_icon_alpaca_house,Wheat,1,4,4,1,25000,tool_collect_eggs,TID_ALPACA_HOUSE,MaxAlpacaHouseAmount,Buy,,AlpacaHouseTap,PetWhistle,TID_ALPACA_HOUSE_DESCRIPTION,2,3,,0,
HedgehogHouse,sc/buildings_new.sc,hedgehog_pet_habitat,sc/icons.sc,shop_icon_hedgehog_house,Wheat,1,4,4,1,33000,tool_collect_eggs,TID_HEDGEHOG_HOUSE_HOUSE,MaxHedgehogHouseAmount,Buy,,MenuBleep,PetWhistle,TID_HEDGEHOG_HOUSE_DESCRIPTION,2,2,,0,
