Name,ToolIconFileName,ToolIconExportName,TID,ProcessingBuilding,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,UnlockLevel,DescriptionTID,Difficulty,PendingRelease,OrderValueV2
String,String,String,String,String,int,String,int,int,int,int,int,int,int,int,int,String,int,Boolean,int
Popcorn,sc/icons.sc,recipe_popcorn,TID_POPCORN,Popcorn_Pot,2,Corn,30,500,500,100,3,1,5,5,8,TID_POPCORN_POT_PRODUCT_DESCRIPTION,8,,5
Butter Popcorn,sc/icons.sc,recipe_butter_popcorn,TID_BUTTER_POPCORN,Popcorn_Pot,2,Corn,60,500,500,100,4,1,21,21,16,TID_POPCORN_POT_PRODUCT_DESCRIPTION,25,,21
,,,,,1,Butter,,,,,,,,,,,,,
Chili Popcorn,sc/icons.sc,recipe_chili_popcorn,TID_CHILI_POPCORN,Popcorn_Pot,2,Corn,120,500,500,100,5,1,21,21,25,TID_POPCORN_POT_PRODUCT_DESCRIPTION,26,,21
,,,,,2,Chili,,,,,,,,,,,,,
Chocolate Popcorn,sc/icons.sc,recipe_choco_popcorn,TID_PRODUCT_CHOCOLATE_POPCORN,Popcorn_Pot,2,Corn,150,635,610,145,9,1,43,43,44,TID_POPCORN_POT_PRODUCT_DESCRIPTION,52,,43
,,,,,2,Cacao,,,,,,,,,,,,,
Honey Popcorn,sc/icons.sc,recipe_honey_popcorn,TID_PRODUCT_HONEY_POPCORN,Popcorn_Pot,2,Corn,90,930,890,215,5,1,23,23,40,TID_POPCORN_POT_PRODUCT_DESCRIPTION,28,,23
,,,,,2,Honey,,,,,,,,,,,,,
Snack Mix,sc/icons.sc,recipe_snack_mix,TID_PRODUCT_SNACKMIX,Popcorn_Pot,2,Corn,45,1075,1035,250,3,1,15,15,64,TID_POPCORN_POT_PRODUCT_DESCRIPTION,18,,15
,,,,,1,PeanutBag,,,,,,,,,,,,,
,,,,,1,Sesame,,,,,,,,,,,,,
