Name,ToolIconFileName,ToolIconExportName,TID,ProcessingBuilding,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,UnlockLevel,DescriptionTID,Difficulty,PendingRelease,OrderValueV2
String,String,String,String,String,int,String,int,int,int,int,int,int,int,int,int,string,int,Boolean,int
GreenSmoothie,sc/icons.sc,recipe_green_smoothie,TID_PRODUCT_GREENSMOOTHIE,Smoothie_Mixer,5,Lettuce,45,830,800,190,3,1,63,63,66,TID_SMOOTHIEMIXER_PRODUCT_DESCRIPTION,66,,63
,,,,,1,Apple,,,,,,,,,,,,,
,,,,,1,Lemon,,,,,,,,,,,,,
BerrySmoothie,sc/icons.sc,recipe_berry_smoothie,TID_PRODUCT_BERRYSMOOTHIE,Smoothie_Mixer,3,Raspberry,75,1415,1360,325,4,1,109,109,64,TID_SMOOTHIEMIXER_PRODUCT_DESCRIPTION,113,,109
,,,,,3,Blackberry,,,,,,,,,,,,,
,,,,,3,Strawberry,,,,,,,,,,,,,
YogurtSmoothie,sc/icons.sc,recipe_yogurt_smoothie,TID_PRODUCT_YOGURTSMOOTHIE,Smoothie_Mixer,1,Cream,60,905,870,210,4,1,65,70,70,TID_SMOOTHIEMIXER_PRODUCT_DESCRIPTION,69,,65
,,,,,1,White Sugar,,,,,,,,,,,,,
,,,,,2,Raspberry,,,,,,,,,,,,,
,,,,,1,Cherry,,,,,,,,,,,,,
MixedSmoothie,sc/icons.sc,recipe_mixed_smoothie,TID_PRODUCT_MIXEDSMOOTHIE,Smoothie_Mixer,2,Peach,30,1305,1255,300,3,1,91,91,88,TID_SMOOTHIEMIXER_PRODUCT_DESCRIPTION,94,,91
,,,,,2,Orange,,,,,,,,,,,,,
,,,,,1,Lemon,,,,,,,,,,,,,
Cocoa smoothie,sc/icons.sc,recipe_cocoa_smoothie,TID_PRODUCT_COCOASMOOTHIE,Smoothie_Mixer,3,Cacao,40,1315,1265,305,3,1,91,91,100,TID_SMOOTHIEMIXER_PRODUCT_DESCRIPTION,94,,91
,,,,,2,Banana,,,,,,,,,,,,,
,,,,,1,Milk,,,,,,,,,,,,,
PlumSmoothie,sc/icons.sc,recipe_plum_smoothie,TID_PRODUCT_PLUMSMOOTHIE,Smoothie_Mixer,3,Plum,35,1345,1295,310,3,1,77,77,102,TID_SMOOTHIEMIXER_PRODUCT_DESCRIPTION,80,,77
,,,,,2,Grapes,,,,,,,,,,,,,
,,,,,1,Mint,,,,,,,,,,,,,
,,,,,1,Honey,,,,,,,,,,,,,
Cucumber Smoothie,sc/icons.sc,recipe_cucumber_smoothie,TID_PRODUCT_CUCUMBERSMOOTHIE,Smoothie_Mixer,3,Cucumber,40,690,665,160,3,1,29,29,70,TID_SMOOTHIEMIXER_PRODUCT_DESCRIPTION,32,,29
,,,,,3,Pineapple,,,,,,,,,,,,,
,,,,,1,Honey,,,,,,,,,,,,,
SesameSmoothie,sc/icons.sc,recipe_sesame_smoothie,TID_SESAME_SMOOTHIE,Smoothie_Mixer,3,Sesame,45,805,775,185,3,1,58,58,93,TID_SMOOTHIEMIXER_PRODUCT_DESCRIPTION,61,,58
,,,,,1,Banana,,,,,,,,,,,,,
,,,,,2,Goat Milk,,,,,,,,,,,,,
TropicalSmoothie,sc/icons.sc,recipe_tropical_smoothie,TID_TROPICAL_SMOOTHIE,Smoothie_Mixer,1,Coconut,40,1230,1185,285,3,1,83,83,104,TID_SMOOTHIEMIXER_PRODUCT_DESCRIPTION,86,,83
,,,,,2,Mango,,,,,,,,,,,,,
,,,,,2,PassionFruit,,,,,,,,,,,,,
,,,,,1,Banana,,,,,,,,,,,,,
