Name,ToolIconFileName,ToolIconExportName,RequirementAmount,Requirement,TimeMin,TimeSec,ExpCollect,Units,InstantComplete,TID,ProcessingBuilding,DumbValue,DescriptionTID,DiamondPrice,SpecialUnlockRequirement,SpecialUnlockTID,PendingRelease
String,String,String,int,String,int,int,int,int,int,String,String,int,string,int,string,string,Boolean
Chicken Food,sc/icons.sc,tool_feed_chicken,1,Wheat,0,1,1,3,1,TID_CHICKEN_FOOD,Hammermill,1,TID_FEED_MILL_PRODUCT_DESCRIPTION,0,,,
,,,1,Wheat,,,,,,,,,,,,,
Cow Food,sc/icons.sc,tool_feed_cow,1,Wheat,0,1,2,3,1,TID_COW_FOOD,Hammermill,1,TID_FEED_MILL_PRODUCT_DESCRIPTION,0,,,
,,,1,Wheat,,,,,,,,,,,,,
Pig Food,sc/icons.sc,tool_feed_pig,1,Wheat,0,1,2,3,1,TID_PIG_FOOD,Hammermill,1,TID_FEED_MILL_PRODUCT_DESCRIPTION,0,,,
,,,1,Wheat,,,,,,,,,,,,,
Sheep Food,sc/icons.sc,tool_feed_sheep,1,Wheat,0,1,3,3,1,TID_SHEEP_FOOD,Hammermill,1,TID_FEED_MILL_PRODUCT_DESCRIPTION,0,,,
,,,1,Wheat,,,,,,,,,,,,,
Goat Food,sc/icons.sc,tool_feed_goat,1,Wheat,0,1,3,3,1,TID_GOAT_FOOD,Hammermill,1,TID_FEED_MILL_PRODUCT_DESCRIPTION,0,,,
,,,1,Wheat,,,,,,,,,,,,,
,,,1,Wheat,,,,,,,,,,,,,
Herbivore Food,sc/icons.sc,tool_feed_herbivore,1,Wheat,0,1,10,3,1,TID_HERBIVORE_FOOD,Hammermill,1,TID_FEED_MILL_PRODUCT_DESCRIPTION,0,Sanctuary,TID_REQUIRES_HERBIVORE,
Carnivore Food,sc/icons.sc,tool_feed_carnivore,1,Wheat,0,1,15,3,1,TID_CARNIVORE_FOOD,Hammermill,1,TID_FEED_MILL_PRODUCT_DESCRIPTION,0,Sanctuary,TID_REQUIRES_CARNIVORE,FALSE
,,,1,Wheat,,,,,,,,,,,,,
Lamb Food,sc/icons.sc,tool_feed_lamb,1,Wheat,0,1,4,3,1,TID_LAMB_FOOD,Hammermill,1,TID_FEED_MILL_PRODUCT_DESCRIPTION,0,,,
,,,1,Wheat,,,,,,,,,,,,,
