Name,FileName,ExportName,TimeMin,TimeSec,TileWidth,TileHeight,Piece,PieceTileX,PieceTileY,PieceMirrored,ShopIconFileName,ShopIconExportName,Animal,Capacity,Price,CollectIconFileName,CollectIconExportName,TID,MaxHabitatsColumnName,BuySound,RandomSounds,TapSound,ShopDescriptionTID,NewResidentPanicTime,PendingRelease
String,String,String,int,int,int,int,String,int,int,boolean,String,String,String,int,int,String,String,String,String,String,String,String,String,int,Boolean
ChickenHabitat,sc/buildings_new.sc,pasture_chicken,,,3,3,Chicken_Coop_01,,,,sc/icons.sc,shop_icon_chickencoop,Chicken,6,5,sc/icons.sc,tool_collect_eggs,TID_CHICKEN_HABITAT,MaxChickenHabitats,Buy,RandomChicken,MenuBleep,TID_CHICKEN_HABITAT_SHOP_DESCRIPTION,300,
,,,,,,,Chicken_Trough_01,,1,,,,,,,,,,,,,,,,
,,,,,,,Fence_Chicken01_Back,,2,,,,,,,,,,,,,,,,
,,,,,,,Fence_Chicken01_Back,,,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Chicken01_Back,1,,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Chicken01_Back,2,,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Chicken01_Front,3,,,,,,,,,,,,,,,,,
,,,,,,,Fence_Chicken01_Front,3,1,,,,,,,,,,,,,,,,
,,,,,,,Fence_Chicken01_Front,3,2,,,,,,,,,,,,,,,,
,,,,,,,Fence_Chicken01_Front,,3,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Chicken01_Front,1,3,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Chicken01_Front,2,3,TRUE,,,,,,,,,,,,,,,
CowHabitat,sc/buildings_new.sc,pasture_cow,,,4,4,Fence_Cow01,,,,sc/icons.sc,shop_icon_cowpasture,Cow,5,20,sc/icons.sc,tool_collect_milk,TID_COW_HABITAT,MaxCowHabitats,Buy,RandomCow,MenuBleep,TID_COW_HABITAT_SHOP_DESCRIPTION,,
,,,,,,,Cow_Trough_01,,1,,,,,,,,,,,,,,,,
,,,,,,,Fence_Cow01,,2,,,,,,,,,,,,,,,,
,,,,,,,Fence_Cow01,,3,,,,,,,,,,,,,,,,
,,,,,,,Fence_Cow01,,,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Cow01,1,,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Cow01,2,,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Cow01,3,,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Cow01,4,,,,,,,,,,,,,,,,,
,,,,,,,Fence_Cow01,4,1,,,,,,,,,,,,,,,,
,,,,,,,Fence_Cow01,4,2,,,,,,,,,,,,,,,,
,,,,,,,Fence_Cow01,4,3,,,,,,,,,,,,,,,,
,,,,,,,Fence_Cow01,,4,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Cow01,1,4,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Cow01,2,4,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Cow01,3,4,TRUE,,,,,,,,,,,,,,,
