Name,Rewards,RewardAmounts,MinRound,MaxRound,Probabilities,LimitPerRound,Tags,MinXPLevel,MaxXPLevel
String,String,int,int,int,int,int,String,int,int
Reward_Set1_9-40,Nail,1,0,1,5,2,silo;expansion,9,40
,Screw,1,,,5,2,silo;expansion,9,40
,Wood Panel,1,,,5,2,silo;expansion,9,40
,Plank,1,,,5,2,barn;expansion,9,40
,Bolt,1,,,5,2,barn;expansion,9,40
,Duct Tape,1,,,5,2,barn;expansion,9,40
,Land Deed,1,,,3,1,land;expansion,9,40
,Mallet,1,,,3,1,land;expansion,9,40
,Marker Stake,1,,,3,1,land;expansion,9,40
,Cream,2,,,7,1,product;dairy,9,40
,Butter,1,,,7,1,product;dairy,9,40
,Cheese,1,,,7,1,product;dairy,9,40
,Goat Cheese,1,,,5,1,product;dairy,9,40
,Brown_Sugar,2,,,7,1,product;sugar,9,40
,White Sugar,1,,,7,1,product;sugar,9,40
,Dynamite,1,,,7,2,tool,9,40
,Axe,1,,,7,2,tool,9,40
,Saw,1,,,7,2,tool,9,40
,Shovel,1,,,7,2,tool,9,40
,Pickaxe,1,,,7,2,tool,9,40
,Egg,8,,,5,1,product;animal,9,40
,Milk,5,,,5,1,product;animal,9,40
,Bacon,3,,,5,1,product;animal,9,40
,Wool,3,,,5,1,product;animal,9,40
,Lamb Meat,3,,,5,1,product;animal,9,40
,Goat Milk,2,,,5,1,product;animal,9,40
,Fish Meat,3,,,5,1,product;fishing,9,40
,Fishburger,1,,,5,1,product;fishing,9,40
,Fish Pie,1,,,5,1,product;fishing,9,40
,Cotton Fabrics,1,,,5,1,product;loom,9,40
,Birthday Cake,1,,,5,1,product;cake,9,40
,Apple Jam,1,,,5,1,product;jam,9,40
,Raspberry Jam,1,,,5,1,product;jam,9,40
,Honey,4,,,5,1,product;honey,9,40
Reward_Set1_41-70,Nail,1,0,1,5,2,silo;expansion,41,70
,Screw,1,,,5,2,silo;expansion,41,70
,Wood Panel,1,,,5,2,silo;expansion,41,70
,Plank,1,,,5,2,barn;expansion,41,70
,Bolt,1,,,5,2,barn;expansion,41,70
,Duct Tape,1,,,5,2,barn;expansion,41,70
,Land Deed,1,,,3,1,land;expansion,41,70
,Mallet,1,,,3,1,land;expansion,41,70
,Marker Stake,1,,,3,1,land;expansion,41,70
,Cream,3,,,7,1,product;dairy,41,70
,Butter,2,,,7,1,product;dairy,41,70
,Cheese,2,,,7,1,product;dairy,41,70
,Goat Cheese,2,,,5,1,product;dairy,41,70
,Brown_Sugar,3,,,7,1,product;sugar,41,70
,White Sugar,2,,,7,1,product;sugar,41,70
,Dynamite,1,,,7,2,tool,41,70
,Axe,1,,,7,2,tool,41,70
,Saw,1,,,7,2,tool,41,70
,Shovel,1,,,7,2,tool,41,70
,Pickaxe,1,,,7,2,tool,41,70
,Egg,8,,,5,1,product;animal,41,70
