Name,TID,FileName,ExportName,MovementExportName,CatchExportName,CollectingStateDurationMS,SpawnDelayMS,FlipFacing,MovementBehavior,SpawnSound,CatchSound,CatchReward,CatchCoins,CatchXp,MaxRewardedCatchesPerDay,MaxRewardedCatchesPerEvent,CollectionText,Size,TileWidth,TileHeight
String,String,String,String,String,String,int,int,Boolean,String,String,String,String,int,int,int,int,String,int,int,int
GhostChicken,TID_GHOST_CHICKEN_NAME,sc/seasonal_creatures.sc,ghost_chicken_idle,ghost_chicken_idle,ghost_collect,800,960,FALSE,ChillGhost,GhostCommonSpawn,GhostCommonCollect,Product,10,5,2,10,TID_GHOST_CHICKEN_TEXT,65,,
GhostChained,TID_GHOST_CHAINED_NAME,sc/seasonal_creatures.sc,ghost_chained_idle,ghost_chained_idle,ghost_collect,800,960,FALSE,ChillGhostChained,GhostRareSpawn,GhostRareCollect,Tool,20,10,1,10,TID_GHOST_CHAINED_TEXT,70,,
GhostDracula,TID_GHOST_DRACULA_NAME,sc/seasonal_creatures.sc,ghost_dracula_idle,ghost_dracula_idle,ghost_collect,800,960,FALSE,ChillGhost,GhostRareSpawn,GhostRareCollect,Upgrade,50,20,1,5,TID_GHOST_DRACULA_TEXT,70,,
GhostGroovy,TID_GHOST_GROOVY_NAME,sc/seasonal_creatures.sc,ghost_groovy_idle,ghost_groovy_idle,ghost_collect,800,960,FALSE,ChillGhost,GhostRareSpawn,GhostRareCollect,Voucher,20,10,1,3,TID_GHOST_GROOVY_TEXT,70,,
GhostMayor,TID_GHOST_MAYOR_NAME,sc/seasonal_creatures.sc,ghost_mayor_idle,ghost_mayor_idle,ghost_collect,800,960,FALSE,ChillGhostMayor,GhostCommonSpawn,GhostCommonCollect,Product,10,5,2,10,TID_GHOST_MAYOR_TEXT,70,,
GhostMummy,TID_GHOST_MUMMY_NAME,sc/seasonal_creatures.sc,ghost_mummy_idle,ghost_mummy_idle,ghost_collect,800,960,FALSE,ChillGhost,GhostRareSpawn,GhostRareCollect,Product,10,5,2,10,TID_GHOST_MUMMY_TEXT,70,,
GhostPatched,TID_GHOST_PATCHED_NAME,sc/seasonal_creatures.sc,ghost_patched_idle,ghost_patched_idle,ghost_collect,800,960,FALSE,ChillGhost,GhostRareSpawn,GhostRareCollect,Tool,20,10,1,10,TID_GHOST_PATCHED_TEXT,70,,
GhostPhotographer,TID_GHOST_PHOTOGRAPHER_NAME,sc/seasonal_creatures.sc,ghost_photographer_idle,ghost_photographer_idle,ghost_collect,800,960,FALSE,PhotographerFollower,GhostCommonSpawn,GhostCommonCollect,Product,10,5,2,10,TID_GHOST_PHOTOGRAPHER_TEXT,70,,
GhostPig,TID_GHOST_PIG_NAME,sc/seasonal_creatures.sc,ghost_pig_idle,ghost_pig_idle,ghost_collect,800,960,FALSE,ChillGhost,GhostRareSpawn,GhostRareCollect,Expansion,50,20,1,5,TID_GHOST_PIG_TEXT,100,,
