Name,_
String,Boolean
Amar Gupta,
Andy Grier,
Anu Kurikka,
Ari Hamara,
Arjun Ratra,
Baptiste Robbes,
Belle Kavanagh,
Bill Robinson,
Camilla Avellar,
Carolina Barthalot,
Charlotte Taylor,
Chavez Hyndman,
Diana Nedelcu,
Dmitry Gubanenkov,
Ebz Ken-Lewis,
Eduardo Barandas,
Eero Klami,
Eeva Haavisto,
Ellie Griffiths,
Emily Sayer,
Eric Bolitho,
Fred Easey,
Ilona Tapanainen,
Jani Laakkonen,
Jieming You,
Jill Travers,
Kalle Launiala,
Karan Singh,
Kerem Gercek,
Laura Garcia,
Lavinia Macovei,
Lee Sullivan,
Lilli Nevanlinna,
Lydia Tan,
Magnus Strandh,
Manuel Langegger,
Marcus Wagenführ,
Maria Maunula,
Matis Baudry,
Mauritz Bart,
Maya Hofree,
Mikko Niinivaara,
Nadya Volchetskaya,
Neža Glavič,
Noora Heikkinen,
Ohana Tozato Escola,
Oona Saloranta,
Pedro Almeida,
Raunak Vikas,
Rebecca Hanson,
Ricky Willis,
Sam Miller,
Sanni Moilanen,
Sara Gousy,
Sari Latvala,
Simo Sylgren,
Stefan Hauk,
Stefani Aarnas,
Stephen Courtney,
Strack Divljan,
Taufik Dharma-Putra,
Teemu Sidoroff,
Timothée Dequidt,
Visa Forsten,
Vivek Singh Negi,
Wesley Pijpers,
_,
Bartłomiej Drozd,
Boburmirzo Daminov,
Bohdan Miroshnychenko,
Brian Maurer,
Filipa Girão,
Juma Jumayev,
Michał Przybysz,
Miguel Novais,
Mohammed Mahafuz Hossain,
Natalia Adamek,
Rabia Gokcek,
Sebastian Kurek,
Tram Dao,
_,
Agnes Liou,
Amanda Ramos,
Andrew Munden,
Alessandro Simi,
Alex Ruiz,
Ali Tunc,
Antti Sartanen,
Antti Summala,
Ármann Árnason,
Arto Tervo,
Ashley St Germain,
Asko Puurula,
Ayush Gupta,
Cosmin Baltaretu,
Dan Howland,
Daniel Iosca,
Deniz Kural,
Dennis Belfrage,
Diego Ruiz Pomares,
Drussila Hollanda,
Efe Pinar,
Elise Rajala,
Eric Yasukochi,
Erlend Christoffersen,
Ewan Thonger,
Francisco Granados,
Gareth Clark,
Hannu Halonen,
Henri Viitanen,
Henrik Enqvist,
Jaana Heiska,
Jani Lintunen,
Janne Lindholm,
Jari Sukanen,
Jarkko Luoma,
Jarkko Salminen,
Jeffrey Feenstra,
Joakim Achrén,
Joanna Jakubowska,
Johannes Cole,
Jon Franzas,
Jonatas Chagas,
Julia Walling,
Jussi Viiri,
Lasse Seppänen,
Laura Gilliland,
Liangde Chen,
Liz La Londe,
Marika Appel,
Martin Schjøler,
Mauro de Freitas,
Micole Leger,
Mika Seppä,
Miki Kuusi,
Mikko Hokkanen,
Mikko Kodisoja,
Mikko Lehtonen,
Nacho Lasheras,
Nicklas Renqvist,
Niko Mäkelä,
Pablo Spreafico,
Patrick Corander,
Pekka Sairanen,
Peter McLaughlin,
Petri Alanko,
Petri Kärkäs,
Petri Styrman,
Rebecca Green,
Riku Rikala,
Samantha Josling,
Sami Tikkanen,
Sami Yliharju,
Sara Buck Christensen,
Sheila Njoki Ndungu,
Stanislav Stankovic,
Stefan Engblom,
Stephan Demirdjian,
Steven Hsiao,
Stuart McGaw,
Thea Chow,
Tibor Toth,
Tiina Hutri,
Timothy Smith,
Timur Haussila,
Tomi Joki-Korpela,
Tommi Hakala,
Toni Kontinen,
Touko Tahkokallio,
Veera Cockley,
Veli Vainio,
Vesa Vitie,
Victoria Tran,
Ville Taulo,
Wayne Lu ZhongWei,
Xuhui Chen,
Yasin Hatiboğlu,
Zsolt Szász,
_,
Abel Hazi,
Ivan Vasić,
Jelena Vesić,
Kasandra Ristić,
Lucian Ghimpeteanu,
Marko Dimitrijević,
Marko Stanojević,
Maša Komluški,
Michał Cichocki,
Stefan Flider,
Tanja Dragojlović,
