Name,Category,TaskType,FarmPoints,Good,Amount,Probability,TID,IconFileName,IconExportName,Tags,DerbyTaskTags,MinXPLevelForSpawn,MinRepLevelForSpawn,MaxXPLevelForSpawn
String,String,String,int,String,int,int,String,String,String,String,String,int,int,int
DailyPlant_Wheat_Lv11,Daily,PlantField,3,Wheat,15,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_wheat,plant,,1,,24
DailyPlant_Corn_Lv11,Daily,PlantField,3,Corn,15,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_corn,plant,,2,,24
DailyPlant_Soybean_Lv11,Daily,PlantField,3,Soybean,15,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_soybeans,plant,,5,,24
DailyPlant_Sugarcane_Lv11,Daily,PlantField,3,Sugarcane,15,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_sugarcane,plant,,7,,24
DailyPlant_Carrot_Lv11,Daily,PlantField,3,Carrot,15,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_carrots,plant,,9,,24
DailyPlant_Any_Lv11,Daily,PlantField,3,,15,1,TID_FARM_PASS_TASK_PLANT_CROP_ANY,sc/nature_new.sc,field_empty,plant,,13,,24
DailyPlant_Wheat_Lv25,Daily,PlantField,3,Wheat,30,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_wheat,plant,,25,,44
DailyPlant_Corn_Lv25,Daily,PlantField,3,Corn,30,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_corn,plant,,25,,44
DailyPlant_Soybean_Lv25,Daily,PlantField,3,Soybean,30,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_soybeans,plant,,25,,44
DailyPlant_Sugarcane_Lv25,Daily,PlantField,3,Sugarcane,30,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_sugarcane,plant,,25,,44
DailyPlant_Carrot_Lv25,Daily,PlantField,3,Carrot,30,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_carrots,plant,,25,,44
DailyPlant_Indigo_Lv25,Daily,PlantField,3,Indigo,30,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_indigo,plant,,25,,44
DailyPlant_Pumpkin_Lv25,Daily,PlantField,3,Pumpkin,30,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_pumpkins,plant,,25,,44
DailyPlant_Cotton_Lv25,Daily,PlantField,3,Cotton,30,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_cotton,plant,,25,,44
DailyPlant_Chili_Lv25,Daily,PlantField,3,Chili,30,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_chili,plant,,25,,44
DailyPlant_Any_Lv25,Daily,PlantField,3,,30,1,TID_FARM_PASS_TASK_PLANT_CROP_ANY,sc/nature_new.sc,field_empty,plant,,25,,44
DailyPlant_Wheat_Lv45,Daily,PlantField,3,Wheat,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_wheat,plant,,45,,
DailyPlant_Corn_Lv45,Daily,PlantField,3,Corn,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_corn,plant,,45,,
DailyPlant_Soybean_Lv45,Daily,PlantField,3,Soybean,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_soybeans,plant,,45,,
DailyPlant_Sugarcane_Lv45,Daily,PlantField,3,Sugarcane,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_sugarcane,plant,,45,,
DailyPlant_Carrot_Lv45,Daily,PlantField,3,Carrot,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_carrots,plant,,45,,
DailyPlant_Indigo_Lv45,Daily,PlantField,3,Indigo,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_indigo,plant,,45,,
DailyPlant_Pumpkin_Lv45,Daily,PlantField,3,Pumpkin,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_pumpkins,plant,,45,,
DailyPlant_Cotton_Lv45,Daily,PlantField,3,Cotton,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_cotton,plant,,45,,
DailyPlant_Chili_Lv45,Daily,PlantField,3,Chili,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_chili,plant,,45,,
DailyPlant_Tomato_Lv45,Daily,PlantField,3,Tomato,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_tomatoes,plant,,45,,
DailyPlant_Strawberry_Lv45,Daily,PlantField,3,Strawberry,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_strawberries,plant,,45,,
DailyPlant_Potato_Lv45,Daily,PlantField,3,Potato,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_potatoes,plant,,45,,
DailyPlant_Sesame_Lv45,Daily,PlantField,3,Sesame,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_sesame,plant,,50,,
DailyPlant_Pineapple_Lv45,Daily,PlantField,3,Pineapple,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_pineapple,plant,,52,,
DailyPlant_Lily_Lv45,Daily,PlantField,3,Lily,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_whitelily,plant,,53,,
DailyPlant_Rice_Lv45,Daily,PlantField,3,Rice,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_rice,plant,,56,,
DailyPlant_Lettuce_Lv45,Daily,PlantField,3,Lettuce,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_lettuce,plant,,58,,
DailyPlant_Garlic_Lv45,Daily,PlantField,3,Garlic,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_garlic,plant,,60,,
DailyPlant_Sunflower_Lv45,Daily,PlantField,3,Sunflower,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_sunflower,plant,,63,,
DailyPlant_Onion_Lv45,Daily,PlantField,3,Onion,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_onion,plant,,68,,
DailyPlant_Cucumber_Lv45,Daily,PlantField,3,Cucumber,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_cucumber,plant,,70,,
DailyPlant_Beetroot_Lv45,Daily,PlantField,3,Beetroot,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_beetroot,plant,,72,,
DailyPlant_Bellpepper_Lv45,Daily,PlantField,3,Bellpepper,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_bellpepper,plant,,74,,
DailyPlant_Ginger_Lv45,Daily,PlantField,3,Ginger,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_ginger,plant,,78,,
DailyPlant_TeaLeaves_Lv45,Daily,PlantField,3,TeaLeaves,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_tea,plant,,80,,
DailyPlant_Peony_Lv45,Daily,PlantField,3,Peony,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_peony,plant,,82,,
DailyPlant_Broccoli_Lv45,Daily,PlantField,3,Broccoli,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_broccoli,plant,,83,,
DailyPlant_Grapes_Lv45,Daily,PlantField,3,Grapes,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_grape,plant,,84,,
DailyPlant_Mint_Lv45,Daily,PlantField,3,Mint,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_mint,plant,,85,,
DailyPlant_Mushroom_Lv45,Daily,PlantField,3,Mushroom,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_mushroom,plant,,89,,
DailyPlant_Eggplant_Lv45,Daily,PlantField,3,Eggplant,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_eggplant,plant,,90,,
DailyPlant_Watermelon_Lv45,Daily,PlantField,3,Watermelon,50,1,TID_FARM_PASS_TASK_PLANT_CROP,sc/nature_new.sc,crop_watermelon,plant,,92,,
DailyPlant_Any_Lv45,Daily,PlantField,3,,50,1,TID_FARM_PASS_TASK_PLANT_CROP_ANY,sc/nature_new.sc,field_empty,plant,,45,,
Harvest_Wheat_Lv11,,HarvestField,50,Wheat,100,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_wheat,harvest,,1,,24
Harvest_Corn_Lv11,,HarvestField,50,Corn,100,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_corn,harvest,,2,,24
Harvest_Soybean_Lv11,,HarvestField,50,Soybean,100,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_soybeans,harvest,,5,,24
Harvest_Sugarcane_Lv11,,HarvestField,50,Sugarcane,100,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_sugarcane,harvest,,7,,24
Harvest_Carrot_Lv11,,HarvestField,50,Carrot,100,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_carrots,harvest,,9,,24
Harvest_Any_Lv11,,HarvestField,50,,160,0,TID_FARM_PASS_TASK_HARVEST_ANY_FIELDS,sc/icons.sc,tool_harvest,harvest,,11,,24
Harvest_Wheat_Lv25,,HarvestField,50,Wheat,210,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_wheat,harvest,,25,,44
Harvest_Corn_Lv25,,HarvestField,50,Corn,210,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_corn,harvest,,25,,44
Harvest_Soybean_Lv25,,HarvestField,50,Soybean,210,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_soybeans,harvest,,25,,44
Harvest_Sugarcane_Lv25,,HarvestField,50,Sugarcane,210,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_sugarcane,harvest,,25,,44
Harvest_Carrot_Lv25,,HarvestField,50,Carrot,210,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_carrots,harvest,,25,,44
Harvest_Indigo_Lv25,,HarvestField,50,Indigo,210,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_indigo,harvest,,25,,44
Harvest_Pumpkin_Lv25,,HarvestField,50,Pumpkin,210,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_pumpkins,harvest,,25,,44
Harvest_Cotton_Lv25,,HarvestField,50,Cotton,210,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_cotton,harvest,,25,,44
Harvest_Chili_Lv25,,HarvestField,50,Chili,210,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_chili,harvest,,25,,44
Harvest_Any_Lv25,,HarvestField,50,,320,0,TID_FARM_PASS_TASK_HARVEST_ANY_FIELDS,sc/icons.sc,tool_harvest,harvest,,25,,44
Harvest_Wheat_Lv45,,HarvestField,50,Wheat,360,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_wheat,harvest,,45,,79
Harvest_Corn_Lv45,,HarvestField,50,Corn,360,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_corn,harvest,,45,,79
Harvest_Soybean_Lv45,,HarvestField,50,Soybean,360,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_soybeans,harvest,,45,,79
Harvest_Sugarcane_Lv45,,HarvestField,50,Sugarcane,360,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_sugarcane,harvest,,45,,79
Harvest_Carrot_Lv45,,HarvestField,50,Carrot,360,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_carrots,harvest,,45,,79
Harvest_Indigo_Lv45,,HarvestField,50,Indigo,360,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_indigo,harvest,,45,,79
Harvest_Pumpkin_Lv45,,HarvestField,50,Pumpkin,360,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_pumpkins,harvest,,45,,79
Harvest_Cotton_Lv45,,HarvestField,50,Cotton,360,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_cotton,harvest,,45,,79
Harvest_Chili_Lv45,,HarvestField,50,Chili,360,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_chili,harvest,,45,,79
Harvest_Tomato_Lv45,,HarvestField,50,Tomato,360,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_tomatoes,harvest,,45,,79
Harvest_Strawberry_Lv45,,HarvestField,50,Strawberry,360,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_strawberries,harvest,,45,,79
Harvest_Potato_Lv45,,HarvestField,50,Potato,360,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_potatoes,harvest,,45,,79
Harvest_Any_Lv45,,HarvestField,50,,500,0,TID_FARM_PASS_TASK_HARVEST_ANY_FIELDS,sc/icons.sc,tool_harvest,harvest,,45,,79
Harvest_Wheat_Lv80,,HarvestField,50,Wheat,540,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_wheat,harvest,,80,,
Harvest_Corn_Lv80,,HarvestField,50,Corn,540,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_corn,harvest,,80,,
Harvest_Soybean_Lv80,,HarvestField,50,Soybean,540,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_soybeans,harvest,,80,,
Harvest_Sugarcane_Lv80,,HarvestField,50,Sugarcane,540,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_sugarcane,harvest,,80,,
Harvest_Carrot_Lv80,,HarvestField,50,Carrot,540,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_carrots,harvest,,80,,
Harvest_Indigo_Lv80,,HarvestField,50,Indigo,540,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_indigo,harvest,,80,,
Harvest_Pumpkin_Lv80,,HarvestField,50,Pumpkin,540,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_pumpkins,harvest,,80,,
Harvest_Cotton_Lv80,,HarvestField,50,Cotton,540,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_cotton,harvest,,80,,
Harvest_Chili_Lv80,,HarvestField,50,Chili,540,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_chili,harvest,,80,,
Harvest_Tomato_Lv80,,HarvestField,50,Tomato,540,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_tomatoes,harvest,,80,,
Harvest_Strawberry_Lv80,,HarvestField,50,Strawberry,540,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_strawberries,harvest,,80,,
Harvest_Potato_Lv80,,HarvestField,50,Potato,540,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_potatoes,harvest,,80,,
Harvest_Sesame_Lv80,,HarvestField,50,Sesame,540,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_sesame,harvest,,80,,
Harvest_Pineapple_Lv80,,HarvestField,50,Pineapple,540,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_pineapple,harvest,,80,,
Harvest_Lily_Lv80,,HarvestField,50,Lily,540,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_whitelily,harvest,,80,,
Harvest_Rice_Lv80,,HarvestField,50,Rice,540,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_rice,harvest,,80,,
Harvest_Lettuce_Lv80,,HarvestField,50,Lettuce,540,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_lettuce,harvest,,80,,
Harvest_Garlic_Lv80,,HarvestField,50,Garlic,540,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_garlic,harvest,,80,,
Harvest_Sunflower_Lv80,,HarvestField,50,Sunflower,540,0,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_sunflower,harvest,,80,,
