Name,Tag,MaxTasks
String,String,int
0,spawn1,10
,spawn2,0
,spawn3,0
,spawn4,0
1,spawn1,0
,spawn2,10
,spawn3,0
,spawn4,0
2,spawn1,0
,spawn2,0
,spawn3,10
,spawn4,0
3,spawn1,0
,spawn2,0
,spawn3,0
,spawn4,10
4,spawn1,10
,spawn2,0
,spawn3,0
,spawn4,0
5,spawn1,0
,spawn2,10
,spawn3,0
,spawn4,0
6,spawn1,0
,spawn2,0
,spawn3,10
,spawn4,0
7,spawn1,0
,spawn2,0
,spawn3,0
,spawn4,10
8,spawn1,10
,spawn2,0
,spawn3,0
,spawn4,0
9,spawn1,0
,spawn2,10
,spawn3,0
,spawn4,0
10,spawn1,0
,spawn2,0
,spawn3,10
,spawn4,0
11,spawn1,0
,spawn2,0
,spawn3,0
,spawn4,10
12,spawn1,10
,spawn2,0
,spawn3,0
,spawn4,0
13,spawn1,0
,spawn2,10
,spawn3,0
,spawn4,0
14,spawn1,0
,spawn2,0
,spawn3,10
,spawn4,0
