Name,ExportName,IsFruit,DeadExportName,FileName,TileWidth,TileHeight,TimeMin,FruitCount,ExpClear,InstantComplete,Tool,TID,DescriptionTID,TapSound,TapProcessingSound,CollectSound,Price,CollectIconFileName,CollectIconExportName,ShopIconFileName,ShopIconExportName,ShopIconAnimScale,ShopIconClipped,BirdCanLand,PendingRelease,BuySound
String,String,boolean,String,String,int,int,int,int,int,int,String,String,String,String,String,String,int,String,String,String,String,int,boolean,boolean,Boolean,String
AppleTree,apple_tree_stage_1,TRUE,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,1,960,2,5,13,Saw,TID_APPLE_TREE,TID_APPLE_TREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,160,sc/icons.sc,tool_collect_eggs,,,,,TRUE,,Buy
,blueberry_bush_stage_2,,,,,,960,3,,13,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,960,4,,13,,,,,,,,,,,,,,,,
CherryTree,cherry_tree_stage_1,TRUE,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,1,1680,2,5,17,Saw,TID_CHERRY_TREE,TID_CHERRY_TREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,410,sc/icons.sc,tool_collect_eggs,,,,,TRUE,,Buy
,blueberry_bush_stage_2,,,,,,1680,3,,17,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,1680,4,,17,,,,,,,,,,,,,,,,
RaspberryBush,raspberry_bush_stage_1,,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,2,1080,2,4,14,Axe,TID_RASPBERRY_BUSH,TID_RASPBERRY_BUSH_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,220,sc/icons.sc,tool_collect_eggs,,,,,,,Buy
,blueberry_bush_stage_2,,,,,,1080,3,,14,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,1080,4,,14,,,,,,,,,,,,,,,,
BlackberryBush,blackberry_bush_stage_1,,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,2,1920,2,4,18,Axe,TID_BLACKBERRY_BUSH,TID_BLACKBERRY_BUSH_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,530,sc/icons.sc,tool_collect_eggs,,,,,,,Buy
,blueberry_bush_stage_2,,,,,,1920,3,,18,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,1920,4,,18,,,,,,,,,,,,,,,,
