Name,QuestType,Param1,Param1String,Probability,TID,QuestIconFileName,QuestIconExportName,QuestNotification
String,int,int,String,int,String,String,String,String
QuestMove1,1,7,,20,TID_MAPGAME_QUEST_MOVE,sc/map_icons.sc,icon_dailytask17,CompleteQuestMove1
QuestMove2,1,10,,12,TID_MAPGAME_QUEST_MOVE,sc/map_icons.sc,icon_dailytask17,CompleteQuestMove1
QuestMove3,1,15,,4,TID_MAPGAME_QUEST_MOVE,sc/map_icons.sc,icon_dailytask17,CompleteQuestMove1
QuestSpin1,2,2,,8,TID_MAPGAME_QUEST_SPIN,sc/map_icons.sc,icon_dailytask02,CompleteQuestSpin1
QuestSpin2,2,3,,4,TID_MAPGAME_QUEST_SPIN,sc/map_icons.sc,icon_dailytask02,CompleteQuestSpin1
QuestDeliveries1,3,1,,12,TID_MAPGAME_QUEST_DELIVERIES,sc/map_icons.sc,icon_dailytask01,CompleteQuestDeliveries1
QuestSocialTask1,4,1,,8,TID_MAPGAME_QUEST_SOCIAL_TASK,sc/map_icons.sc,icon_dailytask04,CompleteQuestSocial1
QuestCompleteDumpTask1,6,2,,12,TID_MAPGAME_QUEST_DUMP_TASK,sc/map_icons.sc,icon_dailytask05,CompleteQuestDumpTask1
QuestCompleteDumpTask2,6,3,,20,TID_MAPGAME_QUEST_DUMP_TASK,sc/map_icons.sc,icon_dailytask05,CompleteQuestDumpTask1
QuestCompleteDumpTask3,6,4,,4,TID_MAPGAME_QUEST_DUMP_TASK,sc/map_icons.sc,icon_dailytask05,CompleteQuestDumpTask1
QuestHelp1,5,1,,1,TID_MAPGAME_QUEST_HELP,sc/map_icons.sc,icon_dailytask16,CompleteQuestHelp1
QuestCollectBlueCoinEasy,7,15,,4,TID_MAPGAME_QUEST_COLLECT_BLUE_COIN,sc/map_icons.sc,icon_dailytask07,CompleteQuestBlueCoin
QuestCollectRedCoinEasy,8,15,,4,TID_MAPGAME_QUEST_COLLECT_RED_COIN,sc/map_icons.sc,icon_dailytask06,CompleteQuestRedCoin
QuestCollectGreenCoinEasy,9,15,,4,TID_MAPGAME_QUEST_COLLECT_GREEN_COIN,sc/map_icons.sc,icon_dailytask08,CompleteQuestGreenCoin
QuestCollectBlueCoinMed,7,30,,20,TID_MAPGAME_QUEST_COLLECT_BLUE_COIN,sc/map_icons.sc,icon_dailytask07,CompleteQuestBlueCoin
QuestCollectRedCoinMed,8,30,,20,TID_MAPGAME_QUEST_COLLECT_RED_COIN,sc/map_icons.sc,icon_dailytask06,CompleteQuestRedCoin
QuestCollectGreenCoinMed,9,30,,20,TID_MAPGAME_QUEST_COLLECT_GREEN_COIN,sc/map_icons.sc,icon_dailytask08,CompleteQuestGreenCoin
QuestCollectBlueCoinHard,7,45,,12,TID_MAPGAME_QUEST_COLLECT_BLUE_COIN,sc/map_icons.sc,icon_dailytask07,CompleteQuestBlueCoin
QuestCollectRedCoinHard,8,45,,12,TID_MAPGAME_QUEST_COLLECT_RED_COIN,sc/map_icons.sc,icon_dailytask06,CompleteQuestRedCoin
QuestCollectGreenCoinHard,9,45,,12,TID_MAPGAME_QUEST_COLLECT_GREEN_COIN,sc/map_icons.sc,icon_dailytask08,CompleteQuestGreenCoin
QuestCollectChicken,10,1,,8,TID_MAPGAME_QUEST_COLLECT_CHICKEN,sc/map_icons.sc,icon_dailytask03,CompleteQuestChicken
QuestVisitBlackRoof1,11,1,blackroof,20,TID_MAPGAME_QUEST_VISIT_BLACKROOF_ONE,sc/map_icons.sc,icon_dailytask15,CompleteQuestVisitBlackRoof1
QuestVisitBlackRoof2,11,2,blackroof,4,TID_MAPGAME_QUEST_VISIT_BLACKROOF,sc/map_icons.sc,icon_dailytask15,CompleteQuestVisitBlackRoof1
QuestVisitWindmill1,11,1,windmill,12,TID_MAPGAME_QUEST_VISIT_WINDMILL_ONE,sc/map_icons.sc,icon_dailytask14,CompleteQuestVisitWindmill1
QuestVisitFishShop1,11,1,fish,20000,TID_MAPGAME_QUEST_VISIT_FISHSHOP_ONE,sc/map_icons.sc,icon_dailytask10,CompleteQuestVisitFishShop1
QuestVisitVeggieShop1,11,1,veggie,20,TID_MAPGAME_QUEST_VISIT_VEGGIESHOP_ONE,sc/map_icons.sc,icon_dailytask09,CompleteQuestVisitVeggieShop1
QuestVisitCinema1,11,1,cinema,12,TID_MAPGAME_QUEST_VISIT_CINEMA_ONE,sc/map_icons.sc,icon_dailytask12,CompleteQuestVisitCinema1
QuestVisitDiner1,11,1,diner,20000,TID_MAPGAME_QUEST_VISIT_DINER_ONE,sc/map_icons.sc,icon_dailytask13,CompleteQuestVisitDiner1
QuestAnyTask1,12,3,,12,TID_MAPGAME_QUEST_COMPLETE_X_TASKS,sc/map_icons.sc,icon_dailytask18,CompleteQuestAnyTask1
QuestAnyTask2,12,4,,20,TID_MAPGAME_QUEST_COMPLETE_X_TASKS,sc/map_icons.sc,icon_dailytask18,CompleteQuestAnyTask1
QuestAnyTask3,12,5,,4,TID_MAPGAME_QUEST_COMPLETE_X_TASKS,sc/map_icons.sc,icon_dailytask18,CompleteQuestAnyTask1
QuestDeliverSanctuaryAnimal,13,1,,8,TID_MAPGAME_QUEST_COLLECT_SANCTUARY_ANIMAL,sc/map_icons.sc,icon_dailytask19,CompleteQuestSanctuaryAnimal
