Name,TaskCategory,PointsRequired,FreeRewardItems,FreeRewardCounts,FreeRewardMinimums,FreeRewardHighlights,PremiumRewardItems,PremiumRewardCounts,PremiumRewardMinimums,PremiumRewardHighlights,LastChanceUpsell
String,String,int,String,int,int,int,String,int,int,int,Boolean
Truck1,Truck,1,FreeCash,500,,,Diamonds,50,,,
,,2,FreeCash,750,,,Diamonds,25,,2,
,,3,GachaCurrency,25,,,GachaCurrency,150,,3,
,,4,FreeCash,1000,,,Diamonds,10,,,
,,5,FreeCash,1500,,,Diamonds,10,,,TRUE
,,6,FreeCash,2000,,,Diamonds,10,,,TRUE
,,7,GachaCurrency,25,,,GachaCurrency,125,,,TRUE
,,8,FreeCash,2500,,,Diamonds,10,,,TRUE
,,9,FreeCash,3000,,,Diamonds,10,,,TRUE
,,10,FreeCash,4000,,,Diamonds,10,,,TRUE
,,11,GachaCurrency,50,,1,GachaCurrency,100,,,TRUE
,,13,DiamondsAsCash,7,6000,,DiamondsAsCash,20,,,TRUE
,,15,DiamondsAsCash,8,7000,,Diamonds,10,,,TRUE
,,17,DiamondsAsCash,9,8000,,GachaCurrency,100,,,TRUE
,,20,DiamondsAsCash,10,10000,2,Diamonds,50,,1,
Truck2,Truck,1,FreeCash,500,,,Diamonds,50,,,
,,2,FreeCash,750,,,Diamonds,25,,,
,,3,GachaCurrency,25,,,GachaCurrency,150,,3,
,,4,FreeCash,1000,,,Diamonds,10,,,
,,6,FreeCash,1500,,,Diamonds,10,,,
,,8,FreeCash,2000,,,Diamonds,10,,,
,,10,GachaCurrency,25,,,GachaCurrency,125,,,TRUE
,,12,FreeCash,2500,,,Diamonds,10,,,TRUE
,,14,FreeCash,3000,,,Diamonds,10,,,TRUE
,,16,FreeCash,4000,,,Diamonds,10,,,TRUE
,,19,GachaCurrency,50,,1,GachaCurrency,100,,1,TRUE
,,22,DiamondsAsCash,7,5000,,DiamondsAsCash,20,,,TRUE
,,27,DiamondsAsCash,8,6000,,Diamonds,10,,,TRUE
,,32,DiamondsAsCash,9,7500,,GachaCurrency,100,,,TRUE
,,40,DiamondsAsCash,10,10000,2,Diamonds,50,,2,TRUE
Truck3,Truck,1,FreeCash,500,,,Diamonds,50,,,
,,2,FreeCash,750,,,Diamonds,25,,,
,,4,GachaCurrency,25,,,GachaCurrency,150,,3,
,,6,FreeCash,1000,,,Diamonds,10,,,
,,9,FreeCash,1500,,,Diamonds,10,,,
,,12,FreeCash,2000,,,Diamonds,10,,,
,,16,GachaCurrency,25,,,GachaCurrency,125,,,
,,21,FreeCash,2500,,,Diamonds,10,,,TRUE
,,26,FreeCash,3000,,,Diamonds,10,,,TRUE
,,32,FreeCash,4000,,,Diamonds,10,,,TRUE
,,39,GachaCurrency,50,,1,GachaCurrency,100,,1,TRUE
,,47,DiamondsAsCash,7,5000,,DiamondsAsCash,20,,,TRUE
,,55,DiamondsAsCash,8,6000,,Diamonds,10,,,TRUE
,,65,DiamondsAsCash,9,7500,,GachaCurrency,100,,,TRUE
,,80,DiamondsAsCash,10,10000,2,Diamonds,50,,2,TRUE
Truck4,Truck,1,FreeCash,500,,,Diamonds,50,,,
,,2,FreeCash,750,,,Diamonds,25,,,
,,3,GachaCurrency,25,,,GachaCurrency,150,,3,
,,4,FreeCash,1000,,,Diamonds,10,,,
,,5,FreeCash,1500,,,Diamonds,10,,,
,,6,FreeCash,2000,,,Diamonds,10,,,
,,7,GachaCurrency,25,,,GachaCurrency,125,,,
,,8,FreeCash,2500,,,Diamonds,10,,,TRUE
,,9,FreeCash,3000,,,Diamonds,10,,,TRUE
,,10,FreeCash,4000,,,Diamonds,10,,,TRUE
,,11,GachaCurrency,50,,1,GachaCurrency,100,,,TRUE
,,12,DiamondsAsCash,7,5000,,DiamondsAsCash,20,,,TRUE
,,13,DiamondsAsCash,8,6000,,Diamonds,10,,2,TRUE
,,14,DiamondsAsCash,9,7500,,GachaCurrency,100,,,TRUE
,,15,DiamondsAsCash,10,10000,2,Box_Barn_2Star,1,,1,TRUE
Boat1,Boat,3,BarnCommon,1,,,Box_Barn_2Star,1,,,
,,6,BarnUncommon,1,,,Box_Silo_2Star,1,,,
,,9,BarnRare,1,,,BarnUncommon,2,,,
,,12,SiloCommon,1,,,BarnRare,2,,2,
,,17,SiloUncommon,1,,,SiloCommon,2,,,
,,22,SiloRare,1,,2,SiloUncommon,2,,,
,,27,BarnCommon,1,,,SiloRare,1,,,
,,32,BarnUncommon,1,,,Box_Silo_2Star,2,,,TRUE
,,37,BarnRare,1,,,BarnUncommon,2,,,TRUE
,,43,SiloCommon,1,,,BarnRare,2,,,TRUE
,,49,SiloUncommon,1,,1,SiloUncommon,2,,,TRUE
,,58,SiloRare,1,,,SiloRare,2,,,TRUE
,,67,Box_Barn_1Star,1,,,Box_Barn_2Star,1,,3,TRUE
,,80,Box_Silo_1Star,1,,,Box_Silo_2Star,1,,1,TRUE
Boat_easy,Boat,1,BarnCommon,1,,,Box_Barn_2Star,1,,,
,,2,BarnUncommon,1,,,Box_Silo_2Star,1,,,
,,3,BarnRare,1,,,BarnUncommon,2,,,
,,5,SiloCommon,1,,,BarnRare,2,,2,
,,7,SiloUncommon,1,,,SiloCommon,2,,,
,,9,SiloRare,1,,,SiloUncommon,2,,,
,,12,BarnCommon,1,,,SiloRare,1,,,
,,15,BarnUncommon,1,,2,Box_Silo_2Star,2,,,TRUE
,,19,BarnRare,1,,,BarnUncommon,2,,,TRUE
