Name,Index,TaskGroup,TaskType,Good,FarmPoints,XPLevelSegments,Amounts,TID,Probability,IconFileName,IconExportName
String,int,String,String,String,int,String,String,String,int,String,String
Easy_CollectProduction_Goat Milk,0,Easy,CollectProduction,Goat Milk,50,15;35;75;102,2;2;4;4;8,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,1,,
Easy_CollectProduction_Wool,1,Easy,CollectProduction,Wool,50,15;35;75;102,2;2;5;5;10,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,1,,
Easy_CollectProduction_Bacon,2,Easy,CollectProduction,Bacon,50,15;35;75;102,3;5;10;15;15,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,1,,
Easy_CollectProduction_Milk,3,Easy,CollectProduction,Milk,50,15;35;75;102,3;5;10;15;15,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,1,,
Easy_CollectProduction_Egg,4,Easy,CollectProduction,Egg,50,15;35;75;102,3;6;9;12;18,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,1,,
Easy_FeedAnimal_Chicken,5,Easy,FeedAnimal,Chicken,50,15;35;75;102,3;6;9;12;18,TID_FARM_PASS_TASK_FEED_CHICKENS,1,,
Easy_FeedAnimal_Cow,6,Easy,FeedAnimal,Cow,50,15;35;75;102,3;5;10;15;15,TID_FARM_PASS_TASK_FEED_COWS,1,,
Easy_FeedAnimal_Sheep,7,Easy,FeedAnimal,Sheep,50,15;35;75;102,2;2;5;5;15,TID_FARM_PASS_TASK_FEED_SHEEP,1,,
Easy_FeedAnimal_Pig,8,Easy,FeedAnimal,Pig,50,15;35;75;102,3;5;10;15;15,TID_FARM_PASS_TASK_FEED_PIGS,1,,
Easy_FeedAnimal_Goat,9,Easy,FeedAnimal,Goat,50,15;35;75;102,2;2;4;4;15,TID_FARM_PASS_TASK_FEED_GOATS,1,,
Easy_CollectFruit_Coconut,10,Easy,CollectFruit,Coconut,50,15;35;75;102,2;2;2;2;4,TID_TASK_COLLECT_FRUIT,1,,
Easy_CollectFruit_Blueberry,11,Easy,CollectFruit,Blueberry,50,15;35;75;102,2;2;2;2;4,TID_TASK_COLLECT_FRUIT,1,,
Easy_CollectFruit_Cacao,12,Easy,CollectFruit,Cacao,50,15;35;75;102,2;2;2;2;4,TID_TASK_COLLECT_FRUIT,1,,
Easy_CollectFruit_Guava,13,Easy,CollectFruit,Guava,50,15;35;75;102,2;2;2;2;4,TID_TASK_COLLECT_FRUIT,1,,
Easy_CollectFruit_Blackberry,14,Easy,CollectFruit,Blackberry,50,15;35;75;102,2;2;2;2;4,TID_TASK_COLLECT_FRUIT,1,,
Easy_CollectFruit_Mango,15,Easy,CollectFruit,Mango,50,15;35;75;102,2;2;2;2;4,TID_TASK_COLLECT_FRUIT,1,,
Easy_CollectFruit_Orange,16,Easy,CollectFruit,Orange,50,15;35;75;102,2;2;2;2;4,TID_TASK_COLLECT_FRUIT,1,,
Easy_CollectFruit_Lemon,17,Easy,CollectFruit,Lemon,50,15;35;75;102,2;4;4;4;6,TID_TASK_COLLECT_FRUIT,1,,
