Name,Products,
String,String,
PG_EarlyFarmHarvest,Wheat,"[UNDER25 13] (min level 1) farm harvest, field crops and orchard fruit, grains and vegetables, berries and tree fruit, growing season"
,Corn,
,Soybean,
,Sugarcane,
,Carrot,
,Indigo,
,Apple,
,Pumpkin,
,Cotton,
,Raspberry,
,Cherry,
,BlackBean,
,Chili,
PG_EarlyOvenBakes,Bread,"[UNDER25 13] (min level 2) fresh from the oven, breads cookies and cakes, pies and muffins, sugar and sweet baking, bakery counter"
,Brown_Sugar,
,Corn Bread,
,Cookie,
,White Sugar,
,Carrot Pie,
,Pumpkin Pie,
,Bacon Pie,
,Raspberry Muffin,
,Carrot Cake,
,Berry Cake,
,Birthday Cake,
,Cheese Cake,
PG_EarlyHomeCooking,Bread,"[UNDER25 12] (min level 2) hearty home cooking, farmhouse kitchen staples, cooked meals and snacks, popcorn and pancakes, comfort food"
,Cream,
,Popcorn,
,Butter,
,Pancakes,
,Bacon and Eggs,
,Cheese,
,Butter Popcorn,
,Hamburger,
,Syrup,
,Chili Popcorn,
,Grilled Lamb Skewer,
PG_EarlyBarnyardLife,Chicken Food,"[UNDER25 10] (min level 1) barnyard animals and care, fresh eggs milk and bacon, livestock feed, wool and meat, from coop to pasture"
,Egg,
,Cow Food,
,Milk,
,Bacon,
,Pig Food,
,Sheep Food,
,Wool,
,Lamb Food,
,Lamb Meat,
PG_GrandFeast,Bacon and Eggs,"[BROAD 88] (min level 11) banquet, big dinner, restaurant menu, world cuisines, all savory mains and cooked meals"
,Bacon Pie,
,Hamburger,
,Grilled Lamb Skewer,
,Fishburger,
,Fish Pie,
,Pizza,
,Feta Pie,
,Baked Potato,
,Casserole,
,Spicy Pizza,
,Shepherds Pie,
,Fish and Chips,
,Frutti di Mare Pizza,
,Lobster Skewer,
,Asparagus Quiche,
,Garlic bread,
,VeggieBagel,
,BaconSalad,
,SeafoodSalad,
,BLTToast,
,EggSandwich,
,Pasta Salad,
,Cucumber Sandwich,
,Stuffed Bellpeppers,
,Onion melt,
,Meat fondue,
,Loaded Fries,
,Cheese fondue,
