Name,RewardsToChoose,Reward,RewardCount,RewardWeighting,FallbackReward,FallbackRewardCount,FakeReward,DiamondToCashRate
String,int,String,int,int,String,int,String,String
BeatCrop3,1,CropsBeats_lv3,1,1,,,,
BeatAnimal3,1,AnimalsBeats_lv3,1,1,,,,
BeatProd3,1,ProductionBeats_lv3,1,1,,,,
BeatAlbum3,3,CropsBeats_lv3,1,1,,,BeatsAlbum,
,,AnimalsBeats_lv3,1,1,,,,
,,ProductionBeats_lv3,1,1,,,,
ToolsClearLow,1,Axe,1,1,,,,
,,Saw,1,1,,,,
,,Shovel,1,1,,,,
ToolsClearMed,1,Axe,2,1,,,,
,,Saw,2,1,,,,
,,Shovel,2,1,,,,
ToolsClearHigh,1,Axe,3,1,,,,
,,Saw,3,1,,,,
,,Shovel,3,1,,,,
ToolsMineLow,1,Dynamite,1,1,,,,
,,Demolition Charge,1,1,,,,
,,Pickaxe,1,1,,,,
ToolsMineMed,1,Dynamite,2,1,,,,
,,Demolition Charge,2,1,,,,
,,Pickaxe,2,1,,,,
ToolsMineHigh,1,Dynamite,3,1,,,,
,,Demolition Charge,3,1,,,,
,,Pickaxe,3,1,,,,
SiloParts1,1,SiloCommon,1,10,,,,
,,SiloUncommon,1,8,,,,
,,SiloRare,1,6,,,,
SiloParts2,1,SiloCommon,2,10,,,,
,,SiloUncommon,2,8,,,,
,,SiloRare,2,6,,,,
SiloParts3,1,SiloCommon,3,10,,,,
,,SiloUncommon,3,8,,,,
,,SiloRare,3,6,,,,
SiloParts4,1,SiloCommon,4,10,,,,
,,SiloUncommon,4,8,,,,
,,SiloRare,4,6,,,,
SiloPartsLucky1,1,SiloCommon,1,3,,,,
,,SiloUncommon,1,7,,,,
,,SiloRare,1,13,,,,
SiloPartsLucky2,1,SiloCommon,2,3,,,,
,,SiloUncommon,2,7,,,,
,,SiloRare,2,13,,,,
SiloPartsLucky3,1,SiloCommon,3,3,,,,
,,SiloUncommon,3,7,,,,
,,SiloRare,3,13,,,,
SiloPartsLucky4,1,SiloCommon,4,3,,,,
,,SiloUncommon,4,7,,,,
,,SiloRare,4,13,,,,
CoinsMed40,1,FreeCash,1000,1,,,,
CoinsMed60,1,FreeCash,2000,1,,,,
CoinsMed100,1,FreeCash,2500,1,,,,
CoinsMed9999,1,FreeCash,3000,1,,,,
CoinsXLarge40,1,FreeCash,1500,1,,,,
CoinsXLarge60,1,FreeCash,3000,1,,,,
