Name,Slot1Weight,Slot2Weight,Slot3Weight,PoolCount,CompletionsToday,Modifier,DifficultyBadgeNameTID,DifficultyBadgeFrameLabel,MaxSharedCrates,MaxSharedExtraNeighborhoodCrates
String,int,int,int,int,int,String,String,String,int,int
Easy,18,1,1,30,0,Easy_0,TID_BOAT_DESTINATION_EASY,Easy,1,1
,,,,,1,Easy_1,,,,
,,,,,2,Easy_2,,,,
,,,,,3,Easy_3,,,,
,,,,,4,Easy_4,,,,
,,,,,5,Easy_5,,,,
,,,,,6,Easy_6,,,,
,,,,,7,Easy_7,,,,
Medium,1,18,1,30,0,Medium_0,TID_BOAT_DESTINATION_MEDIUM,Medium,1,1
,,,,,1,Medium_1,,,,
,,,,,2,Medium_2,,,,
,,,,,3,Medium_3,,,,
,,,,,4,Medium_4,,,,
,,,,,5,Medium_5,,,,
,,,,,6,Medium_6,,,,
,,,,,7,Medium_7,,,,
Hard,1,1,18,12,0,Hard_0,TID_BOAT_DESTINATION_HARD,Hard,1,2
,,,,,1,Hard_1,,,,
,,,,,2,Hard_2,,,,
,,,,,3,Hard_3,,,,
,,,,,4,Hard_4,,,,
,,,,,5,Hard_5,,,,
,,,,,6,Hard_6,,,,
,,,,,7,Hard_7,,,,
