Name,ExportName,FileName,TileWidth,TileHeight,TapSound,MinStayTimeRandomAddMinutes,MaxStayTimeRandomAddMinutes,MaxSharedCrates,MaxSharedExtraNeighborhoodCrates,MovingTime,MovingTimeSpeededUp,BlackLists
String,String,String,int,int,String,int,int,int,int,int,int,String
Boat,riverboat_01,sc/buildings_new.sc,2,4,MenuBleep,0,0,3,1,400,100,"Brown_Sugar,White Sugar,Syrup,Caramel Apple,Toffee,Chocolate,Lollipop,Jelly Beans,Cookie,Potato Bread,Pancakes,SesameIceCream,Bacon donut,Easter_egg2_24,Easter_egg4_24,Gift_Box4_24"
,,,,,,,,,,,,"Espreso,Latte,Mocha,Raspberry Mocha,Hot Chocolate,BananaLatte,Caramel latte,Affogato"
,,,,,,,,,,,,"Popcorn,Butter Popcorn,Chili Popcorn,Chocolate Popcorn,Honey Popcorn,Snack Mix,Gift_Box2_24"
,,,,,,,,,,,,"Cream,Butter,Cheese,Goat Cheese"
,,,,,,,,,,,,"ClocheHat,TopHat,SunHat,FlowerCrown"
,,,,,,,,,,,,"Green Tea,Milk Tea,Honey Tea,Lemon Tea,Orange Tea,Ice Tea,MintTea,GingerTea,Pomegranate Tea,Chamomile Tea"
,,,,,,,,,,,,"Apple Jam,Raspberry Jam,Blackberry Jam,Cherry Jam,Strawberry Jam,Marmelade,Peach Jam,Grape Jam,PlumJam,Blueberry Chutney"
,,,,,,,,,,,,"Bread,Corn Bread,Cookie,Raspberry Muffin,Blackberry Muffin,Pizza,Spicy Pizza,Potato Bread,Frutti di Mare Pizza,BananaBread,Gingerbread Cookie,Macaroon,Pineapple coconut bars,Blueberry Muffin"
,,,,,,,,,,,,"Pancakes,Bacon and Eggs,Hamburger,Fishburger,Roasted Tomatoes,Baked Potato,Fish and Chips,Lobster Skewer,Grilled Onion,BananaPancakes,Grilled Eggplant,FishSkewer,Garlic bread,Roast veggies,Stuffed Bellpeppers,Grilled Asparagus,Gift_Box2"
,,,,,,,,,,,,"Carrot Cake,Birthday Cake,Berry Cake,Cheese Cake,Strawberry Cake,Chocolate Cake,Potato Feta Cake,Honey Apple Cake,Lemon Cake,Fruitcake,Pineapple Cake,Fancy Cake,Chocolate Roll,Pomegranate Cake,Gift_Box3_24,Blueberry Cheesecake"
,,,,,,,,,,,,"Strawberry Candle,Raspberry Candle,Lemon Candle,Floral candle,Party Candle"
,,,,,,,,,,,,"Lobster Meat,Duck Down,Frutti di Mare Pizza,Lobster Skewer,Lobster Pasta,SeafoodSalad,LobsterSushi,Pillow,Blanket,TopHat,SunHat"
,,,,,,,,,,,,"Honey,Beeswax,Honey Tea,Honey Popcorn,Honey Apple Cake,Honey Toast,Honeycomb,PlumSmoothie,Cucumber Smoothie,SesameBrittle,Face Mask,Honey Soap,Passion Fruit Sauce,Easter_egg3_24,Chamomile Tea"
,,,,,,,,,,,,"Hot Dog,Tofu Dog,Corn Dog,Onion Dog"
,,,,,,,,,,,,"Vanilla Ice Cream,Cherry Popsicle,Strawberry Ice Cream,Chocolate Ice Cream,Orange Sorbet,Peach Ice Cream,BananaSplit,MintIcecream,SesameIceCream,Peanut Butter Milkshake,Affogato,Coconut Ice Cream,Fruit Sorbet,Vanilla Milkshake,Mocha Milkshake,Gift_Box4"
,,,,,,,,,,,,"Carrot Juice,Apple Juice,Berry Juice,Tomato Juice,Cherry Juice,Orange Juice,Grape Juice,WatermelonLemonade,Pineapple Juice,Mango Juice,Guava Juice"
,,,,,,,,,,,,"Sweater,Blue Woolly Hat,Blue Sweater,Cotton Fabrics,Red Scarf,Flower Shawl,Soft Bouquet,Gift_Box1_24"
,,,,,,,,,,,,"Raw Pasta,Rice Noodles"
,,,,,,,,,,,,"Gnocchi,Lobster Pasta,Lasagna,Pasta Carbonara,Spicy spaghetti,Broccoli Mac,MushroomPasta"
