Name,CreatureDefinition,TaskType,Good,SpawnChanceWeight,NoSpawnChanceWeight,PityWeightIncrease,MaxPerDay,MaxPerEvent,MaxPerVisitedFarm,RandomPositionWhenTriggered,CreatureTargetSpawnRadius
String,String,String,String,int,int,int,int,int,int,boolean,int
GhostAverageDaily,GhostChicken,,,1,0,0,5,1000,,,
GhostChainedCorn,GhostChained,HarvestField,Corn,1,19,5,10,500,,,
GhostDraculaCookies,GhostDracula,CollectProduction,Cookie,1,99,10,5,100,,,
GhostGroovyPopcorn,GhostGroovy,CollectProduction,Popcorn,1,19,5,10,500,,,
GhostMayorTruck,GhostMayor,CompleteTruckOrder,,1,1,1,20,1000,,,
GhostMummyWheat,GhostMummy,HarvestField,Wheat,1,99,10,5,100,,,
GhostPatchedAnimal,GhostPatched,FeedAnimal,,1,19,5,10,500,,,
GhostPhotographerWheel,GhostPhotographer,WheelOfFortune,,1,0,0,20,1000,,,
GhostPigBacon,GhostPig,CollectProduction,Bacon and Eggs,1,99,10,5,100,,,
GhostPirateOthers,GhostPirate,,,1,1,1,20,1000,5,,
GhostWitchEggs,GhostWitch,CollectProduction,Egg,1,99,10,5,100,,,
MalamuteRudolfHarvestFieldCarrot,MalamuteRudolf,HarvestField,Carrot,1,19,5,15,500,,,
MalamuteElfCompleteTruckOrder,MalamuteElf,CompleteTruckOrder,,1,1,1,15,500,,,
MalamuteJumperHarvestFieldWheat,MalamuteJumper,HarvestField,Wheat,1,99,10,10,500,,,
MalamuteChickenCollectProductionEgg,MalamuteChicken,CollectProduction,Egg,1,99,5,10,500,,,
MalamuteGiftWheelOfFortune,MalamuteGift,WheelOfFortune,,1,0,0,5,500,,,
HuskyGiftOpenMysteryBox,HuskyGift,OpenMysteryBox,,1,0,0,5,500,,,
HuskySantaCollectBuildingBakery,HuskySanta,CollectBuilding,Bakery,1,99,10,5,500,,,
HuskyElfCompleteTruckOrder,HuskyElf,CompleteTruckOrder,,1,1,1,15,500,,,
HuskyJumperDaily,HuskyJumper,,,1,0,0,5,500,,,
HuskySnowmanCollectBuildingDairy,HuskySnowman,CollectBuilding,Dairy,1,99,10,5,500,,,
HuskySantaSpecialChristmasDay,HuskySantaSpecial,,,1,0,10,1,1,,,
ChickzillaDailyInvasion,Chickzilla,,,0,0,0,1,1,,,
ChickzillaDailySpawn,Chickzilla,CollectSeasonalCreatures,Chickzilla,0,0,0,10000,10000,,TRUE,
ChickzillaDailyInvasionLast,Chickzilla,,,0,0,0,5,20,,,
ChickzillaFillBoatCrate,Chickzilla,FillBoatCrate,,0,0,0,20,100,,,5
ChickTillyDailyInvasion,ChickTilly,,,0,0,0,20,20,,,
ChickTillyDailyInvasionWave1,ChickTilly,,,0,0,0,20,20,,,
ChickTillyDailyInvasionWave2,ChickTilly,,,0,0,0,20,20,,,
ChickTillyDailyInvasionWave3,ChickTilly,,,0,0,0,20,20,,,
ChickTillyDailyInvasionWave4,ChickTilly,,,0,0,0,20,20,,,
ChickTillyDailyInvasionLast,ChickTilly,,,0,0,0,20,100,,,
ChickTillyUseMine,ChickTilly,UseMine,,1,0,0,100,1000,,,
ChickMysteryBoxDailyInvasion,ChickMysteryBox,,,1,0,0,5,5,,TRUE,
ChickTomDailyInvasion,ChickTom,,,0,0,0,20,20,,,
ChickTomDailyInvasionWave1,ChickTom,,,0,0,0,20,20,,,
ChickTomDailyInvasionWave2,ChickTom,,,0,0,0,20,20,,,
ChickTomDailyInvasionWave3,ChickTom,,,0,0,0,20,20,,,
ChickTomDailyInvasionWave4,ChickTom,,,0,0,0,20,20,,,
ChickTomDailyInvasionLast,ChickTom,,,0,0,0,20,100,,,
ChickTomCompletePeopleOrder,ChickTom,CompletePeopleOrder,,0,0,0,100,1000,,,
ChickBaptisteDailyInvasion,ChickBaptiste,,,0,0,0,50,100,,,
ChickBaptisteDailyInvasionWave1,ChickBaptiste,,,0,0,0,20,20,,,
ChickBaptisteDailyInvasionWave2,ChickBaptiste,,,0,0,0,20,20,,,
ChickBaptisteDailyInvasionWave3,ChickBaptiste,,,0,0,0,20,20,,,
ChickBaptisteDailyInvasionWave4,ChickBaptiste,,,0,0,0,20,20,,,
ChickBaptisteDailyInvasionLast,ChickBaptiste,,,0,0,0,20,100,,,
ChickBaptisteEarnFarmPassPoints,ChickBaptiste,EarnFarmPassPoints,,0,0,0,100,1000,,,
ChickCapybaraDailyInvasion,ChickCapybara,,,0,0,0,50,100,,,
ChickCapybaraDailyInvasionWave1,ChickCapybara,,,0,0,0,20,20,,,
ChickCapybaraDailyInvasionWave2,ChickCapybara,,,0,0,0,20,20,,,
ChickCapybaraDailyInvasionWave3,ChickCapybara,,,0,0,0,20,20,,,
ChickCapybaraDailyInvasionWave4,ChickCapybara,,,0,0,0,20,20,,,
ChickCapybaraDailyInvasionFinal,ChickCapybara,,,0,0,0,20,100,,,
ChickCapybaraFeedAnimal,ChickCapybara,FeedAnimal,,0,0,0,100,1000,,,
ChickBubbleDailyInvasion,ChickBubble,,,0,0,0,50,100,,,
ChickBubbleDailyInvasionWave1,ChickBubble,,,0,0,0,20,20,,,
ChickBubbleDailyInvasionWave2,ChickBubble,,,0,0,0,20,20,,,
ChickBubbleDailyInvasionWave3,ChickBubble,,,0,0,0,20,20,,,
ChickBubbleDailyInvasionWave4,ChickBubble,,,0,0,0,20,20,,,
ChickBubbleDailyInvasionLast,ChickBubble,,,0,0,0,20,100,,,
ChickBubbleCompleteTruckOrder,ChickBubble,CompleteTruckOrder,,0,0,0,100,1000,,,
ChickSignDailyInvasion,ChickSign,HarvestField,,0,0,0,20,1000,,,
CreatureSpawnPlaceholder2,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder3,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder4,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder5,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder6,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder7,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder8,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder9,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder10,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder11,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder12,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder13,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder14,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder15,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder16,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder17,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder18,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder19,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder20,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder21,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder22,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder23,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder24,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder25,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder26,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder27,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder28,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder29,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder30,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder31,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder32,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder33,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder34,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder35,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder36,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder37,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder38,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder39,GhostChicken,,,1,0,0,5,1000,,,
CreatureSpawnPlaceholder40,GhostChicken,,,1,0,0,5,1000,,,
