Name,RepeatCount,Cost
String,int,int
CropGroup1_Bucket1,1,1
,2,2
,3,3
,4,5
,5,9
,6,14
,7,25
,8,42
,9,50
,10,50
,11,50
,12,50
,13,50
,14,50
,15,50
,16,50
,17,50
,18,50
,19,50
,20,50
CropGroup1_Bucket2,1,1
,2,2
,3,4
,4,7
,5,12
,6,20
,7,34
,8,50
,9,50
,10,50
,11,50
,12,50
,13,50
,14,50
,15,50
,16,50
,17,50
,18,50
,19,50
,20,50
CropGroup1_Bucket3,1,1
,2,3
,3,5
,4,9
,5,15
,6,26
,7,44
,8,50
,9,50
,10,50
,11,50
,12,50
,13,50
,14,50
,15,50
,16,50
,17,50
,18,50
,19,50
,20,50
AnimalGroup1_Bucket1,1,2
,2,4
,3,6
,4,10
,5,16
,6,25
,7,40
,8,50
,9,50
,10,50
,11,50
,12,50
,13,50
,14,50
,15,50
,16,50
,17,50
,18,50
,19,50
,20,50
AnimalGroup1_Bucket2,1,2
,2,5
,3,8
,4,12
,5,19
,6,31
,7,50
,8,50
,9,50
,10,50
,11,50
,12,50
,13,50
,14,50
,15,50
,16,50
,17,50
,18,50
,19,50
,20,50
AnimalGroup1_Bucket3,1,2
,2,5
,3,9
,4,14
,5,22
,6,35
,7,50
,8,50
,9,50
,10,50
,11,50
,12,50
,13,50
,14,50
,15,50
,16,50
,17,50
,18,50
,19,50
,20,50
ProductionGroup1_Bucket1,1,3
,2,5
,3,8
,4,14
,5,23
,6,38
,7,50
,8,50
,9,50
,10,50
,11,50
,12,50
,13,50
,14,50
,15,50
,16,50
,17,50
,18,50
,19,50
,20,50
ProductionGroup1_Bucket2,1,3
,2,6
,3,10
,4,16
,5,27
,6,45
,7,50
,8,50
,9,50
,10,50
,11,50
,12,50
,13,50
,14,50
,15,50
,16,50
,17,50
,18,50
,19,50
,20,50
ProductionGroup1_Bucket3,1,3
,2,6
,3,11
,4,18
,5,29
,6,49
,7,50
,8,50
,9,50
,10,50
,11,50
,12,50
,13,50
,14,50
,15,50
,16,50
,17,50
,18,50
,19,50
,20,50
CropGroup2_Bucket1,1,2
,2,2
,3,3
,4,5
,5,8
,6,11
,7,17
,8,26
,9,38
,10,50
,11,50
,12,50
,13,50
,14,50
,15,50
,16,50
,17,50
,18,50
,19,50
,20,50
CropGroup2_Bucket2,1,2
,2,3
,3,5
,4,7
,5,11
,6,16
,7,24
,8,36
,9,50
,10,50
,11,50
,12,50
,13,50
,14,50
,15,50
,16,50
,17,50
,18,50
,19,50
,20,50
CropGroup2_Bucket3,1,2
,2,4
,3,6
,4,9
,5,14
,6,20
,7,31
,8,46
,9,50
,10,50
,11,50
,12,50
,13,50
,14,50
,15,50
,16,50
,17,50
,18,50
,19,50
,20,50
AnimalGroup2_Bucket1,1,4
,2,5
,3,7
,4,10
,5,14
,6,20
,7,28
,8,39
,9,50
,10,50
,11,50
,12,50
,13,50
,14,50
,15,50
,16,50
,17,50
,18,50
,19,50
,20,50
AnimalGroup2_Bucket2,1,4
,2,6
,3,9
,4,13
,5,18
,6,25
,7,35
,8,48
,9,50
,10,50
,11,50
,12,50
,13,50
,14,50
,15,50
,16,50
,17,50
,18,50
,19,50
,20,50
AnimalGroup2_Bucket3,1,4
,2,7
,3,10
,4,14
,5,20
,6,28
,7,39
,8,50
,9,50
,10,50
,11,50
,12,50
,13,50
,14,50
,15,50
,16,50
,17,50
,18,50
,19,50
,20,50
ProductionGroup2_Bucket1,1,5
,2,7
,3,10
,4,14
,5,19
,6,27
,7,38
,8,50
,9,50
,10,50
,11,50
,12,50
,13,50
,14,50
,15,50
,16,50
,17,50
,18,50
,19,50
,20,50
