Name,Type,HideForYoungPlayers,FallbackStory,Width,Height,FileName,ExportName,Text1,Text2,URL
String,String,boolean,String,int,int,String,String,String,String,String
FSf,FSf,,,2,2,sc/newspaper.sc,fluff_story_2x2_01,,,
FSw,FSw,,,2,1,sc/newspaper.sc,player_ad_01,,,
FSt,FSt,,,1,2,sc/newspaper.sc,player_ad_01,,,
FSs,FSs,,,1,1,sc/newspaper.sc,player_ad_01,,,
P,P,,,1,1,sc/newspaper.sc,cross_promo_ad,,,
Pw,P,,,2,1,sc/newspaper.sc,cross_promo_ad_2col,,,
Pt,P,,CFSt,1,3,sc/newspaper.sc,cross_promo_ad_catalogue,,,
SO,SO,,,1,1,sc/newspaper.sc,player_ad_01,,,
DB,DB,,,1,1,sc/newspaper.sc,player_ad_01,,,
MP,MP,,,1,2,sc/newspaper.sc,player_ad_01,,,
GA,GA,,,1,1,sc/newspaper.sc,player_ad_01,,,
H,H,,,2,1,sc/newspaper.sc,header,,,
Pfb,Pfb,TRUE,GA,1,1,sc/newspaper.sc,facebook_ad,TID_NEWSPAPER_FB_PROMO_TEXT,TID_NEWSPAPER_FB_PROMO_BUBBLE_TEXT,https://www.facebook.com/HayDay.Gau
Pwb,Pwb,TRUE,GA,1,1,sc/newspaper.sc,weibo_ad,TID_NEWSPAPER_WB_PROMO_TEXT,TID_NEWSPAPER_WB_PROMO_BUBBLE_TEXT,https://t.me/modgauvn
Pig,Pig,TRUE,GA,1,1,sc/newspaper.sc,instagram_ad,TID_NEWSPAPER_IG_PROMO_TEXT,TID_NEWSPAPER_IG_PROMO_BUBBLE_TEXT,https://www.facebook.com/HayDay.Gau
TO,TO,,GA,1,1,sc/newspaper.sc,daily_deal_ad,TID_TOOLS_OFFER_TITLE,TID_TOOLS_OFFER_DESCRIPTION,
CH,CH,,,2,1,sc/newspaper.sc,catalogue_header,,,
CG,CG,,,1,3,sc/newspaper.sc,catalogue_item_01,,,
CFSf,CFSf,,,2,2,sc/newspaper.sc,catalogue_front_page,,,
CFSb,CFSb,,,2,3,sc/newspaper.sc,catalogue_back_page_fluff,,,
CFSt,CFSt,,,1,3,sc/newspaper.sc,cross_promo_filler_catalogue,,,
Pda,Pda,,GA,1,1,sc/newspaper.sc,dynamic_ad,,,
,,,,,,sc/newspaper.sc,youtube_ad_1x1,,,
Pyt,Pyt,TRUE,GA,2,1,sc/newspaper.sc,youtube_ad_2x1,TID_NEWSPAPER_YOUTUBE_AD_WHILE_YOU_ARE_AWAY_TEXT,TID_NEWSPAPER_YOUTUBE_AD_WHILE_YOU_ARE_AWAY_BUBBLE_TEXT,http://www.youtube.com/watch?v=5_tAgHDO-GU
Pdaw,Pdaw,,GA,2,1,sc/newspaper.sc,dynamic_ad_2col,,,
,,,,,,sc/newspaper.sc,youtube_ad_2x1,,,
CFSEf,CFSEf,,,2,2,sc/newspaper.sc,catalogue_front_page_event,,,
CGE,CGE,,,1,1,sc/newspaper.sc,catalogue_item_01_event,,,
CGEw,CGE,,,2,1,sc/newspaper.sc,catalogue_item_01_event,,,
