Name,ToolIconFileName,ToolIconExportName,TID,ProcessingBuilding,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,UnlockLevel,DescriptionTID,Difficulty,PendingRelease,OrderValueV2
String,String,String,String,String,int,String,int,int,int,int,int,int,int,int,int,String,int,Boolean,int
Popcorn,sc/icons.sc,recipe_popcorn,TID_POPCORN,Popcorn_Pot,2,Corn,30,17,17,4,3,1,5,5,8,TID_POPCORN_POT_PRODUCT_DESCRIPTION,8,,5
Butter Popcorn,sc/icons.sc,recipe_butter_popcorn,TID_BUTTER_POPCORN,Popcorn_Pot,2,Corn,60,65,62,15,4,1,21,21,16,TID_POPCORN_POT_PRODUCT_DESCRIPTION,25,,21
,,,,,1,Butter,,,,,,,,,,,,,
Chili Popcorn,sc/icons.sc,recipe_chili_popcorn,TID_CHILI_POPCORN,Popcorn_Pot,2,Corn,120,63,61,15,5,1,21,21,25,TID_POPCORN_POT_PRODUCT_DESCRIPTION,26,,21
,,,,,2,Chili,,,,,,,,,,,,,
Chocolate Popcorn,sc/icons.sc,recipe_choco_popcorn,TID_PRODUCT_CHOCOLATE_POPCORN,Popcorn_Pot,2,Corn,150,127,122,29,9,1,43,43,44,TID_POPCORN_POT_PRODUCT_DESCRIPTION,52,,43
,,,,,2,Cacao,,,,,,,,,,,,,
Honey Popcorn,sc/icons.sc,recipe_honey_popcorn,TID_PRODUCT_HONEY_POPCORN,Popcorn_Pot,2,Corn,90,186,178,43,5,1,23,23,40,TID_POPCORN_POT_PRODUCT_DESCRIPTION,28,,23
,,,,,2,Honey,,,,,,,,,,,,,
Snack Mix,sc/icons.sc,recipe_snack_mix,TID_PRODUCT_SNACKMIX,Popcorn_Pot,2,Corn,45,215,207,50,3,1,15,15,64,TID_POPCORN_POT_PRODUCT_DESCRIPTION,18,,15
,,,,,1,PeanutBag,,,,,,,,,,,,,
,,,,,1,Sesame,,,,,,,,,,,,,
