Name,UnlockLevel,HappyDurationMinutes,FedDurationMinutes,Habitat,FileName,ShopIconFileName,ShopIconExportName,ShopIconAnimScale,MaxPathLength,MaxDistanceFromHouse,MaxDistanceFromHouseHungry,Exp,Vouchers,VoucherCount,StateIdleExportName,StateIdleHungryExportName,StateIdleMinMS,StateIdleMaxMS,StateRunExportName,StateMoveExportName,StateMoveHungryExportName,StateMoveMinMS,StateMoveMaxMS,StateRunMinMS,StateRunMaxMS,Speed,HungrySpeed,RunSpeed,StateEatExportName,StateEatMinMS,StateEatMaxMS,StateSleepExportName,StateSleepMinMS,StateSleepMaxMS,TID,DescriptionTID,ReadyNotificationName,TapSound,CollectSound,BuySound,FeedSound,RandomSounds,MaxCountColumnName,SpecialDropCounterIncrease,RandomAnimationFrame,ShopOrder,AssetScale,PendingRelease
String,int,int,int,String,String,String,String,int,int,int,int,int,String,int,String,String,int,int,String,String,String,int,int,int,int,int,int,int,String,int,int,String,int,int,String,String,String,String,String,String,String,String,String,int,boolean,int,int,Boolean
Cat1,31,0,360,CatHouse,sc/animals.sc,,,110,150,1000,3,40,Voucher1,1,cat01_idle,cat01_hungry_idle,3000,9000,cat01_run,cat01_walk,cat01_hungry_walk,3000,9000,3000,9000,10,9,33,cat01_eat,3000,9000,cat01_sleep,3000,9000,TID_CAT1,TID_CAT_DESCRIPTION,,CatTap,CatTap,Buy,,,MaxCatAmount,20,TRUE,700,,
,,,,,,,,,,,,,Voucher2,1,cat01_idle2,cat01_hungry_idle2,,,,cat01_walk2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Voucher3,1,cat01_idle3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Voucher4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cat2,21,0,360,CatHouse,sc/animals.sc,,,110,150,1000,3,20,Voucher1,1,cat02_idle,cat02_hungry_idle,3000,9000,cat02_run,cat02_walk,cat02_hungry_walk,3000,9000,3000,9000,10,9,33,cat02_eat,3000,9000,cat02_sleep,3000,9000,TID_CAT2,TID_CAT_DESCRIPTION,,CatTap,CatTap,Buy,,,MaxCatAmount,26,TRUE,500,,
,,,,,,,,,,,,,Voucher3,1,cat02_idle2,cat02_hungry_idle2,,,,cat02_walk2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,cat02_idle3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cat3,23,0,360,CatHouse,sc/animals.sc,,,110,150,1000,3,30,Voucher1,1,cat03_idle,cat03_hungry_idle,3000,9000,cat03_run,cat03_walk,cat03_hungry_walk,3000,9000,3000,9000,10,9,33,cat03_eat,3000,9000,cat03_sleep,3000,9000,TID_CAT3,TID_CAT_DESCRIPTION,,CatTap,CatTap,Buy,,,MaxCatAmount,32,TRUE,600,,
,,,,,,,,,,,,,Voucher3,1,cat03_idle2,cat03_hungry_idle2,,,,cat03_walk2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Voucher4,1,cat03_idle3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dog1,20,0,360,DogHouse,sc/animals.sc,,,,150,1000,3,30,Voucher1,1,dog01a_idle01,dog01a_hungry_idle01,3000,9000,dog01a_run01,dog01a_walk01,dog01a_hungry_walk01,3000,9000,3000,9000,20,5,40,dog01a_eating01,3000,9000,dog01a_sleeping01,3000,9000,TID_DOG1,TID_DOG_DESCRIPTION,,DogTap,DogTap,Buy,,,MaxDogAmount,22,TRUE,100,,
,,,,,,,,,,,,,Voucher2,1,dog01a_idle02,dog01a_hungry_idle02,,,,dog01a_walk02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,dog01a_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dog2,22,0,360,DogHouse,sc/animals.sc,,,,150,1000,3,40,Voucher1,1,dog01b_idle01,dog01b_hungry_idle01,3000,9000,dog01b_run01,dog01b_walk01,dog01b_hungry_walk01,3000,9000,3000,9000,20,5,40,dog01b_eating01,3000,9000,dog01b_sleeping01,3000,9000,TID_DOG2,TID_DOG_DESCRIPTION,,DogTap,DogTap,Buy,,,MaxDogAmount,28,TRUE,200,,
,,,,,,,,,,,,,Voucher2,1,dog01b_idle02,dog01b_hungry_idle02,,,,dog01b_walk02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Voucher4,1,dog01b_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dog3,30,0,360,DogHouse,sc/animals.sc,,,,150,1000,3,50,Voucher1,1,dog01c_idle01,dog01c_hungry_idle01,3000,9000,dog01c_run01,dog01c_walk01,dog01c_hungry_walk01,3000,9000,3000,9000,20,5,40,dog01c_eating01,3000,9000,dog01c_sleeping01,3000,9000,TID_DOG3,TID_DOG_DESCRIPTION,,DogTap,DogTap,Buy,,,MaxDogAmount,34,TRUE,300,,
,,,,,,,,,,,,,Voucher2,1,dog01c_idle02,dog01c_hungry_idle02,,,,dog01c_walk02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Voucher3,1,dog01c_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Voucher4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horse1,27,0,360,HorseHouse,sc/animals02.sc,,,110,150,8,4,60,Voucher1,1,horse01bay_idle01,horse01bay_hungry_idle01,5000,7000,horse01bay_run01,horse01bay_walk01,horse01bay_hungry_walk01,6000,12000,8000,15000,11,4,55,horse01bay_eating01,4000,8000,horse01bay_sleeping01,3000,9000,TID_HORSE1,TID_HORSE_DESCRIPTION,,HorseTap,HorseTap,Buy,,,MaxHorseAmount,30,TRUE,900,,
,,,,,,,,,,,,,Voucher2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Voucher3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
