Name,ToolIconFileName,ToolIconExportName,RequirementAmount,Requirement,TimeMin,TimeSec,ExpCollect,Units,InstantComplete,TID,ProcessingBuilding,DumbValue,DescriptionTID,DiamondPrice,SpecialUnlockRequirement,SpecialUnlockTID,PendingRelease
String,String,String,int,String,int,int,int,int,int,String,String,int,string,int,string,string,Boolean
Chicken Food,sc/icons.sc,tool_feed_chicken,2,Wheat,0,,1,3,0,TID_CHICKEN_FOOD,Hammermill,1,TID_FEED_MILL_PRODUCT_DESCRIPTION,2,,,
,,,1,Corn,,,,,,,,,,,,,
Cow Food,sc/icons.sc,tool_feed_cow,1,Corn,0,,2,3,0,TID_COW_FOOD,Hammermill,1,TID_FEED_MILL_PRODUCT_DESCRIPTION,3,,,
,,,2,Soybean,,,,,,,,,,,,,
Pig Food,sc/icons.sc,tool_feed_pig,2,Carrot,0,,2,3,0,TID_PIG_FOOD,Hammermill,1,TID_FEED_MILL_PRODUCT_DESCRIPTION,3,,,
,,,1,Soybean,,,,,,,,,,,,,
Sheep Food,sc/icons.sc,tool_feed_sheep,3,Wheat,0,,3,3,0,TID_SHEEP_FOOD,Hammermill,1,TID_FEED_MILL_PRODUCT_DESCRIPTION,3,,,
,,,1,Soybean,,,,,,,,,,,,,
Goat Food,sc/icons.sc,tool_feed_goat,1,Wheat,0,,3,3,0,TID_GOAT_FOOD,Hammermill,1,TID_FEED_MILL_PRODUCT_DESCRIPTION,3,,,
,,,2,Carrot,,,,,,,,,,,,,
,,,1,Corn,,,,,,,,,,,,,
Herbivore Food,sc/icons.sc,tool_feed_herbivore,75,Wheat,0,,10,3,0,TID_HERBIVORE_FOOD,Hammermill,1,TID_FEED_MILL_PRODUCT_DESCRIPTION,10,Sanctuary,TID_REQUIRES_HERBIVORE,
Carnivore Food,sc/icons.sc,tool_feed_carnivore,5,Carrot,0,,15,3,0,TID_CARNIVORE_FOOD,Hammermill,1,TID_FEED_MILL_PRODUCT_DESCRIPTION,15,Sanctuary,TID_REQUIRES_CARNIVORE,FALSE
,,,3,Fish Meat,,,,,,,,,,,,,
Lamb Food,sc/icons.sc,tool_feed_lamb,4,BlackBean,0,,4,3,0,TID_LAMB_FOOD,Hammermill,1,TID_FEED_MILL_PRODUCT_DESCRIPTION,3,,,
,,,2,Soybean,,,,,,,,,,,,,
