Name,FileName,ExportName,TileWidth,TileHeight,Fence
String,String,String,int,int,boolean
Fence_Chicken01_Front,sc/buildings_new.sc,fence_chicken01_front,0,1,true
Fence_Chicken01_Back,sc/buildings_new.sc,fence_chicken01_back,0,1,true
Chicken_Coop_01,sc/buildings_new.sc,chicken_coop_01,1,1,
Chicken_Trough_01,sc/buildings_new.sc,chicken_trough_01,1,1,
Fence_Cow01,sc/buildings_new.sc,fence_cow01,0,1,true
Cow_Trough_01,sc/buildings_new.sc,cow_trough_01,1,1,
Fence_Pig01_Front,sc/buildings_new.sc,fence_pig01_front,0,1,true
Fence_Pig01_Back,sc/buildings_new.sc,fence_pig01_back,0,1,true
Pig_Trough_01,sc/buildings_new.sc,pig_trough_01,1,1,
Fence_Sheep01_Front,sc/buildings_new.sc,fence_sheep01_front,0,1,true
Fence_Sheep01_Back,sc/buildings_new.sc,fence_sheep01_back,0,1,true
Sheep_Trough_01,sc/buildings_new.sc,sheep_trough_01,1,1,
Fence_Goat01,sc/buildings_new.sc,fence_goat01,0,1,true
Fence_Lamb01,sc/buildings_new.sc,fence_lamb01,0,1,true
Lamb_Trough_01,sc/buildings_new.sc,lamb_trough_01,1,1,
Lamb_Hay,sc/buildings_new.sc,lamb_hay_stack,1,1,
Fence_Lamb02,sc/buildings_new.sc,fence_lamb02,0,1,true
Fence_Lamb03,sc/buildings_new.sc,fence_lamb03,0,1,true
Fence_Lamb04,sc/buildings_new.sc,fence_lamb04,0,1,true
Fence_Lamb05,sc/buildings_new.sc,fence_lamb05,0,1,true
