Name,ToolIconFileName,ToolIconExportName,TID,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,ProcessingBuilding,UnlockLevel,DescriptionTID,Difficulty,PendingRelease,OrderValueV2
String,String,String,String,int,String,int,int,int,int,int,int,int,int,String,int,string,int,Boolean,int
Bread,sc/icons.sc,recipe_bread,TID_BREAD,3,Wheat,0,11,11,3,0,1,4,4,Bakery,2,TID_BAKERY_PRODUCT_DESCRIPTION,5,,4
Cookie,sc/icons.sc,recipe_cookie,TID_COOKIE,2,Wheat,0,54,52,13,0,1,19,22,Bakery,10,TID_BAKERY_PRODUCT_DESCRIPTION,23,,19
,,,,1,Brown_Sugar,,,,,,,,,,,,,,
,,,,2,Egg,,,,,,,,,,,,,,
Corn Bread,sc/icons.sc,recipe_corn_bread,TID_CORN_BREAD,2,Corn,0,36,35,8,0,1,13,13,Bakery,7,TID_BAKERY_PRODUCT_DESCRIPTION,16,,13
,,,,2,Egg,,,,,,,,,,,,,,
Pizza,sc/icons.sc,recipe_pizza,TID_PIZZA,2,Wheat,0,98,94,23,0,1,34,34,Bakery,33,TID_BAKERY_PRODUCT_DESCRIPTION,36,,34
,,,,1,Tomato,,,,,,,,,,,,,,
,,,,1,Cheese,,,,,,,,,,,,,,
Spicy Pizza,sc/icons.sc,recipe_spicy_pizza,TID_SPICY_PIZZA,2,Wheat,0,117,112,27,0,1,41,41,Bakery,37,TID_BAKERY_PRODUCT_DESCRIPTION,43,,41
,,,,1,Tomato,,,,,,,,,,,,,,
,,,,1,Cheese,,,,,,,,,,,,,,
,,,,1,Chili,,,,,,,,,,,,,,
Raspberry Muffin,sc/icons.sc,recipe_raspberry_muffin,TID_RASPBERRY_MUFFIN,2,Raspberry,0,72,69,17,0,1,27,27,Bakery,19,TID_BAKERY_PRODUCT_DESCRIPTION,30,,27
,,,,2,Wheat,,,,,,,,,,,,,,
,,,,1,Egg,,,,,,,,,,,,,,
Blackberry Muffin,sc/icons.sc,recipe_blackberry_muffin,TID_BLACKBERRY_MUFFIN,2,Blackberry,0,117,112,27,0,1,44,44,Bakery,26,TID_BAKERY_PRODUCT_DESCRIPTION,47,,44
,,,,1,Wheat,,,,,,,,,,,,,,
,,,,2,Egg,,,,,,,,,,,,,,
Potato Bread,sc/icons.sc,recipe_potato_bread,TID_POTATOE_BREAD,2,Potato,0,147,142,34,0,1,53,58,Bakery,39,TID_BAKERY_PRODUCT_DESCRIPTION,64,,53
,,,,1,White Sugar,,,,,,,,,,,,,,
,,,,3,Egg,,,,,,,,,,,,,,
,,,,1,Butter,,,,,,,,,,,,,,
Frutti di Mare Pizza,sc/icons.sc,recipe_pizza_frutti_di_mare,TID_FRUTTI_DI_MARE_PIZZA,2,Wheat,0,208,200,48,0,1,58,66,Bakery,45,TID_BAKERY_PRODUCT_DESCRIPTION,60,,58
,,,,1,Cheese,,,,,,,,,,,,,,
,,,,1,Fish Meat,,,,,,,,,,,,,,
,,,,1,Lobster Meat,,,,,,,,,,,,,,
BananaBread,sc/icons.sc,recipe_banana_bread,TID_BANANA_BREAD,3,Banana,0,219,210,50,0,1,73,73,Bakery,91,TID_BAKERY_PRODUCT_DESCRIPTION,76,,73
,,,,2,Grapes,,,,,,,,,,,,,,
,,,,3,Wheat,,,,,,,,,,,,,,
,,,,1,Egg,,,,,,,,,,,,,,
Gingerbread Cookie,sc/icons.sc,recipe_gingerbread_cookie,TID_PRODUCT_GINGERBREADCOOKIE,5,Wheat,0,141,136,33,0,1,52,62,Bakery,86,TID_BAKERY_PRODUCT_DESCRIPTION,55,,52
,,,,1,Syrup,,,,,,,,,,,,,,
,,,,1,Butter,,,,,,,,,,,,,,
,,,,2,Ginger,,,,,,,,,,,,,,
Macaroon,sc/icons.sc,recipe_macaroon,TID_PRODUCT_MACAROON,2,Coconut,0,218,210,50,0,1,75,85,Bakery,101,TID_BAKERY_PRODUCT_DESCRIPTION,78,,75
,,,,2,White Sugar,,,,,,,,,,,,,,
,,,,1,Cacao,,,,,,,,,,,,,,
Pineapple coconut bars,sc/icons.sc,recipe_pineapple_coconut_bar,TID_PRODUCT_COCONUTBARS,1,Coconut,0,147,141,34,0,1,49,59,Bakery,120,TID_BAKERY_PRODUCT_DESCRIPTION,52,,49
,,,,2,White Sugar,,,,,,,,,,,,,,
,,,,3,Oats,,,,,,,,,,,,,,
,,,,2,Pineapple,,,,,,,,,,,,,,
Blueberry Muffin,sc/icons.sc,recipe_blueberry_muffin,TID_BLUEBERRY_MUFFIN,1,Wheat,0,120,115,28,0,1,44,44,Bakery,33,TID_BAKERY_PRODUCT_DESCRIPTION,47,,44
,,,,2,Blueberry,,,,,,,,,,,,,,
,,,,2,Egg,,,,,,,,,,,,,,
