Name,ToolIconFileName,ToolIconExportName,TID,ProcessingBuilding,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,UnlockLevel,DescriptionTID,Difficulty,PendingRelease,OrderValueV2
String,String,String,String,String,int,String,int,int,int,int,int,int,int,int,int,string,int,Boolean,int
Cheese Cake,sc/icons.sc,recipe_cheese_cake,TID_CHEESE_CAKE,Cake_Oven,1,Cookie,0,146,140,34,0,1,48,51,24,TID_CAKE_OVEN_PRODUCT_DESCRIPTION,55,,48
,,,,,1,Cheese,,,,,,,,,,,,,
Carrot Cake,sc/icons.sc,recipe_carrot_cake,TID_CARROT_CAKE,Cake_Oven,2,Carrot,0,86,83,20,0,1,29,32,21,TID_CAKE_OVEN_PRODUCT_DESCRIPTION,34,,29
,,,,,1,Butter,,,,,,,,,,,,,
,,,,,1,Brown_Sugar,,,,,,,,,,,,,
Birthday Cake,sc/icons.sc,recipe_cream_cake,TID_BIRTHDAY_CAKE,Cake_Oven,5,Wheat,0,112,108,26,0,1,36,41,23,TID_CAKE_OVEN_PRODUCT_DESCRIPTION,42,,36
,,,,,1,Cream,,,,,,,,,,,,,
,,,,,1,White Sugar,,,,,,,,,,,,,
Chocolate Cake,sc/icons.sc,recipe_chocolate_cake,TID_CHOCOLATE_CAKE,Cake_Oven,1,Butter,0,165,159,38,0,1,57,60,36,TID_CAKE_OVEN_PRODUCT_DESCRIPTION,62,,57
,,,,,1,Brown_Sugar,,,,,,,,,,,,,
,,,,,2,Cacao,,,,,,,,,,,,,
Strawberry Cake,sc/icons.sc,recipe_strawberry_cake,TID_STRAWBERRY_CAKE,Cake_Oven,3,Wheat,0,163,156,38,0,1,54,60,35,TID_CAKE_OVEN_PRODUCT_DESCRIPTION,60,,54
,,,,,1,Cream,,,,,,,,,,,,,
,,,,,1,White Sugar,,,,,,,,,,,,,
,,,,,2,Strawberry,,,,,,,,,,,,,
