Name,FileName,East,North,South,West,BackgroundColour,DecoLayer,DecoBorder
String,String,String,String,String,String,String,String,String
Canvas1,data/level_deco.csv,bg_edge_canvas1_east,bg_edge_canvas1_north,bg_edge_canvas1_south,bg_edge_canvas1_west,FF4c919f,deco_layer_01,Decoeventborder
Canvas2,data/level_deco.csv,bg_edge_canvas1_east_autumn,bg_edge_canvas1_north_autumn,bg_edge_canvas1_south_autumn,bg_edge_canvas1_west_autumn,FF4c919f,deco_layer_01,Decoeventborder
Canvas3,data/level_deco.csv,bg_edge_canvas1_east_halloween,bg_edge_canvas1_north_halloween,bg_edge_canvas1_south_halloween,bg_edge_canvas1_west_halloween,FF4c919f,deco_layer_01,Decoeventborder
Canvas4,data/level_deco.csv,bg_edge_canvas1_east_winter,bg_edge_canvas1_north_winter,bg_edge_canvas1_south_winter,bg_edge_canvas1_west_winter,FF4c919f,deco_layer_01,Decoeventborder
Canvas5,data/level_deco_beach.csv,bg_edge_canvas2_east_beach,bg_edge_canvas2_north_beach,bg_edge_canvas2_south_beach,bg_edge_canvas2_west_beach,FF4c919f,deco_layer_02_beach,Decoeventborder
Canvas6,data/level_deco_beach.csv,bg_edge_canvas2_east_beach,bg_edge_canvas2_north_beach,bg_edge_canvas2_south_beach,bg_edge_canvas2_west_beach,FF4c919f,deco_layer_02_wildwest,Decoeventborder
Canvas7,data/level_deco.csv,bg_edge_canvas1_east,bg_edge_canvas1_north,bg_edge_canvas1_south,bg_edge_canvas1_west,FF4c919f,deco_layer_01,Decoeventborder
Canvas8,data/level_deco.csv,bg_edge_canvas1_east,bg_edge_canvas1_north,bg_edge_canvas1_south,bg_edge_canvas1_west,FF4c919f,deco_layer_01,Decoeventborder
Canvas9,data/level_deco.csv,bg_edge_canvas1_east,bg_edge_canvas1_north,bg_edge_canvas1_south,bg_edge_canvas1_west,FF4c919f,deco_layer_01,Decoeventborder
