Name,ExportName,IsFruit,DeadExportName,FileName,TileWidth,TileHeight,TimeMin,FruitCount,ExpClear,InstantComplete,Tool,TID,DescriptionTID,TapSound,TapProcessingSound,CollectSound,Price,CollectIconFileName,CollectIconExportName,ShopIconFileName,ShopIconExportName,ShopIconAnimScale,ShopIconClipped,BirdCanLand,PendingRelease,BuySound
String,String,boolean,String,String,int,int,int,int,int,int,String,String,String,String,String,String,int,String,String,String,String,int,boolean,boolean,Boolean,String
AppleTree,apple_tree_stage_1,TRUE,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,1,0,2,5,0,Saw,TID_APPLE_TREE,TID_APPLE_TREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,160,sc/icons.sc,tool_collect_eggs,,,,,TRUE,,Buy
,blueberry_bush_stage_2,,,,,,0,3,,0,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,0,4,,0,,,,,,,,,,,,,,,,
CherryTree,cherry_tree_stage_1,TRUE,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,1,0,2,5,0,Saw,TID_CHERRY_TREE,TID_CHERRY_TREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,410,sc/icons.sc,tool_collect_eggs,,,,,TRUE,,Buy
,blueberry_bush_stage_2,,,,,,0,3,,0,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,0,4,,0,,,,,,,,,,,,,,,,
RaspberryBush,raspberry_bush_stage_1,,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,2,0,2,4,0,Axe,TID_RASPBERRY_BUSH,TID_RASPBERRY_BUSH_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,220,sc/icons.sc,tool_collect_eggs,,,,,,,Buy
,blueberry_bush_stage_2,,,,,,0,3,,0,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,0,4,,0,,,,,,,,,,,,,,,,
BlackberryBush,blackberry_bush_stage_1,,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,2,0,2,4,0,Axe,TID_BLACKBERRY_BUSH,TID_BLACKBERRY_BUSH_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,530,sc/icons.sc,tool_collect_eggs,,,,,,,Buy
,blueberry_bush_stage_2,,,,,,0,3,,0,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,0,4,,0,,,,,,,,,,,,,,,,
CacaoTree,cacao_tree_stage_1,TRUE,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,1,0,2,5,0,Saw,TID_CACAO_TREE,TID_CACAO_TREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,550,sc/icons.sc,tool_collect_eggs,,,,,TRUE,,Buy
,blueberry_bush_stage_2,,,,,,0,3,,0,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,0,4,,0,,,,,,,,,,,,,,,,
CoffeeBush,coffee_bush_stage_1,,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,1,0,2,4,0,Axe,TID_COFFEE_BUSH,TID_COFFEE_BUSH_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,375,sc/icons.sc,tool_collect_eggs,,,,,,,Buy
,blueberry_bush_stage_2,,,,,,0,3,,0,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,0,4,,0,,,,,,,,,,,,,,,,
OliveTree,olive_tree_stage_1,TRUE,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,1,0,2,4,0,Saw,TID_PRODUCT_OLIVETREE,TID_PRODUCT_OLIVETREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,620,sc/icons.sc,tool_collect_eggs,,,,,TRUE,,Buy
,blueberry_bush_stage_2,,,,,,0,3,,0,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,0,4,,0,,,,,,,,,,,,,,,,
LemonTree,lemon_tree_stage_1,TRUE,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,1,0,2,4,0,Saw,TID_TREE_LEMONTREE,TID_TREE_LEMONTREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,670,sc/icons.sc,tool_collect_eggs,,,,,TRUE,,Buy
,blueberry_bush_stage_2,,,,,,0,3,,0,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,0,4,,0,,,,,,,,,,,,,,,,
PeachTree,peach_tree_stage_1,TRUE,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,1,0,2,4,0,Saw,TID_TREE_PEACHTREE,TID_TREE_PEACHTREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,750,sc/icons.sc,tool_collect_eggs,,,,,TRUE,,Buy
,blueberry_bush_stage_2,,,,,,0,3,,0,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,0,4,,0,,,,,,,,,,,,,,,,
OrangeTree,orange_tree_stage_1,TRUE,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,1,0,2,4,0,Saw,TID_TREE_ORANGETREE,TID_TREE_ORANGETREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,720,sc/icons.sc,tool_collect_eggs,,,,,TRUE,,Buy
,blueberry_bush_stage_2,,,,,,0,3,,0,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,0,4,,0,,,,,,,,,,,,,,,,
BananaTree,blueberry_bush_stage_1,TRUE,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,1,0,2,4,0,Saw,TID_TREE_BANANATREE,TID_TREE_BANANATREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,800,sc/icons.sc,tool_collect_eggs,,,,,TRUE,,Buy
,blueberry_bush_stage_2,,,,,,0,3,,0,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,0,4,,0,,,,,,,,,,,,,,,,
PlumTree,plum_tree_stage_1,TRUE,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,1,0,2,4,0,Saw,TID_PLUMTREE,TID_TREE_PLUMTREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,600,sc/icons.sc,tool_collect_eggs,,,,,TRUE,,Buy
,blueberry_bush_stage_2,,,,,,0,3,,0,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,0,4,,0,,,,,,,,,,,,,,,,
MangoTree,blueberry_bush_stage_1,TRUE,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,1,0,2,4,0,Saw,TID_MANGOTREE,TID_TREE_MANGOTREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,770,sc/icons.sc,tool_collect_eggs,,,,,TRUE,,Buy
,blueberry_bush_stage_2,,,,,,0,3,,0,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,0,4,,0,,,,,,,,,,,,,,,,
CoconutTree,blueberry_bush_stage_1,TRUE,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,1,0,2,4,0,Saw,TID_COCONUTTREE,TID_TREE_COCONUTTREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,810,sc/icons.sc,tool_collect_eggs,,,,,TRUE,,Buy
