Name,ToolIconFileName,ToolIconExportName,TID,ProcessingBuilding,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,UnlockLevel,DescriptionTID,Difficulty,PendingRelease,OrderValueV2
String,String,String,String,String,int,String,int,int,int,int,int,int,int,int,int,string,int,Boolean,int
Hot Dog,sc/icons.sc,recipe_hotdog,TID_PRODUCT_HOTDOG,Hotdog_Stand,1,Bread,0,191,184,44,0,1,69,72,75,TID_HOTDOG_STAND_PRODUCT_DESCRIPTION,72,,69
,,,,,2,Bacon,,,,,,,,,,,,,
,,,,,1,Tomato Sauce,,,,,,,,,,,,,
Tofu Dog,sc/icons.sc,recipe_tofudog,TID_PRODUCT_TOFUDOG,Hotdog_Stand,3,Lettuce,0,189,182,44,0,1,68,68,76,TID_HOTDOG_STAND_PRODUCT_DESCRIPTION,71,,68
,,,,,6,Soybean,,,,,,,,,,,,,
,,,,,4,Tomato,,,,,,,,,,,,,
Corn Dog,sc/icons.sc,recipe_corndog,TID_PRODUCT_CORNDOG,Hotdog_Stand,4,Bacon,0,273,262,63,0,1,102,102,78,TID_HOTDOG_STAND_PRODUCT_DESCRIPTION,106,,102
,,,,,4,Corn,,,,,,,,,,,,,
,,,,,1,OliveOil,,,,,,,,,,,,,
Onion Dog,sc/icons.sc,recipe_oniondog,TID_PRODUCT_ONIONDOG,Hotdog_Stand,1,Bread,0,157,151,36,0,1,59,59,80,TID_HOTDOG_STAND_PRODUCT_DESCRIPTION,63,,59
,,,,,2,Bacon,,,,,,,,,,,,,
,,,,,3,Onion,,,,,,,,,,,,,
,,,,,1,Chili,,,,,,,,,,,,,
