Name,ToolIconFileName,ToolIconExportName,TID,ProcessingBuilding,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,UnlockLevel,DescriptionTID,Difficulty,OrderValueV2
String,String,String,String,String,int,String,int,int,int,int,int,int,int,int,int,string,int,int
Sweater,sc/icons.sc,recipe_sweater,TID_SWEATER,Loom,2,Wool,0,77,74,18,0,1,27,27,17,TID_LOOM_PRODUCT_DESCRIPTION,32,27
Blue Woolly Hat,sc/icons.sc,recipe_blue_woolly_hat,TID_BLUE_WOOLLY_HAT,Loom,1,Wool,0,57,55,13,0,1,20,20,19,TID_LOOM_PRODUCT_DESCRIPTION,24,20
,,,,,1,Indigo,,,,,,,,,,,,
Blue Sweater,sc/icons.sc,recipe_blue_sweater,TID_BLUE_SWEATER,Loom,2,Wool,0,108,104,25,0,1,38,38,20,TID_LOOM_PRODUCT_DESCRIPTION,44,38
,,,,,2,Indigo,,,,,,,,,,,,
Red Scarf,sc/icons.sc,recipe_redscarf,TID_RED_SCARF,Loom,2,Wool,0,148,143,34,0,1,54,54,48,TID_LOOM_PRODUCT_DESCRIPTION,39,54
,,,,,2,Strawberry,,,,,,,,,,,,
Cotton Fabrics,sc/icons.sc,recipe_cotton_sheet,TID_PRODUCT_COTTON_FABRICS,Loom,3,Cotton,0,55,53,13,0,1,21,21,18,TID_LOOM_PRODUCT_DESCRIPTION,24,21
Flower Shawl,sc/icons.sc,recipe_shawl,TID_PRODUCT_FLOWERSHAWL,Loom,2,Wool,0,151,146,35,0,1,58,58,71,TID_LOOM_PRODUCT_DESCRIPTION,63,58
,,,,,1,Blackberry,,,,,,,,,,,,
,,,,,3,Sunflower,,,,,,,,,,,,
