Name,FileName,ExportName,RequiredLevel,CheckForRealMoneySpent,SkipVideo,SkipVideoSpenders,FirstRewardIsDiamondProbability,FirstRewardIsDiamondProbabilitySpenders,FinishedDiamondReward,DailyAdsCount,DailyAdsCountSpenders,CycleDurationMinutes,CycleDurationMinutesSpenders,MoviesPerCycle,MoviesPerCycleSpenders,OnlyInHighMemoryDevices,EnableInAndroid,Rewards,RewardAmounts,Probabilities,RewardsForced,RewardsForcedAmount,RewardsSpenders,RewardAmountsSpenders,ProbabilitiesSpenders,RewardsForcedSpenders,RewardsForcedAmountSpenders,Deprecated,TimeCut,TimeCutDiamondAmout,TimeCutTreshold,TimeCutPercent,OnlyInHome,Notification
String,String,String,int,boolean,boolean,boolean,int,int,int,int,int,int,int,int,int,boolean,boolean,String,int,int,String,int,String,int,int,String,int,boolean,int,int,int,int,boolean,String
MovieTickets,sc/buildings_new.sc,movie_ticket,11,,TRUE,TRUE,0,0,1,4,4,,,,,,TRUE,FreeDiamonds,1,9,,,FreeDiamonds,1,9,,,,,,,,,
,,,,,TRUE,,,,,,,,,,,,,Axe,2,12,,,Axe,2,12,,,,,,,,,
,,,,,TRUE,,,,,,,,,,,,,Saw,2,12,,,Saw,2,12,,,,,,,,,
,,,,,TRUE,,,,,,,,,,,,,Shovel,2,12,,,Shovel,2,12,,,,,,,,,
,,,,,TRUE,,,,,,,,,,,,,Dynamite,2,12,,,Dynamite,2,12,,,,,,,,,
,,,,,TRUE,,,,,,,,,,,,,Demolition Charge,2,12,,,Demolition Charge,2,12,,,,,,,,,
,,,,,TRUE,,,,,,,,,,,,,Pickaxe,2,12,,,Pickaxe,2,12,,,,,,,,,
,,,,,TRUE,,,,,,,,,,,,,Plank,1,12,,,Plank,1,12,,,,,,,,,
,,,,,,,,,,,,,,,,,,Nail,1,12,,,Nail,1,12,,,,,,,,,
,,,,,,,,,,,,,,,,,,Bolt,1,12,,,Bolt,1,12,,,,,,,,,
,,,,,,,,,,,,,,,,,,Screw,1,12,,,Screw,1,12,,,,,,,,,
,,,,,,,,,,,,,,,,,,Duct Tape,1,12,,,Duct Tape,1,12,,,,,,,,,
,,,,,,,,,,,,,,,,,,Wood Panel,1,12,,,Wood Panel,1,12,,,,,,,,,
,,,,,,,,,,,,,,,,,,Plank,2,6,,,Plank,2,6,,,,,,,,,
,,,,,,,,,,,,,,,,,,Nail,2,6,,,Nail,2,6,,,,,,,,,
,,,,,,,,,,,,,,,,,,Bolt,2,6,,,Bolt,2,6,,,,,,,,,
,,,,,,,,,,,,,,,,,,Screw,2,6,,,Screw,2,6,,,,,,,,,
,,,,,,,,,,,,,,,,,,Duct Tape,2,6,,,Duct Tape,2,6,,,,,,,,,
,,,,,,,,,,,,,,,,,,Wood Panel,2,6,,,Wood Panel,2,6,,,,,,,,,
,,,,,,,,,,,,,,,,,,Land Deed,1,6,,,Land Deed,1,6,,,,,,,,,
,,,,,,,,,,,,,,,,,,Mallet,1,6,,,Mallet,1,6,,,,,,,,,
,,,,,,,,,,,,,,,,,,Marker Stake,1,6,,,Marker Stake,1,6,,,,,,,,,
,,,,,,,,,,,,,,,,,,Hammer,1,3,,,Hammer,1,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,Hand Drill,1,3,,,Hand Drill,1,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,Paint Bucket,1,3,,,Paint Bucket,1,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,Stone Block,1,3,,,Stone Block,1,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,Brick,1,3,,,Brick,1,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,Tar Bucket,1,3,,,Tar Bucket,1,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,Map Piece,1,3,,,Map Piece,1,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,Voucher1,1,9,,,Voucher1,1,9,,,,,,,,,
,,,,,,,,,,,,,,,,,,Voucher2,1,6,,,Voucher2,1,6,,,,,,,,,
,,,,,,,,,,,,,,,,,,Voucher3,1,2,,,Voucher3,1,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,Voucher4,1,1,,,Voucher4,1,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,Train Stop,1,2,,,Train Stop,1,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,Potted fence,2,2,,,Potted fence,2,2,,,,,,,,,
