Name,FriendshipTrackName,LevelNumber,PointsRequired,Reward,RewardCount,GiftRequired,GiftRequiredCount
String,String,int,int,String,int,String,int
mike_lvl1,mike_track,1,0,,,,
mike_lvl2,mike_track,2,10,FreeCash,20,,
mike_lvl3,mike_track,3,15,FreeCash,30,Wheat,20
,,,,Box_Barn_1Star,1,,
mike_lvl4,mike_track,4,20,FreeCash,40,,
mike_lvl5,mike_track,5,25,FreeCash,50,,
mike_lvl6,mike_track,6,30,FreeCash,60,Corn,20
,,,,Box_Barn_2Star,1,,
mike_lvl7,mike_track,7,35,FreeCash,70,,
mike_lvl8,mike_track,8,40,FreeCash,80,,
mike_lvl9,mike_track,9,45,FreeCash,90,Soybean,20
,,,,Box_Barn_3Star,1,,
mike_lvl10,mike_track,10,50,FreeCash,100,,
joan_lvl1,joan_track,1,0,,,,
joan_lvl2,joan_track,2,10,FreeCash,20,,
joan_lvl3,joan_track,3,15,FreeCash,30,Sugarcane,20
,,,,Box_Barn_1Star,1,,
joan_lvl4,joan_track,4,20,FreeCash,40,,
joan_lvl5,joan_track,5,25,FreeCash,50,,
joan_lvl6,joan_track,6,30,FreeCash,60,Carrot,20
,,,,Box_Barn_2Star,1,,
joan_lvl7,joan_track,7,35,FreeCash,70,,
joan_lvl8,joan_track,8,40,FreeCash,80,,
joan_lvl9,joan_track,9,45,FreeCash,90,Indigo,20
,,,,Box_Barn_3Star,1,,
joan_lvl10,joan_track,10,50,FreeCash,100,,
greg_lvl1,greg_track,1,0,,,,
greg_lvl2,greg_track,2,10,FreeCash,20,,
greg_lvl3,greg_track,3,15,FreeCash,30,Pumpkin,20
,,,,Box_Barn_1Star,1,,
greg_lvl4,greg_track,4,20,FreeCash,40,,
greg_lvl5,greg_track,5,25,FreeCash,50,,
greg_lvl6,greg_track,6,30,FreeCash,60,Cotton,20
,,,,Box_Barn_2Star,1,,
greg_lvl7,greg_track,7,35,FreeCash,70,,
greg_lvl8,greg_track,8,40,FreeCash,80,,
greg_lvl9,greg_track,9,45,FreeCash,90,Chili,20
,,,,Box_Barn_3Star,1,,
greg_lvl10,greg_track,10,50,FreeCash,100,,
betty_lvl1,betty_track,1,0,,,,
betty_lvl2,betty_track,2,10,FreeCash,20,,
betty_lvl3,betty_track,3,15,FreeCash,30,Tomato,20
,,,,Box_Barn_1Star,1,,
betty_lvl4,betty_track,4,20,FreeCash,40,,
betty_lvl5,betty_track,5,25,FreeCash,50,,
betty_lvl6,betty_track,6,30,FreeCash,60,Strawberry,20
,,,,Box_Barn_2Star,1,,
betty_lvl7,betty_track,7,35,FreeCash,70,,
betty_lvl8,betty_track,8,40,FreeCash,80,,
betty_lvl9,betty_track,9,45,FreeCash,90,Potato,20
,,,,Box_Barn_3Star,1,,
betty_lvl10,betty_track,10,50,FreeCash,100,,
girl_lvl1,girl_track,1,0,,,,
girl_lvl2,girl_track,2,10,FreeCash,20,,
girl_lvl3,girl_track,3,15,FreeCash,30,Pineapple,20
,,,,Box_Barn_1Star,1,,
girl_lvl4,girl_track,4,20,FreeCash,40,,
girl_lvl5,girl_track,5,25,FreeCash,50,,
girl_lvl6,girl_track,6,30,FreeCash,60,Rice,20
,,,,Box_Barn_2Star,1,,
girl_lvl7,girl_track,7,35,FreeCash,70,,
girl_lvl8,girl_track,8,40,FreeCash,80,,
girl_lvl9,girl_track,9,45,FreeCash,90,Lettuce,20
,,,,Box_Barn_3Star,1,,
girl_lvl10,girl_track,10,50,FreeCash,100,,
mavis_lvl1,mavis_track,1,0,,,,
mavis_lvl2,mavis_track,2,10,FreeCash,20,,
mavis_lvl3,mavis_track,3,15,FreeCash,30,Sunflower,20
,,,,Box_Barn_1Star,1,,
mavis_lvl4,mavis_track,4,20,FreeCash,40,,
mavis_lvl5,mavis_track,5,25,FreeCash,50,,
mavis_lvl6,mavis_track,6,30,FreeCash,60,Onion,20
,,,,Box_Barn_2Star,1,,
mavis_lvl7,mavis_track,7,35,FreeCash,70,,
mavis_lvl8,mavis_track,8,40,FreeCash,80,,
mavis_lvl9,mavis_track,9,45,FreeCash,90,Cucumber,20
,,,,Box_Barn_3Star,1,,
mavis_lvl10,mavis_track,10,50,FreeCash,100,,
