Name,Disabled,Archetype,People,Treasured,MinFriendshipLevel,QuestSequence,Chance,IntroTIDs,IntroTIDChances,QuestTIDs,QuestTIDChances,OutroTIDs,OutroTIDChances,ProductCount,Whitelist,Blacklist,AddReward1,AddRewardAmount1,AddReward2,AddRewardAmount2,AddReward3,AddRewardAmount3,ReqOtherFriendPeople,ReqOtherFriendMinLevel,EssentialStoryQuest
String,boolean,String,String,int,String,int,int,String,int,String,int,String,int,int,String,String,String,int,String,int,String,int,String,String,boolean
DC_ANY_1,,DC,any,,,,5,,,TID_PEOPLE_QUEST_DC_ANY_1_QUEST_1,50,TID_PEOPLE_QUEST_DC_ANY_1_OUTRO_1,,3,PG_EarlyFarmHarvest,,,,,,,,,,
,,,,,,,,,,TID_PEOPLE_QUEST_DC_ANY_1_QUEST_2,50,,,,,,,,,,,,,,
DC_ANY_2,,DC,any,,,,5,,,TID_PEOPLE_QUEST_DC_ANY_2_QUEST_1,50,TID_PEOPLE_QUEST_DC_ANY_2_OUTRO_1,,4,PG_EarlyOvenBakes,,,,,,,,,,
,,,,,,,,,,TID_PEOPLE_QUEST_DC_ANY_2_QUEST_2,50,,,,,,,,,,,,,,
DC_ANY_3,,DC,any,,,,5,,,TID_PEOPLE_QUEST_DC_ANY_3_QUEST_1,50,TID_PEOPLE_QUEST_DC_ANY_3_OUTRO_1,,5,PG_EarlyHomeCooking,,,,,,,,,,
,,,,,,,,,,TID_PEOPLE_QUEST_DC_ANY_3_QUEST_2,50,,,,,,,,,,,,,,
DC_ANY_4,,DC,any,,,,5,,,TID_PEOPLE_QUEST_DC_ANY_4_QUEST_1,50,TID_PEOPLE_QUEST_DC_ANY_4_OUTRO_1,,5,PG_EarlyBarnyardLife,,,,,,,,,,
,,,,,,,,,,TID_PEOPLE_QUEST_DC_ANY_4_QUEST_2,50,,,,,,,,,,,,,,
DC_ANY_5,,DC,any,,,,5,,,TID_PEOPLE_QUEST_DC_ANY_5_QUEST_1,50,TID_PEOPLE_QUEST_DC_ANY_5_OUTRO_1,,5,PG_GeneralStore,,,,,,,,,,
,,,,,,,,,,TID_PEOPLE_QUEST_DC_ANY_5_QUEST_2,50,,,,,,,,,,,,,,
DC_ANY_6,,DC,any,,,,5,,,TID_PEOPLE_QUEST_DC_ANY_6_QUEST_1,50,TID_PEOPLE_QUEST_DC_ANY_6_OUTRO_1,,3,PG_FarmProduce,,,,,,,,,,
,,,,,,,,,,TID_PEOPLE_QUEST_DC_ANY_6_QUEST_2,50,,,,,,,,,,,,,,
DC_ANY_7,,DC,any,,,,5,,,TID_PEOPLE_QUEST_DC_ANY_7_QUEST_1,50,TID_PEOPLE_QUEST_DC_ANY_7_OUTRO_1,,3,PG_BigBreakfast,,,,,,,,,,
,,,,,,,,,,TID_PEOPLE_QUEST_DC_ANY_7_QUEST_2,50,,,,,,,,,,,,,,
DC_GREG_1,,DC,Greg,,,,10,,,TID_PEOPLE_QUEST_DC_GREG_1_QUEST_1,,TID_PEOPLE_QUEST_DC_GREG_1_OUTRO_1,,5,PG_FishingTripWarm,,,,,,,,,,
DC_GREG_2,,DC,Greg,,,,20,,,TID_PEOPLE_QUEST_DC_GREG_2_QUEST_1,,TID_PEOPLE_QUEST_DC_GREG_2_OUTRO_1,,5,PG_Seafood,,,,,,,,,,
DC_GREG_3,,DC,Greg,,,,30,,,TID_PEOPLE_QUEST_DC_GREG_3_QUEST_1,,TID_PEOPLE_QUEST_DC_GREG_3_OUTRO_1,,5,PG_CoffeeHouse,,,,,,,,,,
DC_GREG_4,,DC,Greg,,,,40,,,TID_PEOPLE_QUEST_DC_GREG_4_QUEST_1,,TID_PEOPLE_QUEST_DC_GREG_4_OUTRO_1,,4,PG_Orchard,,,,,,,,,,
DC_GREG_5,,DC,Greg,,,,50,,,TID_PEOPLE_QUEST_DC_GREG_5_QUEST_1,,TID_PEOPLE_QUEST_DC_GREG_5_OUTRO_1,,5,PG_CanningDay,,,,,,,,,,
DC_TILLY_1,,DC,Girl,,,,20,,,TID_PEOPLE_QUEST_DC_TILLY_1_QUEST_1,,TID_PEOPLE_QUEST_DC_TILLY_1_OUTRO_1,,2,PG_MineExpedition,,,,,,,,,,
DC_TILLY_2,,DC,Girl,,,,10,,,TID_PEOPLE_QUEST_DC_TILLY_2_QUEST_1,,TID_PEOPLE_QUEST_DC_TILLY_2_OUTRO_1,,5,PG_Carnival,,,,,,,,,,
DC_TILLY_3,,DC,Girl,,,,40,,,TID_PEOPLE_QUEST_DC_TILLY_3_QUEST_1,,TID_PEOPLE_QUEST_DC_TILLY_3_OUTRO_1,,4,PG_MovieNight,,,,,,,,,,
DC_TILLY_4,,DC,Girl,,,,30,,,TID_PEOPLE_QUEST_DC_TILLY_4_QUEST_1,,TID_PEOPLE_QUEST_DC_TILLY_4_OUTRO_1,,5,PG_Confectionery,,,,,,,,,,
DC_TILLY_5,,DC,Girl,,,,50,,,TID_PEOPLE_QUEST_DC_TILLY_5_QUEST_1,,TID_PEOPLE_QUEST_DC_TILLY_5_OUTRO_1,,4,PG_SnacksAndBites,,,,,,,,,,
DC_MIKE_1,,DC,Mike,,,,10,,,TID_PEOPLE_QUEST_DC_MIKE_1_QUEST_1,,TID_PEOPLE_QUEST_DC_MIKE_1_OUTRO_1,,3,PG_FarmTools,,,,,,,,,,
DC_MIKE_2,,DC,Mike,,,,20,,,TID_PEOPLE_QUEST_DC_MIKE_2_QUEST_1,,TID_PEOPLE_QUEST_DC_MIKE_2_OUTRO_1,,3,PG_TownSupplies,,,,,,,,,,
DC_MIKE_3,,DC,Mike,,,,50,,,TID_PEOPLE_QUEST_DC_MIKE_3_QUEST_1,,TID_PEOPLE_QUEST_DC_MIKE_3_OUTRO_1,,5,PG_Jewelry,,,,,,,,,,
DC_MIKE_4,,DC,Mike,,,,40,,,TID_PEOPLE_QUEST_DC_MIKE_4_QUEST_1,,TID_PEOPLE_QUEST_DC_MIKE_4_OUTRO_1,,3,PG_PotteryAndCrafts,,,,,,,,,,
DC_MIKE_5,,DC,Mike,,,,30,,,TID_PEOPLE_QUEST_DC_MIKE_5_QUEST_1,,TID_PEOPLE_QUEST_DC_MIKE_5_OUTRO_1,,3,PG_Textiles,,,,,,,,,,
DC_MARY_1,,DC,Betty,,,,20,,,TID_PEOPLE_QUEST_DC_MARY_1_QUEST_1,,TID_PEOPLE_QUEST_DC_MARY_1_OUTRO_1,,4,PG_Flowers,,,,,,,,,,
DC_MARY_2,,DC,Betty,,,,10,,,TID_PEOPLE_QUEST_DC_MARY_2_QUEST_1,,TID_PEOPLE_QUEST_DC_MARY_2_OUTRO_1,,3,PG_BakeSale,,,,,,,,,,
DC_MARY_3,,DC,Betty,,,,50,,,TID_PEOPLE_QUEST_DC_MARY_3_QUEST_1,,TID_PEOPLE_QUEST_DC_MARY_3_OUTRO_1,,4,PG_AfternoonTea,,,,,,,,,,
DC_MARY_4,,DC,Betty,,,,40,,,TID_PEOPLE_QUEST_DC_MARY_4_QUEST_1,,TID_PEOPLE_QUEST_DC_MARY_4_OUTRO_1,,3,PG_BerryPatch,,,,,,,,,,
