Name,ShopIconFileName,ShopIconExportName,ShopIconAnimScale,ShopIconClipped,UnlockLevel,TimeMin,TimeSec,Slots,Price,PriceIncrease,DoPriceIncreaseEveryNObject,MaxHabitatsColumnName,FileName,ExportName,ExportNameMastered,TileWidth,TileHeight,ExpToBuild,InstantComplete,TID,DescriptionTID,TapSound,TapProcessingSound,CollectSound,BuySound,RandomSounds,BuildingMasteryHours,BuildingMasteryBonusPercent,BuildingMasteryBonusType,BuildingMasteryStarDiamondPrice,BuildingMasteryWorkbenchMigrationLevel,BuildingMasteryEnabled,PendingRelease,SeasonalObject,Deprecated
String,String,String,int,boolean,int,int,int,int,int,int,int,String,String,String,String,int,int,int,int,String,String,String,String,String,String,String,int,int,String,int,int,Boolean,Boolean,Boolean,Boolean
Bakery,,,,,2,,1,2,20,,,,sc/buildings_new.sc,bakery_01,bakery_01_mastered,3,3,3,0,TID_BAKERY,TID_BAKERY_DESCRIPTION,BakeryTap,SelectBakeryInProgress,Collect,Buy,,35,10,Coin,520,1,TRUE,,,
,,,,,,,,,6,,,,,bakery_02,bakery_02_mastered,,,,,,,,,,,,175,10,Exp,1182,3,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,735,-15,SpeedUp,2562,4,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Hammermill,,,,,3,,1,3,5,3195,1,MaxHammermills,sc/buildings_new.sc,foodblender_01,foodblender_01_mastered,3,3,4,0,TID_FEED_MILL,TID_HAMMERMILL_DESCRIPTION,HammermillTap,HammerMillTapProcessing,Collect,Buy,,120,-5,SpeedUp,372,1,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,960,-10,SpeedUp,1370,2,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,6840,-15,SpeedUp,5000,3,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Popcorn_Pot,,,120,,8,0,,2,100,,,,sc/buildings_new.sc,popcorn_pot_01,popcorn_pot_01_mastered,3,3,14,0,TID_POPCORN_POT,TID_POPCORN_POT_DESCRIPTION,PopcornPotTap,PopcornPotTapProcessing,Collect,Buy,,50,10,Coin,590,1,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,200,10,Exp,1212,3,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,650,-15,SpeedUp,2373,4,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Dairy,,,115,,6,,1,2,50,,,,sc/buildings_new.sc,dairy_01,dairy_01_mastered,4,4,8,0,TID_DAIRY,TID_DAIRY_DESCRIPTION,DairyTap,DairyTapProcessing,Collect,Buy,,40,10,Coin,545,1,TRUE,,,
,,,,,,,,,6,,,,,dairy_02,dairy_02_mastered,,,,,,,,,,,,160,10,Exp,1122,3,,,,
