Name,FileName,ExportName,TileWidth,TileHeight,Capacity,UpgradeRequirement,ShopIconFileName,ShopIconExportName,BrokenPartCount,BrokenExportName,EffectFileName,EffectExportName,CollectionTool1,CollectionTool2,CollectionTool3,TapSound,CollectSound,FullIconExportName,TID
String,String,String,int,int,int,int,String,String,int,String,String,String,String,String,String,String,String,String,String
Silo,sc/buildings_new.sc,silo_01,2,2,50,1,sc/icons.sc,shop_icon_silo,4,silo_01_broken,sc/effects.sc,repairsmoke_01_edit_for_silo,Nail,Screw,Wood Panel,MenuBleep,CoinXpExplosion,popup_silo_full,TID_SILO
,,silo_02,,,75,1,,,,,,,,,,,,,
,,silo_02,,,100,1,,,,,,,,,,,,,
,,silo_02,,,125,1,,,,,,,,,,,,,
,,silo_03,,,150,1,,,,,,,,,,,,,
,,silo_03,,,175,1,,,,,,,,,,,,,
,,silo_03,,,200,1,,,,,,,,,,,,,
,,silo_03,,,225,1,,,,,,,,,,,,,
,,silo_03,,,250,1,,,,,,,,,,,,,
,,silo_03,,,275,1,,,,,,,,,,,,,
,,silo_04,,,300,1,,,,,,,,,,,,,
,,silo_04,,,325,1,,,,,,,,,,,,,
,,silo_04,,,350,1,,,,,,,,,,,,,
,,silo_04,,,375,1,,,,,,,,,,,,,
,,silo_04,,,400,1,,,,,,,,,,,,,
,,silo_04,,,425,1,,,,,,,,,,,,,
,,silo_04,,,450,1,,,,,,,,,,,,,
,,silo_04,,,475,1,,,,,,,,,,,,,
,,silo_04,,,500,1,,,,,,,,,,,,,
,,silo_04,,,525,1,,,,,,,,,,,,,
,,silo_04,,,550,1,,,,,,,,,,,,,
,,silo_04,,,575,1,,,,,,,,,,,,,
,,silo_04,,,600,1,,,,,,,,,,,,,
,,silo_04,,,625,1,,,,,,,,,,,,,
,,silo_04,,,650,1,,,,,,,,,,,,,
,,silo_04,,,675,1,,,,,,,,,,,,,
,,silo_04,,,700,1,,,,,,,,,,,,,
,,silo_04,,,725,1,,,,,,,,,,,,,
,,silo_04,,,750,1,,,,,,,,,,,,,
,,silo_04,,,775,1,,,,,,,,,,,,,
,,silo_04,,,800,1,,,,,,,,,,,,,
,,silo_04,,,825,1,,,,,,,,,,,,,
,,silo_04,,,850,1,,,,,,,,,,,,,
,,silo_04,,,875,1,,,,,,,,,,,,,
,,silo_04,,,900,1,,,,,,,,,,,,,
,,silo_04,,,925,1,,,,,,,,,,,,,
,,silo_04,,,950,1,,,,,,,,,,,,,
,,silo_04,,,975,1,,,,,,,,,,,,,
,,silo_04,,,1000,1,,,,,,,,,,,,,
,,silo_04,,,1050,1,,,,,,,,,,,,,
,,silo_04,,,1100,1,,,,,,,,,,,,,
,,silo_04,,,1150,1,,,,,,,,,,,,,
,,silo_04,,,1200,1,,,,,,,,,,,,,
,,silo_04,,,1250,1,,,,,,,,,,,,,
,,silo_04,,,1300,1,,,,,,,,,,,,,
,,silo_04,,,1350,1,,,,,,,,,,,,,
,,silo_04,,,1400,1,,,,,,,,,,,,,
,,silo_04,,,1450,1,,,,,,,,,,,,,
,,silo_04,,,1500,1,,,,,,,,,,,,,
,,silo_04,,,1550,1,,,,,,,,,,,,,
,,silo_04,,,1600,1,,,,,,,,,,,,,
,,silo_04,,,1650,1,,,,,,,,,,,,,
,,silo_04,,,1700,1,,,,,,,,,,,,,
,,silo_04,,,1750,1,,,,,,,,,,,,,
,,silo_04,,,1800,1,,,,,,,,,,,,,
,,silo_04,,,1850,1,,,,,,,,,,,,,
,,silo_04,,,1900,1,,,,,,,,,,,,,
,,silo_04,,,1950,1,,,,,,,,,,,,,
,,silo_04,,,2000,1,,,,,,,,,,,,,
,,silo_04,,,2050,1,,,,,,,,,,,,,
,,silo_04,,,2100,1,,,,,,,,,,,,,
,,silo_04,,,2150,1,,,,,,,,,,,,,
,,silo_04,,,2200,1,,,,,,,,,,,,,
,,silo_04,,,2250,1,,,,,,,,,,,,,
,,silo_04,,,2300,1,,,,,,,,,,,,,
,,silo_04,,,2350,1,,,,,,,,,,,,,
,,silo_04,,,2400,1,,,,,,,,,,,,,
,,silo_04,,,2450,1,,,,,,,,,,,,,
,,silo_04,,,2500,1,,,,,,,,,,,,,
,,silo_04,,,2550,1,,,,,,,,,,,,,
,,silo_04,,,2600,1,,,,,,,,,,,,,
,,silo_04,,,2650,1,,,,,,,,,,,,,
,,silo_04,,,2700,1,,,,,,,,,,,,,
,,silo_04,,,2750,1,,,,,,,,,,,,,
,,silo_04,,,2800,1,,,,,,,,,,,,,
,,silo_04,,,2850,1,,,,,,,,,,,,,
,,silo_04,,,2900,1,,,,,,,,,,,,,
,,silo_04,,,2950,1,,,,,,,,,,,,,
,,silo_04,,,3000,1,,,,,,,,,,,,,
,,silo_04,,,3050,1,,,,,,,,,,,,,
,,silo_04,,,3100,1,,,,,,,,,,,,,
,,silo_04,,,3150,1,,,,,,,,,,,,,
,,silo_04,,,3200,1,,,,,,,,,,,,,
,,silo_04,,,3250,1,,,,,,,,,,,,,
,,silo_04,,,3300,1,,,,,,,,,,,,,
,,silo_04,,,3350,1,,,,,,,,,,,,,
,,silo_04,,,3400,1,,,,,,,,,,,,,
,,silo_04,,,3450,1,,,,,,,,,,,,,
,,silo_04,,,3500,1,,,,,,,,,,,,,
,,silo_04,,,3550,1,,,,,,,,,,,,,
,,silo_04,,,3600,1,,,,,,,,,,,,,
,,silo_04,,,3650,1,,,,,,,,,,,,,
,,silo_04,,,3700,1,,,,,,,,,,,,,
,,silo_04,,,3750,1,,,,,,,,,,,,,
,,silo_04,,,3800,1,,,,,,,,,,,,,
,,silo_04,,,3850,1,,,,,,,,,,,,,
,,silo_04,,,3900,1,,,,,,,,,,,,,
,,silo_04,,,3950,1,,,,,,,,,,,,,
,,silo_04,,,4000,1,,,,,,,,,,,,,
,,silo_04,,,4050,1,,,,,,,,,,,,,
,,silo_04,,,4100,1,,,,,,,,,,,,,
,,silo_04,,,4150,1,,,,,,,,,,,,,
,,silo_04,,,4200,1,,,,,,,,,,,,,
,,silo_04,,,4250,1,,,,,,,,,,,,,
,,silo_04,,,4300,1,,,,,,,,,,,,,
,,silo_04,,,4350,1,,,,,,,,,,,,,
,,silo_04,,,4400,1,,,,,,,,,,,,,
,,silo_04,,,4450,1,,,,,,,,,,,,,
,,silo_04,,,4500,1,,,,,,,,,,,,,
,,silo_04,,,4550,1,,,,,,,,,,,,,
,,silo_04,,,4600,1,,,,,,,,,,,,,
,,silo_04,,,4650,1,,,,,,,,,,,,,
,,silo_04,,,4700,1,,,,,,,,,,,,,
,,silo_04,,,4750,1,,,,,,,,,,,,,
,,silo_04,,,4800,1,,,,,,,,,,,,,
,,silo_04,,,4850,1,,,,,,,,,,,,,
,,silo_04,,,4900,1,,,,,,,,,,,,,
,,silo_04,,,4950,1,,,,,,,,,,,,,
,,silo_04,,,5000,1,,,,,,,,,,,,,
,,silo_04,,,5050,1,,,,,,,,,,,,,
,,silo_04,,,5100,1,,,,,,,,,,,,,
,,silo_04,,,5150,1,,,,,,,,,,,,,
,,silo_04,,,5200,1,,,,,,,,,,,,,
,,silo_04,,,5250,1,,,,,,,,,,,,,
,,silo_04,,,5300,1,,,,,,,,,,,,,
,,silo_04,,,5350,1,,,,,,,,,,,,,
,,silo_04,,,5400,1,,,,,,,,,,,,,
,,silo_04,,,5450,1,,,,,,,,,,,,,
,,silo_04,,,5500,1,,,,,,,,,,,,,
,,silo_04,,,5550,1,,,,,,,,,,,,,
,,silo_04,,,5600,1,,,,,,,,,,,,,
,,silo_04,,,5650,1,,,,,,,,,,,,,
,,silo_04,,,5700,1,,,,,,,,,,,,,
,,silo_04,,,5750,1,,,,,,,,,,,,,
,,silo_04,,,5800,1,,,,,,,,,,,,,
,,silo_04,,,5850,1,,,,,,,,,,,,,
,,silo_04,,,5900,1,,,,,,,,,,,,,
,,silo_04,,,5950,1,,,,,,,,,,,,,
,,silo_04,,,6000,1,,,,,,,,,,,,,
,,silo_04,,,6050,1,,,,,,,,,,,,,
,,silo_04,,,6100,1,,,,,,,,,,,,,
,,silo_04,,,6150,1,,,,,,,,,,,,,
,,silo_04,,,6200,1,,,,,,,,,,,,,
,,silo_04,,,6250,1,,,,,,,,,,,,,
,,silo_04,,,6300,1,,,,,,,,,,,,,
,,silo_04,,,6350,1,,,,,,,,,,,,,
,,silo_04,,,6400,1,,,,,,,,,,,,,
,,silo_04,,,6450,1,,,,,,,,,,,,,
,,silo_04,,,6500,1,,,,,,,,,,,,,
,,silo_04,,,6550,1,,,,,,,,,,,,,
,,silo_04,,,6600,1,,,,,,,,,,,,,
,,silo_04,,,6650,1,,,,,,,,,,,,,
,,silo_04,,,6700,1,,,,,,,,,,,,,
,,silo_04,,,6750,1,,,,,,,,,,,,,
,,silo_04,,,6800,1,,,,,,,,,,,,,
,,silo_04,,,6850,1,,,,,,,,,,,,,
,,silo_04,,,6900,1,,,,,,,,,,,,,
,,silo_04,,,6950,1,,,,,,,,,,,,,
,,silo_04,,,7000,1,,,,,,,,,,,,,
,,silo_04,,,7050,1,,,,,,,,,,,,,
,,silo_04,,,7100,1,,,,,,,,,,,,,
,,silo_04,,,7150,1,,,,,,,,,,,,,
,,silo_04,,,7200,1,,,,,,,,,,,,,
,,silo_04,,,7250,1,,,,,,,,,,,,,
,,silo_04,,,7300,1,,,,,,,,,,,,,
,,silo_04,,,7350,1,,,,,,,,,,,,,
,,silo_04,,,7400,1,,,,,,,,,,,,,
,,silo_04,,,7450,1,,,,,,,,,,,,,
,,silo_04,,,7500,1,,,,,,,,,,,,,
,,silo_04,,,7550,1,,,,,,,,,,,,,
,,silo_04,,,7600,1,,,,,,,,,,,,,
,,silo_04,,,7650,1,,,,,,,,,,,,,
,,silo_04,,,7700,1,,,,,,,,,,,,,
,,silo_04,,,7750,1,,,,,,,,,,,,,
,,silo_04,,,7800,1,,,,,,,,,,,,,
,,silo_04,,,7850,1,,,,,,,,,,,,,
,,silo_04,,,7900,1,,,,,,,,,,,,,
,,silo_04,,,7950,1,,,,,,,,,,,,,
,,silo_04,,,8000,1,,,,,,,,,,,,,
,,silo_04,,,8050,1,,,,,,,,,,,,,
,,silo_04,,,8100,1,,,,,,,,,,,,,
,,silo_04,,,8150,1,,,,,,,,,,,,,
,,silo_04,,,8200,1,,,,,,,,,,,,,
,,silo_04,,,8250,1,,,,,,,,,,,,,
,,silo_04,,,8300,1,,,,,,,,,,,,,
,,silo_04,,,8350,1,,,,,,,,,,,,,
,,silo_04,,,8400,1,,,,,,,,,,,,,
,,silo_04,,,8450,1,,,,,,,,,,,,,
,,silo_04,,,8500,1,,,,,,,,,,,,,
,,silo_04,,,8550,1,,,,,,,,,,,,,
,,silo_04,,,8600,1,,,,,,,,,,,,,
,,silo_04,,,8650,1,,,,,,,,,,,,,
,,silo_04,,,8700,1,,,,,,,,,,,,,
,,silo_04,,,8750,1,,,,,,,,,,,,,
,,silo_04,,,8800,1,,,,,,,,,,,,,
,,silo_04,,,8850,1,,,,,,,,,,,,,
,,silo_04,,,8900,1,,,,,,,,,,,,,
,,silo_04,,,8950,1,,,,,,,,,,,,,
,,silo_04,,,9000,1,,,,,,,,,,,,,
,,silo_04,,,9050,1,,,,,,,,,,,,,
,,silo_04,,,9100,1,,,,,,,,,,,,,
,,silo_04,,,9150,1,,,,,,,,,,,,,
,,silo_04,,,9200,1,,,,,,,,,,,,,
,,silo_04,,,9250,1,,,,,,,,,,,,,
,,silo_04,,,9300,1,,,,,,,,,,,,,
,,silo_04,,,9350,1,,,,,,,,,,,,,
,,silo_04,,,9400,1,,,,,,,,,,,,,
,,silo_04,,,9450,1,,,,,,,,,,,,,
,,silo_04,,,9500,1,,,,,,,,,,,,,
,,silo_04,,,9550,1,,,,,,,,,,,,,
,,silo_04,,,9600,1,,,,,,,,,,,,,
,,silo_04,,,9650,1,,,,,,,,,,,,,
,,silo_04,,,9700,1,,,,,,,,,,,,,
,,silo_04,,,9750,1,,,,,,,,,,,,,
,,silo_04,,,9800,1,,,,,,,,,,,,,
,,silo_04,,,9850,1,,,,,,,,,,,,,
,,silo_04,,,9900,1,,,,,,,,,,,,,
,,silo_04,,,9950,1,,,,,,,,,,,,,
,,silo_04,,,10000,1,,,,,,,,,,,,,
,,silo_04,,,10050,1,,,,,,,,,,,,,
,,silo_04,,,10100,1,,,,,,,,,,,,,
,,silo_04,,,10150,1,,,,,,,,,,,,,
,,silo_04,,,10200,1,,,,,,,,,,,,,
,,silo_04,,,10250,1,,,,,,,,,,,,,
,,silo_04,,,10300,1,,,,,,,,,,,,,
,,silo_04,,,10350,1,,,,,,,,,,,,,
,,silo_04,,,10400,1,,,,,,,,,,,,,
,,silo_04,,,10450,1,,,,,,,,,,,,,
,,silo_04,,,10500,1,,,,,,,,,,,,,
,,silo_04,,,10550,1,,,,,,,,,,,,,
,,silo_04,,,10600,1,,,,,,,,,,,,,
,,silo_04,,,10650,1,,,,,,,,,,,,,
,,silo_04,,,10700,1,,,,,,,,,,,,,
,,silo_04,,,10750,1,,,,,,,,,,,,,
,,silo_04,,,10800,1,,,,,,,,,,,,,
,,silo_04,,,10850,1,,,,,,,,,,,,,
,,silo_04,,,10900,1,,,,,,,,,,,,,
,,silo_04,,,10950,1,,,,,,,,,,,,,
,,silo_04,,,11000,1,,,,,,,,,,,,,
,,silo_04,,,11050,1,,,,,,,,,,,,,
,,silo_04,,,11100,1,,,,,,,,,,,,,
,,silo_04,,,11150,1,,,,,,,,,,,,,
,,silo_04,,,11200,1,,,,,,,,,,,,,
,,silo_04,,,11250,1,,,,,,,,,,,,,
,,silo_04,,,11300,1,,,,,,,,,,,,,
,,silo_04,,,11350,1,,,,,,,,,,,,,
,,silo_04,,,11400,1,,,,,,,,,,,,,
,,silo_04,,,11450,1,,,,,,,,,,,,,
