Name,ToolIconFileName,ToolIconExportName,TID,ProcessingBuilding,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,UnlockLevel,DescriptionTID,Difficulty,PendingRelease,OrderValueV2
String,String,String,String,String,int,String,int,int,int,int,int,int,int,int,int,string,int,Boolean,int
GreenSmoothie,sc/icons.sc,recipe_green_smoothie,TID_PRODUCT_GREENSMOOTHIE,Smoothie_Mixer,5,Lettuce,0,166,160,38,0,1,63,63,66,TID_SMOOTHIEMIXER_PRODUCT_DESCRIPTION,66,,63
,,,,,1,Apple,,,,,,,,,,,,,
,,,,,1,Lemon,,,,,,,,,,,,,
BerrySmoothie,sc/icons.sc,recipe_berry_smoothie,TID_PRODUCT_BERRYSMOOTHIE,Smoothie_Mixer,3,Raspberry,0,283,272,65,0,1,109,109,64,TID_SMOOTHIEMIXER_PRODUCT_DESCRIPTION,113,,109
,,,,,3,Blackberry,,,,,,,,,,,,,
,,,,,3,Strawberry,,,,,,,,,,,,,
YogurtSmoothie,sc/icons.sc,recipe_yogurt_smoothie,TID_PRODUCT_YOGURTSMOOTHIE,Smoothie_Mixer,1,Cream,0,181,174,42,0,1,65,70,70,TID_SMOOTHIEMIXER_PRODUCT_DESCRIPTION,69,,65
,,,,,1,White Sugar,,,,,,,,,,,,,
,,,,,2,Raspberry,,,,,,,,,,,,,
,,,,,1,Cherry,,,,,,,,,,,,,
MixedSmoothie,sc/icons.sc,recipe_mixed_smoothie,TID_PRODUCT_MIXEDSMOOTHIE,Smoothie_Mixer,2,Peach,0,261,251,60,0,1,91,91,88,TID_SMOOTHIEMIXER_PRODUCT_DESCRIPTION,94,,91
,,,,,2,Orange,,,,,,,,,,,,,
,,,,,1,Lemon,,,,,,,,,,,,,
Cocoa smoothie,sc/icons.sc,recipe_cocoa_smoothie,TID_PRODUCT_COCOASMOOTHIE,Smoothie_Mixer,3,Cacao,0,263,253,61,0,1,91,91,100,TID_SMOOTHIEMIXER_PRODUCT_DESCRIPTION,94,,91
,,,,,2,Banana,,,,,,,,,,,,,
,,,,,1,Milk,,,,,,,,,,,,,
PlumSmoothie,sc/icons.sc,recipe_plum_smoothie,TID_PRODUCT_PLUMSMOOTHIE,Smoothie_Mixer,3,Plum,0,269,259,62,0,1,77,77,102,TID_SMOOTHIEMIXER_PRODUCT_DESCRIPTION,80,,77
,,,,,2,Grapes,,,,,,,,,,,,,
,,,,,1,Mint,,,,,,,,,,,,,
,,,,,1,Honey,,,,,,,,,,,,,
Cucumber Smoothie,sc/icons.sc,recipe_cucumber_smoothie,TID_PRODUCT_CUCUMBERSMOOTHIE,Smoothie_Mixer,3,Cucumber,0,138,133,32,0,1,29,29,70,TID_SMOOTHIEMIXER_PRODUCT_DESCRIPTION,32,,29
,,,,,3,Pineapple,,,,,,,,,,,,,
,,,,,1,Honey,,,,,,,,,,,,,
SesameSmoothie,sc/icons.sc,recipe_sesame_smoothie,TID_SESAME_SMOOTHIE,Smoothie_Mixer,3,Sesame,0,161,155,37,0,1,58,58,93,TID_SMOOTHIEMIXER_PRODUCT_DESCRIPTION,61,,58
,,,,,1,Banana,,,,,,,,,,,,,
,,,,,2,Goat Milk,,,,,,,,,,,,,
TropicalSmoothie,sc/icons.sc,recipe_tropical_smoothie,TID_TROPICAL_SMOOTHIE,Smoothie_Mixer,1,Coconut,0,246,237,57,0,1,83,83,104,TID_SMOOTHIEMIXER_PRODUCT_DESCRIPTION,86,,83
,,,,,2,Mango,,,,,,,,,,,,,
,,,,,2,PassionFruit,,,,,,,,,,,,,
,,,,,1,Banana,,,,,,,,,,,,,
