Name,UnlockLevel,FileName,ShopIconFileName,ShopIconExportName,ShopIconAnimScale,Feed,Good,Value,ProcessValue,Price,PriceIncrease,DoPriceIncreaseEveryNObject,StateIdleExportName,StateIdleMinMS,StateIdleMaxMS,StatePanicExportName,StatePanicMinMS,StatePanicMaxMS,StateMoveExportName,MovementSpeed,PanicMovementSpeed,StateHungryExportName,StateReadyExportName,HarvestExportName,TID,ShopDescriptionTID,ReadyNotificationName,TapSound,TapProcessingSound,CollectSound,BuySound,FeedSound,Passable,PendingRelease,SeasonalIconBaseExportName
String,int,String,String,String,int,string,string,int,int,int,int,int,String,int,int,String,int,int,String,int,int,String,String,String,String,String,String,String,String,String,String,String,Boolean,Boolean,String
Chicken,1,sc/animals.sc,,,120,Chicken Food,Egg,449,331,10,130,6,chicken01_idle01,3000,9000,chicken01_panic01,3000,10000,chicken01_walk01,50,100,chicken01_hungry01,chicken01_ready01,chicken01_harvest01,TID_CHICKEN,TID_ANIMAL_SHOP_DESCRIPTION,ChickenReady,TapChicken,TapChicken,Collect,Buy,FeedAnimal,TRUE,,accessory_seasonal_chicken
,,,,,,,,,,,,,chicken01_idle02,,,,,,chicken01_walk01,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,chicken01_panic01,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,chicken01_walk01,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,chicken01_walk01,,,,,,,,,,,,,,,,
Cow,6,sc/animals.sc,,,,Cow Food,Milk,772,514,50,550,5,cow01_idle01,4000,10000,cow01_panic01,4000,6000,cow01_walk01,65,0,cow01_hungry01,cow01_ready01,cow01_harvest01,TID_COW,TID_ANIMAL_SHOP_DESCRIPTION,CowReady,TapCow,TapCow,Collect,Buy,FeedAnimal,TRUE,,accessory_seasonal_cow
Sheep,16,sc/animals.sc,,,110,Sheep Food,Wool,1160,896,800,1500,5,sheep01_idle01,2000,6000,sheep01_panic01,8000,9000,sheep01_walk01,70,200,sheep01_hungry01,sheep01_ready01,sheep01_harvest01,TID_SHEEP,TID_ANIMAL_SHOP_DESCRIPTION,SheepReady,TapSheep,TapSheep,Collect,Buy,FeedAnimal,TRUE,,accessory_seasonal_sheep
,,,,,,,,,,,,,sheep01_idle02,,,sheep01_panic02,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,sheep01_idle03,,,,,,,,,,,,,,,,,,,,,,
Pig,10,sc/animals.sc,,,110,Pig Food,Bacon,1399,1053,500,900,5,pig01_idle01,3000,8000,pig01_panic01,5000,8000,pig01_walk01,60,0,pig01_hungry01,pig01_ready01,pig01_harvest01,TID_PIG,TID_ANIMAL_SHOP_DESCRIPTION,PigReady,TapPig,TapPig,Collect,Buy,FeedAnimal,TRUE,,accessory_seasonal_pig
,,,,,,,,,,,,,pig01_idle02,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pig01_idle01,,,,,,,,,,,,,,,,,,,,,,
Goat,32,sc/animals.sc,,,,Goat Food,Goat Milk,1160,896,2150,3250,4,goat01_idle01,2000,6000,goat01_panic01,4000,4000,goat01_walk01,30,0,goat01_hungry01,goat01_ready01,goat01_harvest01,TID_GOAT,TID_ANIMAL_SHOP_DESCRIPTION,GoatReady,TapGoat,TapGoat,Collect,Buy,FeedAnimal,TRUE,,accessory_seasonal_goat
,,,,,,,,,,,,,goat01_idle02,,,,,,,,,goat01_hungry02,,,,,,,,,,,,,
Lamb,25,sc/animals.sc,,,110,Lamb Food,Lamb Meat,1160,896,800,1500,5,lamb01_idle01,6600,19800,lamb01_panic,5330,9000,lamb01_walk01,60,150,lamb01_hungry01,lamb01_ready,lamb01_harvest,TID_LAMB,TID_ANIMAL_SHOP_DESCRIPTION,LambReady,TapLamb,TapLamb,Collect,Buy,FeedAnimal,TRUE,,accessory_seasonal_lamb
,,,,,,,,,,,,,lamb01_idle02,13800,13800,,,,lamb01_walk02,100,,lamb01_hungry02,,,,,,,,,,,,,
