Name,TID,SubtitleString,FileName,ExportName,AmbianceExportName,IntroSound,IconDeco,Year,UnlockLevel,PendingRelease,Deco1,Deco2,Deco3,Deco4,Deco5,Deco6,Deco7,Deco8,Deco9,Deco10,Deco11,Deco12,Deco13,Deco14,Deco15,Deco16,Deco17,Deco18,Deco19,Deco20
String,String,String,String,String,String,String,String,int,int,boolean,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String
HayDayLetters2024,TID_DECO_STICKER_BOOK_COLLECTION_2,,sc/hud_sticker_book.sc,collection_2,,,,2024,,,BirthdayLetterH,BirthdayLetterA,BirthdayLetterY,BirthdayLetterD,BirthdayLetterA,BirthdayLetterY,,,,,,,,,,,,,,
BirthdayCollection2024,TID_DECO_STICKER_BOOK_BIRTHDAY_2024_COLLECTION,,sc/hud_sticker_book.sc,collection_1,,,,2024,17,,Lead singer,Band poster,Guitarist,Idols,Checkered path,Do the twist,Drummer,Meet and greet,Billboard,Velvet rope fence,Gaffer sheep,,,,,,,,,
SummerFair2024,TID_DECO_STICKER_BOOK_COLLECTION_3,,sc/hud_sticker_book.sc,collection_3,,,,2024,20,,Slinging range,Fresh lemonade,Harlequin gnome,Summer fair wheel,Summer fair fun,Summer fair ride,Lemon path,Summer fair cutout,Summer fair darts,Bowling pig,,,,,,,,,,
Pool2024,TID_DECO_STICKER_BOOK_COLLECTION_4,,sc/hud_sticker_book.sc,collection_4,,,,2024,17,,Pool area fence,Poolside planter,CoolerBox,FishFloater,Chick Pool,Sun bed,Sun loungers,Pool party,Lifeguard,PoolWithSlide,,,,,,,,,,
Beach2024,TID_DECO_STICKER_BOOK_COLLECTION_5,,sc/hud_sticker_book.sc,collection_5,,,,2024,,,Beach rentals,Poolside table,Beach Tiki,Beach Towels,Beach Hammock,Beach Fence,Sandpath,Sand Bed,Sand Toys,Sand Swing,Beach Board,Beach Kites,Surf_rental_stand,,,,,,,
Collection6,TID_DECO_STICKER_BOOK_COLLECTION_6,,sc/hud_sticker_book.sc,collection_6,,,,2024,,,Splashy fun,Beach volley,Summer games swimmers,Summer games medals,Summer games pingpong,Summer games gymnastics,Summer games track,Summer games startline,Summer games stand,Summer games tortch,Summer games boxer,Summer games gate,,,,,,,,
Collection7,TID_DECO_STICKER_BOOK_COLLECTION_7,,sc/hud_sticker_book.sc,collection_7,,,,2024,,,Summer games medals,Summer games gymnastics,Olympic Path,Olympic fence,Summer games gate,Summer games startline,,,,,,,,,,,,,,
Collection8,TID_DECO_STICKER_BOOK_COLLECTION_8,,sc/hud_sticker_book.sc,collection_8,,,,2024,,,Duck diving,Aquarium,Mosaic well,Tipping duck,Pooltile path,,,,,,,,,,,,,,,
Collection9,TID_DECO_STICKER_BOOK_COLLECTION_9,,sc/hud_sticker_book.sc,collection_9,,,,2024,,,Throwing cans,Cross stitching,Leafpile path,Autumn maple tree,Barricade fence,Wooden hedgehogs,Wooden train,Laundry_rack,Poisonous mushroom path,Autumn umbrella,Autumn chair,Autumn pavilion,,,,,,,,
