Name,FileName,ExportName,Sound,TID,DescriptionTID,PendingRelease,AvailableImmediately
String,String,String,String,String,string,boolean,boolean
EmoteGregLaugh,sc/hud_emotes.sc,emote_greg_laugh,ChatEmoteAnimGregLaugh,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,,TRUE
EmoteGregAsleep,sc/hud_emotes.sc,emote_greg_asleep,ChatEmoteAnimGregAsleep,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,,TRUE
EmotePuppyLove,sc/hud_emotes.sc,emote_puppy_inlove,ChatEmoteAnimPuppyInLove,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,,
EmoteGoatScared,sc/hud_emotes.sc,emote_goat_scared,ChatEmoteAnimGoatScared,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,,
EmoteChickenConfused,sc/hud_emotes.sc,emote_chicken_confused,ChatEmoteAnimChickenConfused,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,,
EmoteCowSassy,sc/hud_emotes.sc,emote_cow_sassy,ChatEmoteAnimCowSassy,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,,TRUE
EmoteBabyChickStare,sc/hud_emotes.sc,emote_chick_stare,ChatEmoteAnimChickStare,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,,
EmotePigLove,sc/hud_emotes.sc,emote_pig_joyous,ChatEmoteAnimPigJoyous,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,,TRUE
EmoteGregEmotional,sc/hud_emotes.sc,emote_greg_emotional,ChatEmoteAnimGregEmotional,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,,TRUE
EmoteSheepJudging,sc/hud_emotes.sc,emote_sheep_judging,ChatEmoteAnimSheepJudging,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,,
EmoteCatPurr,sc/hud_emotes.sc,emote_cat_purr,ChatEmoteAnimCatValentines2026,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,,
EmoteChickManiacal,sc/hud_emotes.sc,emote_chick_maniacal,ChatEmoteAnimChickManiacal,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,,
EmoteErnestInlove,sc/hud_emotes.sc,emote_ernest_inlove,ChatEmoteAnimErnestValentines2026,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,,
EmoteFishShocked,sc/hud_emotes.sc,emote_fish_shocked,ChatEmoteAnimFishShocked,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,,
EmoteGregFlirt,sc/hud_emotes.sc,emote_greg_flirt,ChatEmoteAnimGregValentines2026,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,,
EmoteRoseInlove,sc/hud_emotes.sc,emote_rose_inlove,ChatEmoteAnimRoseValentines2026,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,,
Emote17,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote18,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote19,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote20,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote21,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote22,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote23,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote24,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote25,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote26,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote27,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote28,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote29,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote30,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote31,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote32,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote33,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote34,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote35,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote36,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote37,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote38,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote39,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote40,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote41,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote42,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote43,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote44,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote45,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote46,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote47,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote48,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote49,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
Emote50,sc/hud_chat.sc,emote_test,,TID_EMOTE_TOOLTIP_TITLE,TID_EMOTE_TOOLTIP_DESCRIPTION,TRUE,
