Event,GoodReward,GoodAmount,Group1,Group2,Group3,Group4,Group5,Group6,Group7,Group8,Group9,Group10,Group11,Group12,Group13,Group14,Group15,Group16,Group17,Group18,Group19,Group20,Group21,Group22,Group23,Group24,Group25,Group26,Group27
String,String,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
Event_01,Dynamite,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
Event_02,Demolition Charge,1,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
Event_03,Axe,1,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
Event_04,Saw,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Event_05,Shovel,1,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Event_06,Bolt,1,33,33,33,77,77,77,143,143,143,33,33,33,77,77,77,143,143,143,33,33,33,77,77,77,143,143,143
Event_07,Plank,1,77,77,77,143,143,143,33,33,33,77,77,77,143,143,143,33,33,33,77,77,77,143,143,143,33,33,33
Event_08,Duct Tape,1,143,143,143,33,33,33,77,77,77,143,143,143,33,33,33,77,77,77,143,143,143,33,33,33,77,77,77
Event_09,Nail,1,7,29,16,7,29,16,7,29,16,7,29,16,7,29,16,7,29,16,7,29,16,7,29,16,7,29,16
Event_10,Screw,1,16,7,29,16,7,29,16,7,29,16,7,29,16,7,29,16,7,29,16,7,29,16,7,29,16,7,29
Event_11,Wood Panel,1,29,16,7,29,16,7,29,16,7,29,16,7,29,16,7,29,16,7,29,16,7,29,16,7,29,16,7
Event_12,Land Deed,1,33,33,33,33,33,33,33,33,33,55,55,55,55,55,55,55,55,55,99,99,99,99,99,99,99,99,99
Event_13,Mallet,1,55,55,55,55,55,55,55,55,55,99,99,99,99,99,99,99,99,99,33,33,33,33,33,33,33,33,33
Event_14,Marker Stake,1,99,99,99,99,99,99,99,99,99,33,33,33,33,33,33,33,33,33,55,55,55,55,55,55,55,55,55
