Name,ToolIconFileName,ToolIconExportName,ToolBigIconFileName,ToolBigIconExportName,BonusTID,TID,DescriptionTID,DiamondPrice,UnlockLevel,DailyReplenishment,InventoryCapacity
String,String,String,String,String,String,String,String,String,int,int,int
Cash,sc/icons.sc,icon_coin,sc/icons.sc,icon_coin_big,,TID_CASH,TID_CASH_DESCRIPTION,,,,
Diamonds,sc/icons.sc,icon_diamond_small,sc/icons.sc,icon_diamond_big,,TID_DIAMONDS,TID_DIAMONDS_DESCRIPTION,,,,
ExpLevel,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
ExpPoints,sc/icons.sc,icon_xp_star,,,,TID_XP,TID_XP_DESCRIPTION,,,,
FBScore,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
Love,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
SiloRank,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
WarehouseRank,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
RoadsideShopStandCount,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
CounterFieldCollect,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
CounterAnimalCollect,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
CounterProcessingBuildingCollect,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
CounterForestCollect,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
PlayerGender,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
PlayerAge,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
FreeDiamonds,sc/icons.sc,icon_diamond_big,,,,TID_DIAMONDS,TID_DIAMONDS_DESCRIPTION,,,,
ShowMysteryBoxAtFriend,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
AIRoadsideShopBits,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
LastVisitDayIndex,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
SecondsSinceLastOpenBoxAtFriend,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
AppRateState,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
FriendMysteryBoxState,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
CarOrderCompleteCount,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
MoneySpentOnDecorations,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
RoadsideShopSoldGoodsValue,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
PeopleOrderCompleteCount,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
GregVisited,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
RoadsideShopStandCountFromFriendGate,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
AdsPlacedToNewspaperCount,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
BuildingsConstructedCount,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
AdvertisementDiamondPurchases,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
BoatOrderCompleteCount,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
BoatCrateCompleteCount,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
FacebookLoginRewardGiven,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
TotalDiamondsPurchased,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
TotalCashPurchased,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
CoinsEarnedFromBoatOrders,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
ConsecutiveBoatOrdersCompleted,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
FruitsPicked,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
BerriesPicked,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
FruitTreesRevived,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
NumCompletedOrdersToday,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
LastOrderDoneDayIndex,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
MostOrdersInDay,sc/icons.sc,tool_collect_milk,,,,TID_STAT_MOST_OFFERS_IN_DAY_NAME,TID_NONE,,,,
NumVisitorsToday,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
LastVisitorDayIndex,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
MostVisitorsInDay,sc/icons.sc,tool_collect_milk,,,,TID_STAT_MOST_VISITORS_IN_DAY_NAME,TID_NONE,,,,
LastProfitDayIndex,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
ProfitToday,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
BiggestProfit,sc/icons.sc,tool_collect_milk,,,,TID_STAT_BIGGEST_PROFIT_NAME,TID_NONE,,,,
TotalFollowers,sc/icons.sc,tool_collect_milk,,,,TID_STAT_FOLLOWERS,TID_NONE,,,,
TotalLikes,sc/icons.sc,tool_collect_milk,,,,TID_STAT_TOTAL_LIKES_NAME,TID_NONE,,,,
Voucher,sc/icons.sc,icon_voucher_common,,,,TID_VOUCHERS_GENERIC,TID_VOUCHERS_GENERIC_DESCRIPTION,,,,
BoatOrderCrateCount,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
