Name,ToolIconFileName,ToolIconExportName,TID,ProcessingBuilding,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,UnlockLevel,DescriptionTID,Difficulty,PendingRelease,OrderValueV2
String,String,String,String,String,int,String,int,int,int,int,int,int,int,int,int,string,int,Boolean,int
SoySauce,sc/icons.sc,recipe_soy_sauce,TID_PRODUCT_SOYSAUCE,Sauce_Mixer,9,Soybean,0,80,77,19,0,1,25,25,54,TID_SAUCEMIXER_PRODUCT_DESCRIPTION,31,,25
,,,,,1,Wheat,,,,,,,,,,,,,
OliveOil,sc/icons.sc,recipe_olive_oil,TID_PRODUCT_OLIVEOIL,Sauce_Mixer,3,Olive,0,144,138,33,0,1,54,54,60,TID_SAUCEMIXER_PRODUCT_DESCRIPTION,57,,54
Mayonaise,sc/icons.sc,recipe_mayonaise,TID_PRODUCT_MAYONAISE,Sauce_Mixer,4,Egg,0,190,183,44,0,1,72,72,62,TID_SAUCEMIXER_PRODUCT_DESCRIPTION,74,,72
,,,,,1,OliveOil,,,,,,,,,,,,,
Lemon Curd,sc/icons.sc,recipe_lemon_curd,TID_PRODUCT_LEMON_CURD,Sauce_Mixer,2,Lemon,0,194,187,45,0,1,71,76,66,TID_SAUCEMIXER_PRODUCT_DESCRIPTION,74,,71
,,,,,2,Egg,,,,,,,,,,,,,
,,,,,1,Butter,,,,,,,,,,,,,
,,,,,1,White Sugar,,,,,,,,,,,,,
Tomato Sauce,sc/icons.sc,recipe_tomato_sauce,TID_PRODUCT_TOMATO_SAUCE,Sauce_Mixer,2,Tomato,0,119,114,27,0,1,42,45,69,TID_SAUCEMIXER_PRODUCT_DESCRIPTION,45,,42
,,,,,1,Brown_Sugar,,,,,,,,,,,,,
,,,,,1,Lemon,,,,,,,,,,,,,
Salsa,sc/icons.sc,recipe_salsa,TID_PRODUCT_SALSA,Sauce_Mixer,2,Tomato,0,130,125,30,0,1,48,48,77,TID_SAUCEMIXER_PRODUCT_DESCRIPTION,50,,48
,,,,,2,Onion,,,,,,,,,,,,,
,,,,,2,Chili,,,,,,,,,,,,,
Olive Dip,sc/icons.sc,recipe_olivedip,TID_PRODUCT_OLIVEDIP,Sauce_Mixer,3,Olive,0,241,232,56,0,1,91,91,66,TID_SAUCEMIXER_PRODUCT_DESCRIPTION,94,,91
,,,,,1,Lemon,,,,,,,,,,,,,
,,,,,1,Fish Meat,,,,,,,,,,,,,
,,,,,2,Bread,,,,,,,,,,,,,
Passion Fruit Sauce,sc/icons.sc,recipe_passionfruit_dressing,TID_PRODUCT_PASSION_FRUIT_SAUCE,Sauce_Mixer,2,PassionFruit,0,148,142,34,0,1,33,33,100,TID_SAUCEMIXER_PRODUCT_DESCRIPTION,36,,33
,,,,,2,Chili,,,,,,,,,,,,,
,,,,,1,Honey,,,,,,,,,,,,,
Hummus,sc/icons.sc,recipe_hummus,TID_PRODUCT_HUMMUS,Sauce_Mixer,3,Chickpea,0,142,137,33,0,1,54,54,95,TID_SAUCEMIXER_PRODUCT_DESCRIPTION,57,FALSE,54
,,,,,1,Garlic,,,,,,,,,,,,,
,,,,,2,Lemon,,,,,,,,,,,,,
Bean Dip,sc/icons.sc,recipe_bean_dip,TID_PRODUCT_BEANDIP,Sauce_Mixer,3,BlackBean,0,66,63,15,0,1,24,24,54,TID_SAUCEMIXER_PRODUCT_DESCRIPTION,27,FALSE,24
,,,,,1,Tomato,,,,,,,,,,,,,
,,,,,1,Chili,,,,,,,,,,,,,
