Name,ToolIconFileName,ToolIconExportName,ToolBigIconFileName,ToolBigIconExportName,BonusIconFileName,BonusIconExportName,BonusTID,TID,DescriptionTID,DiamondPrice,UnlockLevel,DumbValue
String,String,String,String,String,String,String,String,String,String,int,int,int
Mistletoe,sc/icons.sc,icon_mistletoe,sc/icons.sc,icon_mistletoe_big,,,,TID_MISTLETOE,TID_MISTLETOE_BOATS_EXCHANGE_DESCRIPTION,,10000,
Chocobunny,sc/icons.sc,icon_chocobunny,sc/icons.sc,icon_chocobunny_big,,,,TID_CHOCOBUNNY,TID_CHOCOBUNNY_BOATS_EXCHANGE_DESCRIPTION,,10000,
SeasonalCurrency1,sc/icons.sc,icon_mistletoe,sc/icons.sc,icon_mistletoe_big,,,,TID_MISTLETOE,TID_MISTLETOE_DESCRIPTION,,10000,1
MusicNote,sc/icons.sc,icon_musicnote,sc/icons.sc,icon_musicnote_big,,,,TID_ICON_CATALOGUE_MUSICNOTE,TID_ICON_CATALOGUE_MUSICNOTE_DESCRIPTION,,10000,
WaterBottle,sc/icons.sc,icon_waterbottle,sc/icons.sc,icon_waterbottle_big,,,,TID_SUMMER_GAMES_BOTTLE,TID_SUMMER_GAMES_BOTTLE_DESCRIPTION,,10000,
SeasonalCurrency4,sc/icons.sc,icon_mistletoe,sc/icons.sc,icon_mistletoe_big,,,,TID_MISTLETOE,TID_MISTLETOE_DESCRIPTION,,10000,
SeasonalCurrency5,sc/icons.sc,icon_mistletoe,sc/icons.sc,icon_mistletoe_big,,,,TID_MISTLETOE,TID_MISTLETOE_DESCRIPTION,,10000,
SeasonalCurrency6,sc/icons.sc,icon_mistletoe,sc/icons.sc,icon_mistletoe_big,,,,TID_MISTLETOE,TID_MISTLETOE_DESCRIPTION,,10000,
FlowerBlue,sc/icons.sc,icon_catalogue_flower_blue,sc/icons.sc,icon_catalogue_flower_blue_big,,,,TID_ICON_CATALOGUE_FLOWER_BLUE,TID_ICON_CATALOGUE_CURRENCY_FLOWER_BLUE_DESCRIPTION,,10000,
FlowerPurple,sc/icons.sc,icon_catalogue_flower_purple,sc/icons.sc,icon_catalogue_flower_purple_big,,,,TID_ICON_CATALOGUE_CURRENCY_FLOWER_PURPLE,TID_ICON_CATALOGUE_CURRENCY_FLOWER_PURPLE_DESCRIPTION,,10000,
FlowerWhite,sc/icons.sc,icon_catalogue_flower_white,sc/icons.sc,icon_catalogue_flower_white_big,,,,TID_ICON_CATALOGUE_CURRENCY_FLOWER_WHITE,TID_ICON_CATALOGUE_CURRENCY_FLOWER_WHITE_DESCRIPTION,,10000,
FlowerYellow,sc/icons.sc,icon_catalogue_flower_yellow,sc/icons.sc,icon_catalogue_flower_yellow_big,,,,TID_ICON_CATALOGUE_CURRENCY_FLOWER_YELLOW,TID_ICON_CATALOGUE_CURRENCY_FLOWER_YELLOW_DESCRIPTION,,10000,
Pinecone,sc/icons.sc,icon_catalogue_pinecone,sc/icons.sc,icon_catalogue_pinecone_big,,,,TID_ICON_CATALOGUE_CURRENCY_FLOWER_PINECONE,TID_ICON_CATALOGUE_CURRENCY_FLOWER_PINECONE_DESCRIPTION,,10000,
SeasonalCurrency7,sc/icons.sc,icon_mistletoe,sc/icons.sc,icon_mistletoe_big,,,,TID_MISTLETOE,TID_MISTLETOE_DESCRIPTION,,10000,
SeasonalCurrency8,sc/icons.sc,icon_mistletoe,sc/icons.sc,icon_mistletoe_big,,,,TID_MISTLETOE,TID_MISTLETOE_DESCRIPTION,,10000,
SeasonalCurrency9,sc/icons.sc,icon_mistletoe,sc/icons.sc,icon_mistletoe_big,,,,TID_MISTLETOE,TID_MISTLETOE_DESCRIPTION,,10000,
SeasonalCurrency10,sc/icons.sc,icon_mistletoe,sc/icons.sc,icon_mistletoe_big,,,,TID_MISTLETOE,TID_MISTLETOE_DESCRIPTION,,10000,
SeasonalCurrency11,sc/icons.sc,icon_mistletoe,sc/icons.sc,icon_mistletoe_big,,,,TID_MISTLETOE,TID_MISTLETOE_DESCRIPTION,,10000,
SeasonalCurrency12,sc/icons.sc,icon_mistletoe,sc/icons.sc,icon_mistletoe_big,,,,TID_MISTLETOE,TID_MISTLETOE_DESCRIPTION,,10000,
