Name,ToolIconFileName,ToolIconExportName,TID,ProcessingBuilding,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,UnlockLevel,DescriptionTID,Difficulty,PendingRelease,OrderValueV2
String,String,String,String,String,int,String,int,int,int,int,int,int,int,int,int,string,int,Boolean,int
Fried rice,sc/icons.sc,recipe_fried_rice,TID_PRODUCT_FRIED_RICE,Wok_Kitchen,5,Egg,0,106,102,24,0,1,39,39,69,TID_WOK_KITCHEN_PRODUCT_DESCRIPTION,43,,39
,,,,,5,Rice,,,,,,,,,,,,,
Tofu stir fry,sc/icons.sc,recipe_tofu_stir_fry,TID_PRODUCT_TOFU_STIR_FRY,Wok_Kitchen,3,Soybean,0,158,152,37,0,1,58,58,89,TID_WOK_KITCHEN_PRODUCT_DESCRIPTION,62,,58
,,,,,3,Sesame,,,,,,,,,,,,,
,,,,,3,Broccoli,,,,,,,,,,,,,
,,,,,3,Onion,,,,,,,,,,,,,
Spicy fish,sc/icons.sc,recipe_spicy_fish,TID_PRODUCT_SPICY_FISH,Wok_Kitchen,1,Fish Meat,0,280,270,65,0,1,106,106,79,TID_WOK_KITCHEN_PRODUCT_DESCRIPTION,111,,106
,,,,,1,OliveOil,,,,,,,,,,,,,
,,,,,5,Garlic,,,,,,,,,,,,,
,,,,,3,Chili,,,,,,,,,,,,,
Peanut noodles,sc/icons.sc,recipe_peanut_noodles,TID_PRODUCT_PEANUT_NOODLE,Wok_Kitchen,1,Rice Noodles,0,346,333,80,0,1,57,57,86,TID_WOK_KITCHEN_PRODUCT_DESCRIPTION,60,,57
,,,,,1,PeanutBag,,,,,,,,,,,,,
,,,,,1,Ginger,,,,,,,,,,,,,
,,,,,1,SoySauce,,,,,,,,,,,,,
Lamb Stir Fry,sc/icons.sc,recipe_lamb_stir_fry,TID_PRODUCT_LAMB_STIR_FRY,Wok_Kitchen,3,Rice,0,139,133,32,0,1,48,48,69,TID_WOK_KITCHEN_PRODUCT_DESCRIPTION,53,,44
,,,,,1,Grilled Lamb Skewer,,,,,,,,,,,,,
,,,,,2,Chili,,,,,,,,,,,,,
,,,,,1,Sesame,,,,,,,,,,,,,
